 (Half Day),(نصف يوم)
Write a SELECT query. Note result is not paged (all data is sent in one go).,كتابة استعلام SELECT. لم يتم ترحيلها علما نتيجة (يتم إرسال جميع البيانات دفعة واحدة).
Write sitemap.xml,اكتب sitemap.xml
Write titles and introductions to your blog.,تكتب العناوين والمقدمات لبلوق الخاص بك.
Writers Introduction,الكتاب مقدمة
Wrong Template: Unable to find head row.,قالب الخطأ: تعذر العثور على صف الرأس.
Year,عام
Year Closed,مغلق العام
Year Name,العام اسم
Year Start Date,سنة بدء التاريخ
Year of Passing,اجتياز سنة
Yearly,سنويا
Yes,نعم
Yesterday,أمس
You are not authorized to do/modify back dated entries before ,لا يحق لك أن تفعل / تعديل العودة مقالات بتاريخ قبل
You can enter any date manually,يمكنك إدخال أي تاريخ يدويا
You can enter the minimum quantity of this item to be ordered.,يمكنك إدخال كمية الحد الأدنى في هذا البند إلى أن يؤمر.
You can not enter both Delivery Note No and Sales Invoice No. \					Please enter any one.,لا يمكنك إدخال كل من التسليم ملاحظة لا والمبيعات رقم الفاتورة \ الرجاء إدخال أي واحد.
You can set various 'properties' to Users to set default values and apply permission rules based on the value of these properties in various forms.,يمكنك تعيين مختلف &#39;خصائص&#39; للمستخدمين لضبط القيم الافتراضية وتطبيق القواعد إذن على أساس قيمة هذه الخصائص في أشكال مختلفة.
You can start by selecting backup frequency and \					granting access for sync,يمكنك أن تبدأ من خلال تحديد تردد النسخ الاحتياطي و\ منح الوصول لمزامنة
You can use <a href='#Form/Customize Form'>Customize Form</a> to set levels on fields.,يمكنك استخدام <a href='#Form/Customize Form'>نموذج تخصيص</a> لتحديد مستويات على الحقول.
You may need to update: ,قد تحتاج إلى تحديث:
Your Customer's TAX registration numbers (if applicable) or any general information,عميلك أرقام التسجيل الضريبي (إن وجدت) أو أي معلومات عامة
"Your download is being built, this may take a few moments...",ويجري بناء التنزيل، وهذا قد يستغرق بضع لحظات ...
Your letter head content,محتوى رأسك الرسالة
Your sales person who will contact the customer in future,مبيعاتك الشخص الذي سوف اتصل العميل في المستقبل
Your sales person who will contact the lead in future,مبيعاتك الشخص الذي سوف اتصل زمام المبادرة في المستقبل
Your sales person will get a reminder on this date to contact the customer,سيكون لديك مبيعات شخص الحصول على تذكرة في هذا التاريخ للاتصال العملاء
Your sales person will get a reminder on this date to contact the lead,سيكون لديك مبيعات شخص الحصول على تذكرة في هذا التاريخ في الاتصال الصدارة
Your support email id - must be a valid email - this is where your emails will come!,معرف بريدا إلكترونيا الدعم - يجب أن يكون عنوان بريد إلكتروني صالح - وهذا هو المكان الذي سوف يأتي رسائل البريد الإلكتروني!
[Error],[خطأ]
[Label]:[Field Type]/[Options]:[Width],[تسمية]: [نوع الحقل] / [خيارات]: [العرض]
add your own CSS (careful!),إضافة CSS الخاصة بك (careful!)
adjust,ضبط
align-center,محاذاة الوسط
align-justify,محاذاة-تبرير
align-left,محاذاة يسار
align-right,محاذاة اليمين
also be included in Item's rate,أيضا يتم تضمينها في سعر السلعة في
and,و
arrow-down,سهم لأسفل
arrow-left,سهم يسار
arrow-right,سهم يمين
arrow-up,سهم لأعلى
assigned by,يكلفه بها
asterisk,النجمة
backward,الى الوراء
ban-circle,دائرة الحظر
barcode,الباركود
bell,جرس
bold,جريء
book,كتاب
bookmark,المرجعية
briefcase,حقيبة
bullhorn,البوق
calendar,تقويم
camera,كاميرا
cancel,إلغاء
cannot be 0,لا يمكن أن يكون 0
cannot be empty,لا يمكن أن تكون فارغة
cannot be greater than 100,لا يمكن أن تكون أكبر من 100
cannot be included in Item's rate,لا يمكن متضمنة في سعر السلعة لل
"cannot have a URL, because it has child item(s)",لا يمكن أن يكون URL، لأنه لديه بند الطفل (ق)
cannot start with,لا يمكن أن تبدأ مع
certificate,شهادة
check,تحقق
chevron-down,شيفرون لأسفل
chevron-left,شيفرون يسار
chevron-right,شيفرون اليمين
chevron-up,شيفرون المتابعة
circle-arrow-down,دائرة السهم لأسفل
circle-arrow-left,دائرة السهم اليسار
circle-arrow-right,دائرة السهم الأيمن
circle-arrow-up,دائرة السهم إلى أعلى
cog,تحكم في
comment,تعليق
create a Custom Field of type Link (Profile) and then use the 'Condition' settings to map that field to the Permission rule.,إنشاء حقل مخصص من نوع لينك (الملف الشخصي) ثم استخدام &#39;حالة&#39; إعدادات لتعيين هذا الحقل إلى الحكم إذن.
dd-mm-yyyy,DD-MM-YYYY
dd/mm/yyyy,اليوم / الشهر / السنة
deactivate,عطل
does not belong to BOM: ,لا تنتمي إلى BOM:
does not exist,غير موجود
does not have role 'Leave Approver',ليس لديها دور &#39;اترك الموافق&#39;
does not match,لا يطابق
download,تحميل
download-alt,تحميل بديل
"e.g. Bank, Cash, Credit Card",على سبيل المثال البنك، نقدا، بطاقة الائتمان
"e.g. Kg, Unit, Nos, m",على سبيل المثال كجم، وحدة، غ م أ، م
edit,تحرير
eg. Cheque Number,على سبيل المثال. عدد الشيكات
eject,طرد
english,الإنجليزية
envelope,مغلف
español,الأسبانية
example: Next Day Shipping,مثال: اليوم التالي شحن
example: http://help.erpnext.com,مثال: http://help.erpnext.com
exclamation-sign,تعجب علامة-
eye-close,إغلاق العين
eye-open,فتح العين
facetime-video,فيس تايم عن طريق الفيديو
fast-backward,سريع إلى الوراء
fast-forward,سريع إلى الأمام
file,ملف
film,فيلم
filter,تصفية
fire,حريق
flag,علم
folder-close,المجلد مسافة قريبة
folder-open,فتح مجلد
font,الخط
forward,إلى الأمام
français,français ل
fullscreen,ملء الشاشة
gift,هدية
glass,زجاج
globe,العالم
hand-down,إلى أسفل اليد
hand-left,اليد اليسرى
hand-right,ومن جهة اليمين
hand-up,ومن ناحية المتابعة
has been entered atleast twice,تم إدخال أتلست مرتين
have a common territory,لديها أراضي مشتركة
have the same Barcode,لها نفس الباركود
