 (Half Day),(Poludnevni)
Update Stock,Ažurirajte Stock
Update Stock should be checked.,Update Stock treba provjeriti.
Update Value,Ažurirajte vrijednost
"Update allocated amount in the above table and then click ""Allocate"" button","Ažurirajte dodijeljeni iznos u gornjoj tablici, a zatim kliknite na &quot;alocirati&quot; gumb"
Update bank payment dates with journals.,Update banka datum plaćanja s časopisima.
Update is in progress. This may take some time.,Update je u tijeku. To može potrajati neko vrijeme.
Updated,Obnovljeno
Upload Attachment,Prenesi Prilog
Upload Attendance,Upload Attendance
Upload Backups to Dropbox,Upload sigurnosne kopije za ispuštanje
Upload Backups to Google Drive,Upload sigurnosne kopije na Google Drive
Upload HTML,Prenesi HTML
Upload a .csv file with two columns: the old name and the new name. Max 500 rows.,Učitajte CSV datoteku s dva stupca.: Stari naziv i novi naziv. Max 500 redaka.
Upload a file,Prenesi datoteku
Upload and Import,Upload i uvoz
Upload attendance from a .csv file,Prenesi dolazak iz. Csv datoteku
Upload stock balance via csv.,Prenesi dionica ravnotežu putem CSV.
Uploading...,Prijenos ...
Upper Income,Gornja Prihodi
Urgent,Hitan
Use Multi-Level BOM,Koristite multi-level BOM
Use SSL,Koristite SSL
User,Korisnik
User Cannot Create,Korisnik ne može stvoriti
User Cannot Search,Korisnik ne može tražiti
User ID,Korisnički ID
User Image,Upute slike
User Name,Korisničko ime
User Remark,Upute Zabilješka
User Remark will be added to Auto Remark,Upute Napomena će biti dodan Auto Napomena
User Tags,Upute Tags
User Type,Vrsta korisnika
User must always select,Korisničko uvijek mora odabrati
User not allowed entry in the Warehouse,Korisnik ne smije ulaz u galeriju
User not allowed to delete.,Korisnik ne smije izbrisati.
UserRole,UserRole
Username,Korisničko ime
Users who can approve a specific employee's leave applications,Korisnici koji može odobriti određenog zaposlenika dopust aplikacija
Users with this role are allowed to do / modify accounting entry before frozen date,Korisnici s tom ulogom smiju raditi / mijenjati računovodstvenu ulazak prije zamrznute dana
Utilities,Komunalne usluge
Utility,Korisnost
Valid For Territories,Vrijedi za teritorijima
Valid Upto,Vrijedi Upto
Valid for Buying or Selling?,Vrijedi za kupnju ili prodaju?
Valid for Territories,Vrijedi za teritorijima
Validate,Potvrditi
Valuation,Procjena
Valuation Method,Vrednovanje metoda
Valuation Rate,Vrednovanje Stopa
Valuation and Total,Vrednovanje i Total
Value,Vrijednost
Value missing for,Vrijednost nestao
Vehicle Dispatch Date,Vozilo Dispatch Datum
Vehicle No,Ne vozila
Verdana,Verdana
Verified By,Ovjeren od strane
Visit,Posjetiti
Visit report for maintenance call.,Posjetite izvješće za održavanje razgovora.
Voucher Detail No,Bon Detalj Ne
Voucher ID,Bon ID
Voucher Import Tool,Bon Uvoz alat
Voucher No,Bon Ne
Voucher Type,Bon Tip
Voucher Type and Date,Tip bon i datum
WIP Warehouse required before Submit,WIP skladišta potrebno prije Podnijeti
Waiting for Customer,Čeka kupca
Walk In,Šetnja u
Warehouse,Skladište
Warehouse Contact Info,Skladište Kontakt Info
Warehouse Detail,Skladište Detalj
Warehouse Name,Skladište Ime
Warehouse User,Skladište Upute
Warehouse Users,Skladište Korisnika
Warehouse and Reference,Skladište i upute
Warehouse does not belong to company.,Skladište ne pripadaju tvrtki.
Warehouse where you are maintaining stock of rejected items,Skladište gdje ste održavanju zaliha odbijenih stavki
Warehouse-Wise Stock Balance,Skladište-Wise Stock Balance
Warehouse-wise Item Reorder,Warehouse-mudar Stavka redoslijeda
Warehouses,Skladišta
Warn,Upozoriti
Warning,Upozorenje
Warning: Leave application contains following block dates,Upozorenje: Ostavite program sadrži sljedeće blok datume
Warranty / AMC Details,Jamstveni / AMC Brodu
Warranty / AMC Status,Jamstveni / AMC Status
Warranty Expiry Date,Jamstvo Datum isteka
Warranty Period (Days),Jamstveno razdoblje (dani)
Warranty Period (in days),Jamstveno razdoblje (u danima)
Web Content,Web sadržaj
Web Page,Web stranica
Website,Website
Website Description,Web stranica Opis
Website Item Group,Web stranica artikla Grupa
Website Item Groups,Website Stavka Grupe
Website Overall Settings,Website Ukupni Postavke
Website Script,Web Skripta
Website Settings,Website Postavke
Website Slideshow,Web Slideshow
Website Slideshow Item,Web Slideshow artikla
Website User,Web User
Website Warehouse,Web stranica galerije
Wednesday,Srijeda
Weekly,Tjedni
Weekly Off,Tjedni Off
Weight UOM,Težina UOM
Weightage,Weightage
Weightage (%),Weightage (%)
Welcome,Dobrodošli
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.","Kada bilo koji od provjerenih transakcija &quot;Postavio&quot;, e-mail pop-up automatski otvorio poslati e-mail na povezane &quot;Kontakt&quot; u toj transakciji, s transakcijom u privitku. Korisnik može ili ne može poslati e-mail."
"When you <b>Amend</b> a document after cancel and save it, it will get a new number that is a version of the old number.","Kada <b>Izmijeniti</b> dokument nakon otkazati i spasiti ga, on će dobiti novi broj koji je verzija starog broja."
Where items are stored.,Gdje predmeti su pohranjeni.
Where manufacturing operations are carried out.,Gdje proizvodni postupci provode.
Widowed,Udovički
Width,Širina
Will be calculated automatically when you enter the details,Hoće li biti izračunata automatski kada unesete podatke
Will be fetched from Customer,Hoće li biti preuzeta od kupca
Will be updated after Sales Invoice is Submitted.,Hoće li se obnavljaju nakon prodaje fakture je Prijavljen.
Will be updated when batched.,Hoće li biti ažurirani kada izmiješane.
Will be updated when billed.,Hoće li biti promjena kada je naplaćeno.
Will be used in url (usually first name).,Hoće li se koristi u URL-u (obično ime).
With Operations,Uz operacije
Work Details,Radni Brodu
Work Done,Rad Done
Work In Progress,Radovi u tijeku
Work-in-Progress Warehouse,Rad u tijeku Warehouse
Workflow,Workflow
Workflow Action,Workflow Akcija
Workflow Action Master,Workflow Akcija Master
Workflow Action Name,Workflow Akcija Ime
Workflow Document State,Workflow dokument Država
Workflow Document States,Workflow dokument Države
Workflow Name,Workflow ime
Workflow State,Workflow država
Workflow State Field,Workflow Državna polja
Workflow State Name,Workflow Država Ime
Workflow Transition,Tijek tranzicije
Workflow Transitions,Workflow Prijelazi
Workflow state represents the current state of a document.,Workflow država predstavlja trenutno stanje dokumenta.
Workflow will start after saving.,Workflow će početi nakon štednje.
Working,Rad
Workstation,Workstation
Workstation Name,Ime Workstation
Write,Pisati
Write Off Account,Napišite Off račun
Write Off Amount,Napišite paušalni iznos
Write Off Amount <=,Otpis Iznos &lt;=
Write Off Based On,Otpis na temelju
Write Off Cost Center,Otpis troška
Write Off Outstanding Amount,Otpisati preostali iznos
Write Off Voucher,Napišite Off bon
Write a Python file in the same folder where this is saved and return column and result.,Napišite Python datoteku u istu mapu gdje je spremljena i povratka stupcu i rezultat.
Write a SELECT query. Note result is not paged (all data is sent in one go).,Napišite SELECT upita. Napomena rezultat nije zvao (svi podaci se šalju u jednom potezu).
Write sitemap.xml,Napišite sitemap.xml
Write titles and introductions to your blog.,Napišite naslova i uvoda u svoj blog.
Writers Introduction,Pisci Uvod
Wrong Template: Unable to find head row.,Pogrešna Predložak: Nije moguće pronaći glave red.
Year,Godina
Year Closed,Godina Zatvoreno
Year Name,Godina Ime
Year Start Date,Godina Datum početka
Year of Passing,Godina Prolazeći
Yearly,Godišnje
Yes,Da
Yesterday,Jučer
You are not authorized to do/modify back dated entries before ,Niste ovlašteni za to / mijenjati vratiti prije nadnevaka
You can enter any date manually,Možete unijeti bilo koji datum ručno
You can enter the minimum quantity of this item to be ordered.,Možete unijeti minimalnu količinu ove točke biti naređeno.
You can not enter both Delivery Note No and Sales Invoice No. \					Please enter any one.,Ne možete ući i bilješku isporuke Ne i prodaja Račun br \ Unesite bilo jedno.
You can set various 'properties' to Users to set default values and apply permission rules based on the value of these properties in various forms.,Možete postaviti različite &#39;Properties&#39; za korisnike postaviti zadane vrijednosti i primjenjivati ​​pravila dozvola na temelju vrijednosti tih svojstava u različitim oblicima.
You can start by selecting backup frequency and \					granting access for sync,Možete početi odabirom sigurnosnu frekvenciju i \ davanje pristupa za sinkronizaciju
You can use <a href='#Form/Customize Form'>Customize Form</a> to set levels on fields.,Možete koristiti <a href='#Form/Customize Form'>Prilagodite obrazac</a> za postavljanje razine na poljima.
You may need to update: ,Možda ćete morati ažurirati:
Your Customer's TAX registration numbers (if applicable) or any general information,Vaš klijent je poreznoj registraciji brojevi (ako je primjenjivo) ili bilo opće informacije
"Your download is being built, this may take a few moments...","Vaš preuzimanje se gradi, to može potrajati nekoliko trenutaka ..."
Your letter head content,Vaše pismo glava sadržaj
Your sales person who will contact the customer in future,Vaš prodaje osobi koja će kontaktirati kupca u budućnosti
Your sales person who will contact the lead in future,Vaš prodaje osobi koja će kontaktirati vodstvo u budućnosti
Your sales person will get a reminder on this date to contact the customer,Vaš prodavač će dobiti podsjetnik na taj datum kontaktirati kupca
Your sales person will get a reminder on this date to contact the lead,Vaš prodavač će dobiti podsjetnik na taj datum da se obratite vodstvo
Your support email id - must be a valid email - this is where your emails will come!,Vaša podrška e-mail id - mora biti valjana e-mail - ovo je mjesto gdje svoje e-mailove će doći!
[Error],[Error]
[Label]:[Field Type]/[Options]:[Width],[Label]: [Field Type] / [Options]: [Širina]
add your own CSS (careful!),dodati svoj vlastiti CSS (careful!)
adjust,prilagoditi
align-center,poravnajte-centar
align-justify,poravnajte-opravdati
align-left,poravnajte-lijevo
align-right,poravnati desno
also be included in Item's rate,također biti uključeni u stavku je stopa
and,i
arrow-down,strelica prema dolje
arrow-left,strelica lijevo
arrow-right,Strelica desno
arrow-up,strelica prema gore
assigned by,dodjeljuje
asterisk,zvjezdica
backward,natrag
ban-circle,zabrana-krug
barcode,barkod
bell,zvono
bold,odvažan
book,knjiga
bookmark,bookmark
briefcase,aktovka
bullhorn,bullhorn
calendar,kalendar
camera,kamera
cancel,otkazati
cannot be 0,ne može biti 0
cannot be empty,ne može biti prazan
cannot be greater than 100,ne može biti veća od 100
cannot be included in Item's rate,Ne mogu biti uključeni u stavke stope
"cannot have a URL, because it has child item(s)","ne može imati URL, jer ima dijete stavku (e)"
cannot start with,Ne mogu početi s
certificate,certifikat
check,provjeriti
chevron-down,Chevron-dolje
chevron-left,Chevron-lijevo
chevron-right,Chevron-desno
chevron-up,Chevron-up
circle-arrow-down,krug sa strelicom prema dolje
circle-arrow-left,krug sa strelicom nalijevo
circle-arrow-right,krug sa strelicom desno
circle-arrow-up,krug sa strelicom prema gore
cog,vršak
comment,komentirati
create a Custom Field of type Link (Profile) and then use the 'Condition' settings to map that field to the Permission rule.,"stvoriti Custom Field tipa Link (Profil), a zatim koristiti &#39;stanje&#39; postavke na karti koje polje na dozvole vladavine."
dd-mm-yyyy,dd-mm-yyyy
dd/mm/yyyy,dd / mm / gggg
deactivate,deaktivirati
does not belong to BOM: ,ne pripadaju sastavnice:
does not exist,ne postoji
does not have role 'Leave Approver',nema ulogu &#39;ostaviti Odobritelj&#39;
does not match,ne odgovara
download,preuzimanje
download-alt,download-alt
"e.g. Bank, Cash, Credit Card","npr. banka, gotovina, kreditne kartice"
"e.g. Kg, Unit, Nos, m","npr. kg, Jedinica, br, m"
edit,urediti
eg. Cheque Number,npr.. Ček Broj
eject,izbaciti
english,engleski
envelope,omotnica
español,Español
example: Next Day Shipping,Primjer: Sljedeći dan Dostava
