(Half Day),(Halber Tag)
Upload Attachment,Anhang hochladen
Upload Attendance Data,Hochladen Teilnahme Daten
Upload HTML,Hochladen HTML
Upload a file,Hochladen einer Datei
Upload attendance,Hochladen Teilnahme
Upload attendance from a .csv file,Fotogalerie Besuch aus einer. Csv-Datei
Upload stock balance via csv.,Hochladen Bestandsliste über csv.
Upper Income,Obere Income
Urgent,Dringend
Use Multi-Level BOM,Verwenden Sie Multi-Level BOM
Use SSL,Verwenden Sie SSL
User,Benutzer
User Cannot Create,Benutzer kann sich nicht erstellen
User Cannot Search,Benutzer kann sich nicht durchsuchen
User ID,Benutzer-ID
User Image,User Image
User Name,User Name
User Properties,User Properties
User Remark,Benutzer Bemerkung
User Remark will be added to Auto Remark,Benutzer Bemerkung auf Auto Bemerkung hinzugefügt werden
User Tags,Nutzertags
User Type,User Type
User must always select,Der Benutzer muss immer wählen
User not allowed entry in the Warehouse,Benutzer nicht erlaubt Eintrag in der Warehouse
UserRole,UserRole
Username,Benutzername
Users,Benutzer
Users Voted,Nutzer
Users with this role are allowed to do / modify accounting entry before frozen date,Benutzer mit dieser Rolle tun dürfen / ändern Verbuchung vor dem gefrorenen Datum
Users with this role are allowed to do / modify stock entry before frozen date,Benutzer mit dieser Rolle dürfen zu tun / ändern stock Eintrag vor gefrorenen Datum
Utilities,Dienstprogramme
Utility,Nutzen
Valid Upto,Gültig Bis
Validation Logic,Validation Logic
Valuation,Bewertung
Valuation Control,Valuation Control-
Valuation Method,Valuation Method
Valuation Rate,Valuation bewerten
Valuation and Total,Bewertung und insgesamt
Value,Wert
Verdana,Verdana
Verified By,Verified By
Visit,Besuchen
Visit report for maintenance call.,Bericht über den Besuch für die Wartung Anruf.
Voucher Detail No,Gutschein Detailaufnahme
Voucher ID,Gutschein ID
Voucher Import Tool,Gutschein Import Tool
Voucher No,Gutschein Nein
Voucher Type,Gutschein Type
WIP Monitor,WIP-Monitor
Waiting for Customer,Warten auf Kunden
Walk In,Walk In
Warehouse,Lager
Warehouse Contact Info,Warehouse Kontakt Info
Warehouse Detail,Warehouse Details
Warehouse Name,Warehouse Namen
Warehouse Type,Warehouse Typ
Warehouse User,Warehouse Benutzer
Warehouse Users,Warehouse-Benutzer
Warehouse where you are maintaining stock of rejected items,"Warehouse, wo Sie erhalten Bestand abgelehnt Elemente werden"
Warehouse-wise Item Reorder,Warehouse-weise Artikel Reorder
Warn,Warnen
Warning,Warnung
Warranty / AMC Details,Garantie / AMC Einzelheiten
Warranty / AMC Status,Garantie / AMC-Status
Warranty Expiry Date,Garantie Ablaufdatum
Warranty Period (Days),Garantiezeitraum (Tage)
Warranty Period (in days),Gewährleistungsfrist (in Tagen)
Web Content,Web Content
Web Page,Web Page
Webforms,Webforms
Website,Webseite
Website Description,Website Beschreibung
Website Home,Website Home
Website Item Group,Website-Elementgruppe
Website Item Groups,Website Artikelgruppen
Website Overall Settings,Website Overall Einstellungen
Website Price List,Website Preisliste
Website Product Categories,Website Produktkategorien
Website Product Category,Website Produktkategorie
Website Script,Website Script
Website Settings,Website-Einstellungen
Website Slideshow,Website Slideshow
Website Slideshow Item,Website Slideshow Artikel
Website Warehouse,Website Warehouse
Wednesday,Mittwoch
Weekly,Wöchentlich
Weekly Off,Wöchentliche Off
Weight UOM,Gewicht UOM
Weightage,Gewichtung
Weightage (%),Gewichtung (%)
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.","Wenn eine der überprüften Transaktionen werden ""Eingereicht"", ein E-Mail-pop-up automatisch geöffnet, um eine E-Mail mit dem zugehörigen ""Kontakt"" in dieser Transaktion zu senden, mit der Transaktion als Anhang. Der Benutzer kann oder nicht-Mail senden."
"When you <b>Amend</b> a document after cancel and save it, it will get a new number that is a version of the old number.","Wenn Sie <b> Amend </ b> ein Dokument nach abbrechen und speichern Sie es, es wird eine neue Nummer, die eine Version der alten Nummer erhalten."
Where items are stored.,Wo Elemente gespeichert werden.
Where manufacturing operations are carried out.,Wo Herstellungsvorgänge werden durchgeführt.
White,Weiß
Widowed,Verwitwet
Width,Breite
Will be calculated automatically when you enter the details,"Wird automatisch berechnet, wenn Sie die Daten eingeben"
Will be fetched from Customer,Wird vom Kunden abgeholt werden
With Operations,Mit Operations
Work Done,Arbeit
Work In Progress,Work In Progress
Workflow,Workflow
Workflow Action,Workflow-Aktion
Workflow Action Detail,Workflow-Aktion Details
Workflow Action Details,Workflow Action Details
Workflow Action Master,Workflow-Aktion Meister
Workflow Action Name,Workflow Aktion Name
Workflow Document State,Workflow Document Staat
Workflow Document States,Workflow Document Staaten
Workflow Engine,Workflow Engine
Workflow Name,Workflow-Name
Workflow Rule,Workflow-Regel
Workflow Rule Detail,Workflow Rule Details
Workflow Rule Details,Workflow Regeldetails
Workflow State,Workflow-Status
Workflow State Field,Workflow State Field
Workflow State Name,Workflow State Name
Workflow Transition,Workflow Transition
Workflow Transitions,Workflow Transitions
Workflow state represents the current state of a document.,Workflow-Status repräsentiert den aktuellen Status eines Dokuments.
Workflow will start after saving.,Workflow wird nach dem Speichern beginnen.
Workfow,Workfow
Working,Arbeit
Workstation,Arbeitsplatz
Workstation Name,Name der Arbeitsstation
Write,Schreiben
Write Off Account,Write Off Konto
Write Off Amount,Write Off Betrag
Write Off Amount <=,Write Off Betrag <=
Write Off Based On,Write Off Based On
Write Off Cost Center,Write Off Kostenstellenrechnung
Write Off Outstanding Amount,Write Off ausstehenden Betrag
Write Off Voucher,Write Off Gutschein
Year,Jahr
Year Closed,Jahr geschlossen
Year Name,Jahr Name
Year Start Date,Jahr Startdatum
Year of Passing,Jahr der Übergabe
Yearly,Jährlich
Yes,Ja
Yesterday,Gestern
You are not authorized to do/modify back dated entries before,"Sie sind nicht berechtigt, / do ändern zurück datierte Einträge vor"
You can create more earning and deduction type from Setup --> HR,Sie können mehr verdienen und Deduktion Typ aus Setup -> HR
You can enter any date manually,Sie können ein beliebiges Datum manuell eingeben
You can enter the minimum quantity of this item to be ordered.,Sie können die minimale Menge von diesem Artikel bestellt werden.
You can make a delivery note from multiple sales orders. Select sales orders one by one and click on the button below.,Sie können einen Lieferschein aus mehreren Aufträgen zu machen. Wählen Sie Aufträge nacheinander aus und klicken Sie auf den Button unten.
You can make a purchase order from multiple Material Requests. Select Material Requests one by one and click on the button below.,Sie können eine Bestellung von mehreren Werkstoff Requests machen. Markieren Sie das Material Requests nacheinander aus und klicken Sie auf den Button unten.
You can make a purchase order from multiple Supplier Quotations. Select Supplier Quotations one by one and click on the button below.,"Sie können eine Bestellung von mehreren Lieferanten Angebote zu machen. Wählen Sie Lieferant Zitate eins nach dem anderen, und klicken Sie auf den Button unten."
You can make a purchase receipt from multiple purchase orders. Select purchase orders one by one and click on the button below.,"Sie können einen Kaufbeleg von mehreren Bestellungen. Wählen Bestellungen eins nach dem anderen, und klicken Sie auf den Button unten."
You can set various 'properties' to Users to set default values and apply permission rules based on the value of these properties in various forms.,"Sie können verschiedene ""Eigenschaften"", um Benutzer auf Standardwerte gesetzt und gelten Erlaubnis Vorschriften über den Wert dieser Eigenschaften in verschiedenen Formen."
You can use <a href='#Form/Customize Form'>Customize Form</a> to set levels on fields.,Sie können <a href='#Form/Customize Form'> Formular anpassen </ a> auf ein Niveau auf den Feldern eingestellt.
Your Customer's TAX registration numbers (if applicable) or any general information,Ihre Kunden TAX Kennzeichen (falls zutreffend) oder allgemeine Informationen
"Your download is being built, this may take a few moments...","Ihr Download gebaut wird, kann dies einige Zeit dauern ..."
Your letter head content in HTML.,Ihr Briefkopf Inhalte in HTML.
Your sales person who will contact the customer in future,"Ihr Umsatz Person, die die Kunden in Zukunft in Verbindung setzen"
Your sales person who will contact the lead in future,"Ihr Umsatz Person, die die Führung in der Zukunft an"
Your sales person will get a reminder on this date to contact the customer,"Ihre Vertriebsmitarbeiter erhalten eine Erinnerung an diesem Tag, um den Kunden an"
Your sales person will get a reminder on this date to contact the lead,Ihre Vertriebsmitarbeiter erhalten eine Erinnerung an diesem Tag an die Spitze setzen
Your support email id - must be a valid email - this is where your emails will come!,"Ihre Unterstützung email id - muss eine gültige E-Mail-sein - das ist, wo Ihre E-Mails wird kommen!"
[],[]
add your own CSS (careful!),fügen Sie Ihre eigenen CSS (Vorsicht!)
adjust,einstellen
align-center,align-center
align-justify,Ausrichtung zu rechtfertigen
align-left,-links ausrichten
align-right,align-right
and,und
arrow-down,arrow-down
arrow-left,Pfeil-links
arrow-right,arrow-right
arrow-up,arrow-up
asterisk,Sternchen
backward,rückwärts
ban-circle,ban-Kreis
barcode,Strichcode
bell,Glocke
bold,fett
book,Buch
bookmark,Lesezeichen
briefcase,Aktentasche
bullhorn,Megafon
calendar,Kalender
camera,Kamera
cancel,kündigen
certificate,Zertifikat
check,überprüfen
chevron-down,Chevron-down
chevron-left,Chevron-links
chevron-right,Chevron-Rechts
chevron-up,Chevron-up
circle-arrow-down,circle-arrow-down
circle-arrow-left,Kreis-Pfeil-links
circle-arrow-right,circle-arrow-right
circle-arrow-up,circle-arrow-up
cog,Zahn
comment,Kommentar
create a Custom Field of type Link (Profile) and then use the 'Condition' settings to map that field to the Permission rule.,"erstellen ein benutzerdefiniertes Feld vom Typ Link (Profile) und dann die 'Bedingung' Einstellungen, um das Feld der Erlaubnis der Regel abzubilden."
dashboard,Armaturenbrett
dd-mm-yyyy,dd-mm-yyyy
dd/mm/yyyy,dd / mm / yyyy
deactivate,deaktivieren
does not belong to BOM:,nicht auf BOM gehören:
download,Download
download-alt,Download-alt
"e.g. 0.5, 2.5 etc","z.B. 0,5, 2,5 etc."
"e.g. Bank, Cash, Credit Card","z.B. Bank, Bargeld, Kreditkarte"
"e.g. Kg, Unit, Nos, m","z.B. Kg, Einheit, Nos, m"
"e.g. Office, Billing, Shipping","z.B. Office, Rechnungs-, Versand"
edit,bearbeiten
eg. Cheque Number,zB. Scheck-Nummer
eject,auswerfen
english,Englisch
envelope,Umschlag
equal,gleich
espaÌ±ol,Espai ± ol
exclamation-sign,Ausrufezeichen-Zeichen
eye-close,Auge-Schließ
eye-open,Augen öffnen
facetime-video,FaceTime-Video
fast-backward,Schnellrücklauf
fast-forward,Vorlauf
file,Datei
film,Film
filter,filtern
fire,Feuer
flag,Flagge
folder-close,Ordner-close
folder-open,Ordner öffnen
font,Schriftart
forward,vorwärts
franÌ¤ais,Frani ¤ ais
fullscreen,Vollbild
gift,Geschenk
glass,Glas
globe,Globus
greater than,größer als
greater than equal,größer gleich
hand-down,Hand-down
hand-left,Hand-links
hand-right,Hand-Rechts
hand-up,Hand-up
has been entered atleast twice,wurde atleast zweimal eingegeben
hdd,hdd
headphones,Kopfhörer
heart,Herz
home,Zuhause
inbox,Posteingang
indent-left,Gedankenstrich links
indent-right,indent-Recht
info-sign,info-Zeichen
is a cancelled Item,ist ein gestempeltes
is not a Stock Item,ist kein Lagerartikel
is not allowed.,ist nicht erlaubt.
italic,kursiv
leaf,Blatt
less than,weniger als
less than equal,weniger als gleich
lft,lft
list,Liste
list-alt,list-alt
lock,sperren
magnet,Magnet
map-marker,map-Marker
minus,minus
minus-sign,Minus-Zeichen
mm-dd-yyyy,mm-dd-yyyy
mm/dd/yy,mm / tt / jj
mm/dd/yyyy,mm / dd / yyyy
move,bewegen
music,Musik
nederlands,nederlands
not equal,ungleich
not within Fiscal Year,nicht innerhalb Geschäftsjahr
of type Link,vom Typ Link-
off,ab
ok,Ok
ok-circle,ok-Kreis
ok-sign,ok-Zeichen
old_parent,old_parent
or,oder
pause,Pause
pencil,Bleistift
picture,Bild
plane,Flugzeug
play,spielen
play-circle,play-Kreis
plus,plus
plus-sign,Plus-Zeichen
portuguÌ»s,portuguÌ »s
print,drucken
qrcode,qrcode
question-sign,Frage-Zeichen
question-view,Frage-view
questions,Fragen
random,zufällig
reached its end of life on,erreichte Ende des Lebens auf
refresh,erfrischen
remove,entfernen
remove-circle,remove-Kreis
remove-sign,remove-Anmeldung
repeat,wiederholen
resize-full,resize-full
resize-horizontal,resize-horizontal
resize-small,resize-small
resize-vertical,resize-vertikalen
retweet,retweet
rgt,rgt
road,Straße
screenshot,Screenshot
search,Suche
share,Aktie
share-alt,Aktien-alt
shopping-cart,Shopping-cart
signal,signalisieren
star,Stern
star-empty,star-empty
step-backward,Schritt-Rückwärts
step-forward,Schritt vorwärts
stop,stoppen
tag,Anhänger
tags,Tags
"target = ""_blank""","target = ""_blank"""
tasks,Aufgaben
test,Test
text-height,text-Höhe
text-width,Text-width
th,th
th-large,th-groß
th-list,th-Liste
thumbs-down,Daumen runter
