 (Half Day),(ครึ่งวัน)
"The Item that represents the Package. This Item must have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes""",รายการที่แสดงถึงแพคเกจ รายการนี​​้จะต้องมี &quot;รายการสินค้า&quot; ขณะที่ &quot;ไม่มี&quot; และ &quot;รายการขาย&quot; เป็น &quot;ใช่&quot;
The date at which current entry is made in system.,วันที่ที่รายการปัจจุบันจะทำในระบบ
The date at which current entry will get or has actually executed.,วันที่ที่รายการปัจจุบันจะได้รับหรือได้ดำเนินการจริง
The date on which next invoice will be generated. It is generated on submit.,วันที่ออกใบแจ้งหนี้ต่อไปจะถูกสร้างขึ้น มันถูกสร้างขึ้นบนส่ง
The date on which recurring invoice will be stop,วันที่ใบแจ้งหนี้ที่เกิดขึ้นจะถูกหยุด
"The day of the month on which auto invoice will be generated e.g. 05, 28 etc ","วันของเดือนที่ใบแจ้งหนี้อัตโนมัติจะถูกสร้างขึ้นเช่น 05, 28 ฯลฯ"
The first Leave Approver in the list will be set as the default Leave Approver,อนุมัติไว้ครั้งแรกในรายการจะถูกกำหนดเป็นค่าเริ่มต้นอนุมัติไว้
The gross weight of the package. Usually net weight + packaging material weight. (for print),น้ำหนักรวมของแพคเกจ น้ำหนักสุทธิปกติ + น้ำหนักวัสดุบรรจุภัณฑ์ (สำหรับพิมพ์)
The name of your company / website as you want to appear on browser title bar. All pages will have this as the prefix to the title.,ชื่อ บริษัท / เว็บไซต์ของคุณตามที่คุณต้องการให้ปรากฏบนแถบชื่อเบราว์เซอร์ หน้าทั้งหมดที่จะมีนี้เป็นคำนำหน้าชื่อ
The net weight of this package. (calculated automatically as sum of net weight of items),น้ำหนักสุทธิของแพคเกจนี้ (คำนวณโดยอัตโนมัติเป็นที่รวมของน้ำหนักสุทธิของรายการ)
The new BOM after replacement,BOM ใหม่หลังจากเปลี่ยน
The rate at which Bill Currency is converted into company's base currency,อัตราที่สกุลเงินบิลจะถูกแปลงเป็นสกุลเงินหลักของ บริษัท
"The system provides pre-defined roles, but you can <a href='#List/Role'>add new roles</a> to set finer permissions",ระบบให้บทบาทกำหนดไว้ล่วงหน้า แต่คุณสามารถ <a href='#List/Role'>เพิ่มบทบาทใหม่</a> ในการกำหนดสิทธิ์ปลีกย่อย
The unique id for tracking all recurring invoices. It is generated on submit.,ID ไม่ซ้ำกันสำหรับการติดตามใบแจ้งหนี้ที่เกิดขึ้นทั้งหมด มันถูกสร้างขึ้นเมื่อส่ง
Then By (optional),แล้วโดย (ไม่จำเป็น)
These properties are Link Type fields from all Documents.,คุณสมบัติเหล่านี้เป็นเขตประเภท Link จากเอกสารทั้งหมด
