 (Half Day),(Demi-journée)
Total Billing This Year: ,Facturation totale de cette année:
Total Claimed Amount,Montant total réclamé
Total Commission,Total de la Commission
Total Cost,Coût total
Total Credit,Crédit total
Total Debit,Débit total
Total Deduction,Déduction totale
Total Earning,Gains totale
Total Experience,Total Experience
Total Hours,Total des heures
Total Hours (Expected),Total des heures (prévue)
Total Invoiced Amount,Montant total facturé
Total Leave Days,Total des jours de congé
Total Leaves Allocated,Feuilles total alloué
Total Operating Cost,Coût d&#39;exploitation total
Total Points,Total des points
Total Raw Material Cost,Coût total des matières premières
Total SMS Sent,Total des SMS envoyés
Total Sanctioned Amount,Montant total sanctionné
Total Score (Out of 5),Score total (sur 5)
Total Tax (Company Currency),Total des Taxes (Société Monnaie)
Total Taxes and Charges,Total Taxes et frais
Total Taxes and Charges (Company Currency),Total des taxes et charges (Société Monnaie)
Total Working Days In The Month,Nombre total de jours ouvrables du mois
Total amount of invoices received from suppliers during the digest period,Montant total des factures reçues des fournisseurs durant la période digest
Total amount of invoices sent to the customer during the digest period,Montant total des factures envoyées au client au cours de la période digest
Total in words,Total en mots
Total production order qty for item,Totale pour la production de quantité pour l&#39;article
Totals,Totaux
Track separate Income and Expense for product verticals or divisions.,Suivre distincte sur le revenu et dépenses pour des produits ou des divisions verticales.
Track this Delivery Note against any Project,Suivre ce bon de livraison contre tout projet
Track this Sales Invoice against any Project,Suivre ce facture de vente contre tout projet
Track this Sales Order against any Project,Suivre ce décret ventes contre tout projet
Transaction,Transaction
Transaction Date,Date de la transaction
Transfer,Transférer
Transition Rules,Règles de transition
Transporter Info,Infos Transporter
Transporter Name,Nom Transporter
Transporter lorry number,Numéro camion transporteur
Trash Reason,Raison Corbeille
Tree of item classification,Arbre de classification du produit
Trial Balance,Balance
Tuesday,Mardi
Tweet will be shared via your user account (if specified),Tweet sera partagée via votre compte utilisateur (si spécifié)
Twitter Share,Partager Twitter
Twitter Share via,Twitter Partager via
Type,Type
Type of document to rename.,Type de document à renommer.
Type of employment master.,Type de maître emploi.
"Type of leaves like casual, sick etc.","Type de feuilles comme occasionnel, etc malades"
Types of Expense Claim.,Types de demande de remboursement.
Types of activities for Time Sheets,Types d&#39;activités pour les feuilles de temps
UOM,Emballage
UOM Conversion Detail,Détail de conversion Emballage
UOM Conversion Details,Détails conversion UOM
UOM Conversion Factor,Facteur de conversion Emballage
UOM Conversion Factor is mandatory,Facteur de conversion UOM est obligatoire
UOM Details,Détails UOM
UOM Name,Nom UDM
UOM Replace Utility,Utilitaire Remplacer Emballage
UPPER CASE,MAJUSCULES
UPPERCASE,MAJUSCULES
URL,URL
Unable to complete request: ,Impossible de terminer la requête:
Under AMC,En vertu de l&#39;AMC
Under Graduate,Sous Graduate
Under Warranty,Sous garantie
Unit of Measure,Unité de mesure
"Unit of measurement of this item (e.g. Kg, Unit, No, Pair).","Unité de mesure de cet article (Kg par exemple, unité, Non, Pair)."
Units/Hour,Unités / heure
Units/Shifts,Unités / Quarts de travail
Unmatched Amount,Montant inégalée
Unpaid,Non rémunéré
Unread Messages,Messages non lus
Unscheduled,Non programmé
Unsubscribed,Désabonné
Upcoming Events for Today,Prochains événements pour Aujourd&#39;hui
Update,Mettre à jour
Update Clearance Date,Mettre à jour Date de Garde
Update Field,Mise à jour de terrain
Update PR,Mise à jour PR
Update Series,Update Series
Update Series Number,Numéro de série mise à jour
Update Stock,Mise à jour Stock
Update Stock should be checked.,Mise à jour Stock doit être vérifiée.
Update Value,Mettez à jour la valeur
"Update allocated amount in the above table and then click ""Allocate"" button","Mise à jour montant alloué dans le tableau ci-dessus, puis cliquez sur &quot;Occupation&quot; bouton"
Update bank payment dates with journals.,Mise à jour bancaire dates de paiement des revues.
Update is in progress. This may take some time.,Mise à jour est en cours. Cela peut prendre un certain temps.
Updated,Mise à jour
Upload Attachment,Téléchargez Attachment
Upload Attendance,Téléchargez Participation
Upload Backups to Dropbox,Téléchargez sauvegardes à Dropbox
Upload Backups to Google Drive,Téléchargez sauvegardes à Google Drive
Upload HTML,Téléchargez HTML
Upload a .csv file with two columns: the old name and the new name. Max 500 rows.,Télécharger un fichier csv avec deux colonnes:. L&#39;ancien nom et le nouveau nom. Max 500 lignes.
Upload a file,Télécharger un fichier
Upload and Import,Téléchargez et importation
Upload attendance from a .csv file,Téléchargez la présence d&#39;un fichier. Csv
Upload stock balance via csv.,Téléchargez solde disponible via csv.
Uploading...,Téléchargement ...
Upper Income,Revenu élevé
Urgent,Urgent
Use Multi-Level BOM,Utilisez Multi-Level BOM
Use SSL,Utiliser SSL
User,Utilisateur
User Cannot Create,L&#39;utilisateur ne peut pas créer
User Cannot Search,L&#39;utilisateur ne peut pas effectuer de recherche
User ID,ID utilisateur
User Image,De l&#39;utilisateur
User Name,Nom d&#39;utilisateur
User Remark,Remarque l&#39;utilisateur
User Remark will be added to Auto Remark,Remarque l&#39;utilisateur sera ajouté à Remarque Auto
User Tags,Nuage de Tags
User Type,Type d&#39;utilisateur
User must always select,L&#39;utilisateur doit toujours sélectionner
User not allowed entry in the Warehouse,Entrée utilisateur non autorisé dans l&#39;entrepôt
User not allowed to delete.,Utilisateur non autorisé à supprimer.
UserRole,UserRole
Username,Nom d&#39;utilisateur
Users who can approve a specific employee's leave applications,Les utilisateurs qui peuvent approuver les demandes de congé d&#39;un employé spécifique
Users with this role are allowed to do / modify accounting entry before frozen date,Les utilisateurs disposant de ce rôle sont autorisés à faire / modifier écriture comptable avant la date congelés
Utilities,Utilitaires
Utility,Utilitaire
Valid For Territories,Valable pour les territoires
Valid Upto,Jusqu&#39;à valide
Valid for Buying or Selling?,Valable pour acheter ou vendre?
Valid for Territories,Valable pour les Territoires
Validate,Valider
Valuation,Évaluation
Valuation Method,Méthode d&#39;évaluation
Valuation Rate,Taux d&#39;évaluation
Valuation and Total,Valorisation et Total
Value,Valeur
Value missing for,Valeur manquante pour
Vehicle Dispatch Date,Date de véhicule Dispatch
Vehicle No,Aucun véhicule
Verdana,Verdana
Verified By,Vérifié par
Visit,Visiter
Visit report for maintenance call.,Visitez le rapport de l&#39;appel d&#39;entretien.
Voucher Detail No,Détail volet n °
Voucher ID,ID Bon
Voucher Import Tool,Bon outil d&#39;importation
Voucher No,Bon Pas
Voucher Type,Type de Bon
Voucher Type and Date,Type de chèques et date
WIP Warehouse required before Submit,WIP Entrepôt nécessaire avant Soumettre
Waiting for Customer,En attente de la clientèle
Walk In,Walk In
Warehouse,Entrepôt
Warehouse Contact Info,Entrepôt Info Contact
Warehouse Detail,Détail d&#39;entrepôt
Warehouse Name,Nom d&#39;entrepôt
Warehouse User,L&#39;utilisateur d&#39;entrepôt
Warehouse Users,Les utilisateurs d&#39;entrepôt
Warehouse and Reference,Entrepôt et référence
Warehouse does not belong to company.,Entrepôt n&#39;appartient pas à la société.
Warehouse where you are maintaining stock of rejected items,Entrepôt où vous êtes maintenant le bilan des éléments rejetés
Warehouse-Wise Stock Balance,Warehouse-Wise Stock Solde
Warehouse-wise Item Reorder,Warehouse-sage Réorganiser article
Warehouses,Entrepôts
Warn,Avertir
Warning,Avertissement
Warning: Leave application contains following block dates,Attention: la demande d&#39;autorisation contient les dates de blocs suivants
Warranty / AMC Details,Garantie / AMC Détails
Warranty / AMC Status,Garantie / AMC Statut
Warranty Expiry Date,Date d&#39;expiration de garantie
Warranty Period (Days),Période de garantie (jours)
Warranty Period (in days),Période de garantie (en jours)
Web Content,Contenu Web
Web Page,Page Web
Website,Site Web
Website Description,Description du site Web
Website Item Group,Groupe Article Site
Website Item Groups,Groupes d&#39;articles Site web
Website Overall Settings,Réglages généraux Site web
Website Script,Script site web
Website Settings,Réglages Site web
Website Slideshow,Diaporama site web
Website Slideshow Item,Point Diaporama site web
Website User,Utilisateur
Website Warehouse,Entrepôt site web
Wednesday,Mercredi
Weekly,Hebdomadaire
Weekly Off,Hebdomadaire Off
Weight UOM,Poids Emballage
Weightage,Weightage
Weightage (%),Weightage (%)
Welcome,Accueil
"When any of the checked transactions are ""Submitted"", an email pop-up automatically opened to send an email to the associated ""Contact"" in that transaction, with the transaction as an attachment. The user may or may not send the email.","Lorsque l&#39;une des opérations contrôlées sont «soumis», un e-mail pop-up s&#39;ouvre automatiquement pour envoyer un courrier électronique à l&#39;associé &quot;Contact&quot; dans cette transaction, la transaction en pièce jointe. L&#39;utilisateur peut ou ne peut pas envoyer l&#39;e-mail."
