 (Half Day),（半天）
Work In Progress,工作进展
Work-in-Progress Warehouse,工作在建仓库
Workflow,工作流程
Workflow Action,工作流操作
Workflow Action Master,工作流操作主
Workflow Action Name,工作流操作名称
Workflow Document State,工作流文档状态
Workflow Document States,工作流文档国
Workflow Name,工作流名称
Workflow State,工作流状态
Workflow State Field,工作流状态字段
Workflow Transition,工作流程转换
Workflow Transitions,工作流程转换
Workflow state represents the current state of a document.,工作流状态表示文档的当前状态。
Workflow will start after saving.,保存后的工作流程将启动。
Working,工作的
Workstation,工作站
Workstation Name,工作站名称
Write,写
Write Off Account,核销帐户
Write Off Amount,核销金额
Write Off Amount <=,核销金额&lt;=
Write Off Based On,核销的基础上
Write Off Cost Center,冲销成本中心
Write Off Outstanding Amount,核销额（亿元）
Write Off Voucher,核销券
Write a Python file in the same folder where this is saved and return column and result.,写一个Python文件，在这个被保存在同一文件夹中，并返回列和结果。
Write a SELECT query. Note result is not paged (all data is sent in one go).,写一个SELECT查询。注结果不分页（所有数据都一气呵成发送）。
Write sitemap.xml,写的sitemap.xml
Writers Introduction,作家简介
Wrong Template: Unable to find head row.,错误的模板：找不到头排。
Year,年
Year Closed,年度关闭
Year End Date,年结日
Year Name,今年名称
Year Start Date,今年开始日期
Year Start Date and Year End Date are already \						set in Fiscal Year: ,年开学日期及年结日已\在财政年度设定：
Year Start Date and Year End Date are not within Fiscal Year.,今年开始日期和年份结束日期是不是在会计年度。
Year Start Date should not be greater than Year End Date,今年开始日期不应大于年度日期
Year of Passing,路过的一年
Yearly,每年
Yes,是的
Yesterday,昨天
You are not allowed to reply to this ticket.,你不允许回复此票。
You are not authorized to do/modify back dated entries before ,您无权做/修改之前追溯项目
You are not authorized to set Frozen value,您无权设定值冻结
You are the Leave Approver for this record. Please Update the 'Status' and Save,您是第休假审批此记录。请更新“状态”并保存
You can enter any date manually,您可以手动输入任何日期
You can enter the minimum quantity of this item to be ordered.,您可以输入资料到订购的最小数量。
You can not change rate if BOM mentioned agianst any item,你不能改变速度，如果BOM中提到反对的任何项目
You can not enter both Delivery Note No and Sales Invoice No. \					Please enter any one.,你不能同时输入送货单号及销售发票号\请输入任何一个。
You can set various 'properties' to Users to set default values and apply permission rules based on the value of these properties in various forms.,您可以设置不同的“属性”，以用户设置的默认值，并基于各种形式的这些属性值的权限规则。
You can start by selecting backup frequency and \					granting access for sync,您可以通过选择备份频率和\授予访问权限的同步启动
You can submit this Stock Reconciliation.,您可以提交该股票对账。
You can update either Quantity or Valuation Rate or both.,你可以更新数量或估值速率或两者兼而有之。
You can use <a href='#Form/Customize Form'>Customize Form</a> to set levels on fields.,您可以使用<a href='#Form/Customize Form'>自定义表单</a>上栏位设定水平。
You cannot give more than ,你不能给超过
You have entered duplicate items. Please rectify and try again.,您输入重复的项目。请纠正，然后再试一次。
You may need to update: ,你可能需要更新：
You must ,你必须
Your Customer's TAX registration numbers (if applicable) or any general information,你的客户的税务登记证号码（如适用）或任何股东信息
Your Customers,您的客户
Your ERPNext subscription will,您ERPNext订阅将
Your Products or Services,您的产品或服务
Your Suppliers,您的供应商
"Your download is being built, this may take a few moments...",您的下载正在修建，这可能需要一些时间......
Your sales person who will contact the customer in future,你的销售人员谁将会联系客户在未来
Your sales person will get a reminder on this date to contact the customer,您的销售人员将获得在此日期提醒联系客户
Your setup is complete. Refreshing...,你的设置就完成了。清爽...
Your support email id - must be a valid email - this is where your emails will come!,您的支持电子邮件ID  - 必须是一个有效的电子邮件 - 这就是你的邮件会来！
[Label]:[Field Type]/[Options]:[Width],[标签]：[字段类型] / [选项]：[宽]
add your own CSS (careful!),添加您自己的CSS（careful!）
adjust,调整
align-center,对准中心
align-justify,对齐对齐
align-left,对齐左
align-right,对齐，右
already available in Price List,在价格表已经存在
and,和
"and create a new Account Ledger (by clicking on Add Child) of type ""Bank or Cash""",并创建一个新的帐户总帐型“银行或现金”的（通过点击添加子）
"and create a new Account Ledger (by clicking on Add Child) of type ""Tax"" and do mention the Tax rate.",并创建一个新的帐户分类帐类型“税”（点击添加子），并且还提到了税率。
are not allowed for,不允许使用
are not allowed for ,不允许使用
arrow-down,箭头向下
arrow-left,箭头左
arrow-right,箭头向右
arrow-up,向上箭头
assigned by,由分配
asterisk,星号
backward,落后
ban-circle,禁令圈
barcode,条形码
bell,钟
bold,胆大
book,书
bookmark,书签
briefcase,公文包
bullhorn,扩音器
but entries can be made against Ledger,但项可以对总帐进行
but is pending to be manufactured.,但是有待被制造。
calendar,日历
camera,相机
cannot be greater than 100,不能大于100
cannot be included in Item's rate,不能包含在项目的速度
cannot start with,无法开始
certificate,证书
check,查
chevron-down,雪佛龙跌
chevron-left,人字形左
chevron-right,雪佛龙 - 右
chevron-up,雪佛龙达
circle-arrow-down,圆圈箭头向下
circle-arrow-left,圆圈箭头向左
circle-arrow-right,圆圈箭头向右
circle-arrow-up,圆圈箭头行动
cog,COG
comment,评论
create a Custom Field of type Link (Profile) and then use the 'Condition' settings to map that field to the Permission rule.,创建类型链接（配置文件）的自定义字段，然后使用“条件”设置到该字段映射到权限规则。
dd-mm-yyyy,日 - 月 - 年
dd/mm/yyyy,日/月/年
deactivate,关闭
discount on Item Code,在产品编号的折扣
does not belong to BOM: ,不属于BOM：
does not have role 'Leave Approver',没有作用“休假审批&#39;
download,下载
download-alt,下载的Alt
"e.g. Bank, Cash, Credit Card",例如：银行，现金，信用卡
"e.g. Kg, Unit, Nos, m",如公斤，单位，NOS，M
edit,编辑
eg. Cheque Number,例如：。支票号码
eject,喷射
envelope,信封
example: Next Day Shipping,例如：次日发货
example: http://help.erpnext.com,例如：http://help.erpnext.com
