Pension Funds,Pensionifondid
"Standard tax template that can be applied to all Purchase Transactions. This template can contain list of tax heads and also other expense heads like ""Shipping"", ""Insurance"", ""Handling"" etc.

#### Note

The tax rate you define here will be the standard tax rate for all **Items**. If there are **Items** that have different rates, they must be added in the **Item Tax** table in the **Item** master.

#### Description of Columns

1. Calculation Type: 
    - This can be on **Net Total** (that is the sum of basic amount).
    - **On Previous Row Total / Amount** (for cumulative taxes or charges). If you select this option, the tax will be applied as a percentage of the previous row (in the tax table) amount or total.
    - **Actual** (as mentioned).
2. Account Head: The Account ledger under which this tax will be booked
3. Cost Center: If the tax / charge is an income (like shipping) or expense it needs to be booked against a Cost Center.
4. Description: Description of the tax (that will be printed in invoices / quotes).
5. Rate: Tax rate.
6. Amount: Tax amount.
7. Total: Cumulative total to this point.
8. Enter Row: If based on ""Previous Row Total"" you can select the row number which will be taken as a base for this calculation (default is the previous row).
9. Consider Tax or Charge for: In this section you can specify if the tax / charge is only for valuation (not a part of total) or only for total (does not add value to the item) or for both.
10. Add or Deduct: Whether you want to add or deduct the tax.","Standardne maksumall, mida saab rakendada kõikidele ostutehingutele. See mall võib sisaldada maksupead ja muid kulupead nagu &quot;Laevandus&quot;, &quot;Kindlustus&quot;, &quot;Käitlemine&quot; jne. #### Märkus Siin defineeritud maksumäär on kõigi ** üksuste maksumäär * *. Kui ** on ** teemad **, millel on erinevad maksumäärad, tuleb need lisada ** kirje ** ** tabelisse ** kirje ** kapten. #### Veergude kirjeldus 1. Arvutustüüp: - See võib olla ** Net Total ** (see on põhisumma summa). - ** Eelmisel real kokku / summa ** (kumulatiivsete maksude või tasude puhul). Kui valite selle valiku, rakendatakse seda maksu protsendina eelmisest reast (maksude tabelis) või kogusummas. - ** Tegelik ** (nagu mainitud). 2. Konto juht: Konto pearaamat, mille alla see maks on kirjendatud. 4. Kirjeldus: maksu kirjeldus (trükitakse arvetesse / hinnapakkumistesse). 5. Hind: maksumäär. 6. Summa: maksusumma. 7. Kokku: Kumulatiivne kogusumma siiani. 8. Sisestage rida: kui põhineb &quot;Eelmise rea kokku&quot;, saate valida selle numbri aluseks oleva rea numbri (vaikimisi on eelmine rida). 9. Kaaluge maksu või tasu eest: Selles jaotises saate määrata, kas maks / tasu on ainult hindamisel (mitte osa kogumahust) või ainult kokku (ei lisa objekti väärtust) või mõlemale. 10. Lisa või mahaarvamine: kas soovite maksu lisada või maha arvata."
Connect to Quickbooks,Ühendage Quickbookidega
Root cannot be edited.,Root ei saa redigeerida.
Engineer,Insener
Row #{0}: Item added,Rida # {0}: lisatud üksus
Eligibility and Details,Abikõlblikkus ja üksikasjad
Staffing Plan Detail,Personali plaani detail
Annual Income,Aastane sissetulek
Subscription Section,Tellimuse osa
Payment Days,Maksepäevad
Volunteer information.,Vabatahtlike teave.
`Freeze Stocks Older Than` should be smaller than %d days.,&quot;Varude varu vanemad kui&quot; peaksid olema väiksemad kui% d päeva.
Select Fiscal Year,Valige eelarveaasta
Total Amount,Kogu summa
Non Profit,Kasumita
Cancel Invoice After Grace Period,Tühista arve pärast ajapikendust
Loyalty Points,Lojaalsuspunktid
Set Target Warehouse,Määra sihtmärgi ladu
Check-in Date,Sisseregistreerimise kuupäev
Round Off Account,Kontot ümardatakse
Warranty Period (Days),Garantiiaeg (päevad)
Expense Claim Detail,Kulude nõude üksikasjad
Program: ,Programm:
Patient Medical Record,Patsiendi meditsiiniline kirje
Action Description,Tegevuse kirjeldus
Variant Based On,Variant põhineb
Brake Oil,Piduriõli
Create User,Loo kasutaja
Codification Table,Kodifitseerimise tabel
Optional,Valikuline
Show Leaves Of All Department Members In Calendar,Näita kõigi osakonnaliikmete lehti kalendris
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Ei leitud tööülesandes {1} üleantud üksust {0}, mida ei lisatud varude kirjele"
See all open tickets,Vaata kõiki avatud pileteid
Operations cannot be left blank,Toiminguid ei saa jätta tühjaks
At least one mode of payment is required for POS invoice.,POS arve puhul on nõutav vähemalt üks makseviis.
Guardian1 Email ID,Guardian1 e-posti ID
Supplier delivers to Customer,Tarnija esitab kliendile
Appointment Booked,Kohtumine reserveeritud
Target Warehouse,Sihtlaod
Stale Days,Stale päeva
Row {0}: Credit entry can not be linked with a {1},Rida {0}: krediidi sisestamist ei saa siduda {1} -ga
Healthcare Practitioner {0} not available on {1},Tervishoiutöötaja {0} ei ole saadaval {1}
All Customer Contact,Kõik kliendikontaktid
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Proovi säilitamine põhineb partiil, kontrollige, kas partii nr säilitamiseks on partii nr"
Disc,Plaat
Make Accounting Entry For Every Stock Movement,Tehke raamatupidamisarvestus iga varude liikumise kohta
Check-out Date,Väljaregistreerimise kuupäev
Fertilizer,Väetis
Default Tax Withholding Config,Maksu vaikimisi konfigureerimine
Total Produced Qty,Kokku toodetud kogus
Leave Period,Jäta periood
Payment request {0} created,Makse taotlus {0} loodud
UOM Conversion in Hours,UOMi teisendamine tunnis
Avg. Selling Price List Rate,Keskmine Müügihinna hinnakiri
Generate Material Requests (MRP) and Work Orders.,Loo materiaalsed taotlused (MRP) ja töökorraldused.
Account Balance,Kontojääk
Periodicity,Perioodilisus
Medical Record,Meditsiiniline kirje
Execution,Täitmine
Valuation Method,Hindamismeetod
{0} against Sales Invoice {1},{0} müügiarve {1} vastu
Pass,Üle andma
Sales Partner Target,Müügipartneri sihtmärk
Referring Practitioner,Viidav praktik
Expenses Included In Asset Valuation,Kulud varade hindamisse
Publishing,Kirjastamine
Sales Orders Detail,Müügitellimuste üksikasjad
Total Deduction,Kokku mahaarvamine
EMI,EMI
Set prefix for numbering series on your transactions,Määrake oma tehingute nummerdamise seeria eesliide
Journal Entries {0} are un-linked,Ajakirja kirjed {0} on omavahel seotud
Other Reports,Muud aruanded
All items have already been invoiced,Kõik esemed on juba arvestatud
Asset scrapped via Journal Entry {0},Vara lammutati ajakirja kirje {0} kaudu
Prefered Email,Eelistatud e-post
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Hindamismeetodit ei saa muuta, sest on olemas tehinguid mõnede objektide vastu, millel ei ole oma hindamismeetodit"
Section Name,Jao nimi
Packed Item,Pakitud toode
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: {2} jaoks on nõutav kas deebet- või krediidi summa
Submitting Salary Slips...,Palgatõendite esitamine ...
No Action,Toiming puudub
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Eelarvet ei saa määrata {0} vastu, kuna see ei ole tulu- ega kulu konto"
Masters and Accounts,Meistrid ja kontod
Responsible Individual,Vastutav isik
Total Weightage of all Assessment Criteria must be 100%,Kõigi hindamiskriteeriumide kogumass peab olema 100%
An error occurred during the update process,Värskendamise käigus ilmnes viga
Customer Name,Kliendi nimi
Amount should not be less than zero.,Summa ei tohiks olla väiksem kui null.
Average Age,Keskmine vanus
Show Price,Näita hinda
Program Enrollment Tool Student,Programmi registreerimise tööriista õpilane
Shipping State,Laevandusriik
Please set Company,Palun määrake Firma
Balance (Dr - Cr),Tasakaal (Dr - Cr)
Supply Type,Tarnetüüp
Create documents for sample collection,Loo proovide kogumiseks dokumente
Close Opportunity After Days,Sulge võimalus pärast päeva
Ref Code,Ref Code
Widowed,Lesk
ERPNext Company,ERPNext Company
Leave blank to use the standard Delivery Note format,"Jäta tühi, et kasutada standardset tarneteatise vormingut"
Accepted Qty,Vastuvõetud kogus
Apply Rule On Brand,Rakenda eeskirja brändi kohta
Show Availability Status,Kuva kättesaadavuse olek
Import Successfull,Importimine õnnestus
Soil Texture,Mulla tekstuur
No of Visits,Külastuste arv
Qualitative Feedback,Kvalitatiivne tagasiside
Response and Resoution Time,Vastus ja taastamise aeg
Expiring On,Aegub
Scorecard Actions,Tulemuskaardi toimingud
Stock Adjustment,Varude korrigeerimine
Health Care,Tervishoid
No of Seats,Istekohtade arv
Delete all the Transactions for this Company,Kustutage kõik selle ettevõtte tehingud
Lead Details,Plii üksikasjad
Default Service Level Agreement,Vaikimisi teenuse taseme kokkulepe
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Filtreeri väljad Rida # {0}: välja nimi <b>{1}</b> peab olema tüübiga &quot;Link&quot; või &quot;Table MultiSelect&quot;
Suggestions,Ettepanekud
Get from,Saage
Tax Rule,Maksueeskiri
Payment Order Status,Maksekorralduse staatus
Duplicate entry,Dubleeriv kirje
Example: Masters in Computer Science,Näide: meistrid arvutiteaduses
Purchase Invoice Item,Ostu arve kirje
Non Profit Manager,Mittetulunduslik juht
For Warehouse is required before Submit,Warehouse&#39;i jaoks on vajalik enne saatmist
Applicable To (User),Kohaldatav (kasutaja)
Appraisal Goal,Hindamise eesmärk
Warn for new Purchase Orders,Hoia uute ostutellimuste eest
View Chart of Accounts,Vaata kontoplaani
Quotations: ,Tsitaadid:
To Discuss,Arutama
Reading 9,Lugemine 9
Applicable To (Role),Kohaldatav (roll)
Additional Notes,lisamärkmed
{0} can not be negative,{0} ei saa olla negatiivne
Create Purchase Orders,Loo ostutellimused
Estimated Cost Per Position,Hinnanguline kulu asukoha kohta
Loan Name,Laenu nimi
Set default mode of payment,Määra vaikimisi makseviis
Revision,Läbivaatamine
Service Unit Type,Teenindusüksuse tüüp
Return Against Purchase Invoice,Tagasi ostu arve vastu
Generate Secret,Loo saladus
Loyalty Program Collection,Lojaalsusprogrammi kogumine
Send mass SMS to your contacts,Saada mass-SMS oma kontaktidele
Create Fee Schedule,Loo tasude ajakava
File to Rename,Fail ümbernimetamiseks
Timer exceeded the given hours.,Taimer ületas antud tunni.
ERPNext Account,ERPNext konto
Item Supplier,Üksus Tarnija
Price List {0} is disabled or does not exist,Hinnakiri {0} on keelatud või puudub
Deferred Revenue Account,Edasilükatud tulukonto
Soil compositions do not add up to 100,Muldkompositsioonid ei lisa kuni 100
Salary Slip Timesheet,Palk Slip Timesheet
Warn,Hoiatage
Email Notification Sent,E-posti teatis on saadetud
Planned End Date,Planeeritud lõppkuupäev
Quickbooks Company ID,Quickbooks&#39;i ettevõtte ID
Warehouse cannot be changed for Serial No.,Ladu ei saa seerianumbri jaoks muuta
Rate of Interest (%) Yearly,Intressimäär (%) Aastane
Cost of Scrapped Asset,Murdunud vara maksumus
Please set an Address on the Company '%s',Palun määrake ettevõttes &#39;% s&#39; aadress
Encounter Date,Encounter Date
Webhooks,Webhooks
Memebership Type Details,Memebership Type üksikasjad
Resistant,Vastupidav
Hotel Room Package,Hotelli tubade pakett
Contribution to Net Total,Panus netokogusse
"Reselect, if the chosen contact is edited after save","Valige uuesti, kui valitud kontakt on pärast salvestamist redigeeritud"
Employee Tax Exemption Sub Category,Töötajate maksuvabastuse alamkategooria
Row {0}# Paid Amount cannot be greater than requested advance amount,Rida {0} # Makstud summa ei tohi olla nõutud ettemaksu summa suurem
This value is used for pro-rata temporis calculation,Seda väärtust kasutatakse pro rata temporis arvutamiseks
Change Abbreviation,Muuda Lühend
Total Consumed Material Cost  (via Stock Entry),Kulutatud materjali kogumaksumus (varude sisestamise kaudu)
Raw Materials Supplied,Toorained tarnitakse
Condition and Formula Help,Olukord ja abi abi
Balance ({0}),Saldo ({0})
Student ID: ,Õpilase ID:
New Leaves Allocated (In Days),Uued lehed (päevades)
To Datetime,Datetime
Lab result datetime cannot be before testing datetime,Laboritulemus ei pruugi olla datimeetme testimise kuupäev
Please re-type company name to confirm,Kinnitamiseks sisestage ettevõtte nimi uuesti
Subscription Period,Tellimuse periood
Position,Asukoht
Sibling Details,Siblingi üksikasjad
Is Finance Cost Adjustment,Kas finantskulude korrigeerimine
Encounter Impression,Encounter Impression
N/A,N / A
Lab Technician,Lab-tehnik
"Item {0} is a template, please select one of its variants","Üksus {0} on mall, palun valige üks selle variantidest"
How Pricing Rule is applied?,Kuidas hinnakujunduse reeglit rakendatakse?
Email Digest Settings,E-posti digesti sätted
Inter Company Journal Entry,Ettevõtte ajakirja kanne
Create Delivery Trip,Loo kohaletoimetamise reis
Row # {0}: Serial No {1} does not match with {2} {3},Rida # {0}: seerianumber {1} ei vasta {2} {3}
Sales Order required for Item {0},Toote {0} jaoks nõutav müügitellimus
Get Details From Declaration,Hankige üksikasjad deklaratsioonist
Support Hour Distribution,Toetage tundide jaotust
Allow Account Creation Against Child Company,Luba konto loomine lapsettevõtte vastu
Company Bank Account,Ettevõtte pangakonto
UK,Ühendkuningriik
Procedure Steps,Menetluse sammud
Normal Test Items,Tavalised testimiselemendid
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,Üksus {0}: tellitud kogus {1} ei tohi olla väiksem kui minimaalne tellimuse kogus {2} (määratletud punktis).
Not in Stock,Ei ole laos
Cart,Ostukorv
Course Activity,Kursuse tegevus
Thank you for your business!,Täname teid ettevõtte eest!
Against Journal Entry {0} is already adjusted against some other voucher,Ajakirja sissekande vastu {0} on juba mõne teise kviitungi suhtes korrigeeritud
Bill Date,Arve kuupäev
Please enter Write Off Account,Palun sisestage kirjutuskaart
Biotechnology,Biotehnoloogia
Setup your Institute in ERPNext,Seadistage oma instituut ERPNextis
Item {0} does not exist,Punkti {0} ei eksisteeri
Asset Maintenance Log,Varade hoolduspäevik
Settings for Accounts,Kontode seaded
Reference Document Name,Viitedokumendi nimi
"If blank, parent Warehouse Account or company default will be considered","Kui see on tühi, arvestatakse vanemate kontode kontot või ettevõtte vaikimisi"
Rate Of Materials Based On,Materjalide arv põhineb
Container,Konteiner
Available slots,Saadavad teenindusajad
Max Attempts,Maksimaalne katse
Cash Flow Statement,Rahavoogude aruanne
Redeem Against,Lunastage vastu
Offline POS Name,Offline POS nimi
ISO 8601 standard,ISO 8601 standard
Deduct,Pühendamine
C-Form Invoice Detail,C-vormi arve üksikasjad
Net Change in Inventory,Varude muutus netos
Depreciation Amount during the period,Kulumi summa perioodi jooksul
App Type,Rakenduse tüüp
Blog Subscriber,Blogi abonent
[Error],[Viga]
Active Menu,Aktiivne menüü
Transactions against the company already exist! ,Tehingud ettevõtte vastu on juba olemas!
Sales Partner and Commission,Müügipartner ja komisjon
Goals cannot be empty,Eesmärgid ei tohi olla tühjad
Warehouses,Laod
Detected Diseases,Avastatud haigused
Enter the Bank Guarantee Number before submittting.,Sisestage panga garantiinumber enne saatmist.
Processing Items and UOMs,Toodete ja üksuste töötlemine
Is a Subscription,Kas tellimus on
Download as Json,Laadi alla Json
Appointment Analytics,Kohtumise analüüs
Inspection Type,Kontrollimise tüüp
Sales Taxes and Charges,Müügimaksud ja -maksud
Health Insurance Provider,Ravikindlustuse pakkuja
This is a root item group and cannot be edited.,See on root-üksuste grupp ja seda ei saa redigeerida.
Projected Qty Formula,Prognoositav kogus valem
Payment Order Reference,Maksekorralduse viide
Tree Type,Puu tüüp
Default Costing Rate,Vaikekulu määr
Constipated,Kõhukinnisus
Default Amount,Vaikimisi summa
Budget List,Eelarve loend
Awaiting Response,Ootan vastust
Variant creation has been queued.,Variandi loomine on järjekorras.
"An amount of {0} already claimed for the component {1},\
						 set the amount equal or greater than {2}","Komponendi {1} juba nõutud summa {0}, määrata summa, mis on võrdne või suurem kui {2}"
Please add the remaining benefits {0} to any of the existing component,Palun lisage ülejäänud kasulikud {0} olemasolevatesse komponentidesse
