Pension Funds,Fons de pensions
An error occurred during the update process,S&#39;ha produït un error durant el procés d’actualització
Customer Name,Nom del client
Amount should not be less than zero.,La quantitat no ha de ser inferior a zero.
Average Age,Edat Mitjana
Show Price,Mostra el preu
Program Enrollment Tool Student,Eina d’inscripció del programa
Shipping State,Estat d’enviament
Please set Company,"Si us plau, establiu l&#39;empresa"
Balance (Dr - Cr),Equilibri (Dr - Cr)
Supply Type,Tipus de subministrament
Create documents for sample collection,Creeu documents per a la recopilació de mostres
Close Opportunity After Days,Tancar oportunitats després de dies
Ref Code,Ref Code
Widowed,Vidu
ERPNext Company,Empresa ERPNext
Leave blank to use the standard Delivery Note format,Deixeu en blanc per utilitzar el format de Nota de lliurament estàndard
Accepted Qty,Quantitat acceptada
Apply Rule On Brand,Aplica la regla a la marca
Show Availability Status,Mostra l&#39;estat de disponibilitat
Import Successfull,Importa amb èxit
Soil Texture,Textura del sòl
No of Visits,No de visites
Qualitative Feedback,Feedback qualitatiu
Response and Resoution Time,Temps de Resposta i Resolució
Expiring On,Caducat
Scorecard Actions,Accions del quadre de comandament
Stock Adjustment,Ajust de les existències
Health Care,Atenció sanitària
No of Seats,Nombre de seients
Delete all the Transactions for this Company,Elimineu totes les transaccions d’aquesta empresa
Lead Details,Detalls del plom
Default Service Level Agreement,Acord de nivell de servei predeterminat
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Camps de filtres Fila # {0}: el nom de camp <b>{1}</b> ha de ser del tipus &quot;Enllaç&quot; o &quot;Taula Múltiple&quot;
Suggestions,Suggeriments
Get from,Aneu des de
Tax Rule,Regla fiscal
Payment Order Status,Estat de l’ordre de pagament
Duplicate entry,Entrada duplicada
Example: Masters in Computer Science,Exemple: Màster en Informàtica
Purchase Invoice Item,Compra el document de factura
Non Profit Manager,Gestor sense ànim de lucre
For Warehouse is required before Submit,Per a Magatzem és necessari abans de l&#39;enviament
Applicable To (User),Aplicable a (usuari)
Appraisal Goal,Objectiu d’avaluació
Warn for new Purchase Orders,Aviseu per a noves comandes de compra
View Chart of Accounts,Visualitza el gràfic de comptes
Quotations: ,Cotitzacions:
To Discuss,Discutir
Reading 9,Lectura 9
Applicable To (Role),Aplicable a (Rol)
Additional Notes,Notes addicionals
{0} can not be negative,{0} no pot ser negatiu
Create Purchase Orders,Crear comandes de compra
Estimated Cost Per Position,Cost estimat per posició
Loan Name,Nom del préstec
Set default mode of payment,Estableix el mode de pagament predeterminat
Revision,Revisió
Service Unit Type,Tipus d&#39;unitat de servei
Return Against Purchase Invoice,Devolució contra la factura de compra
Generate Secret,Genera el secret
Loyalty Program Collection,Col·lecció de programes de fidelització
Send mass SMS to your contacts,Envia missatges SMS massius als vostres contactes
Create Fee Schedule,Creeu el calendari de taxes
File to Rename,Fitxer per canviar el nom
Timer exceeded the given hours.,El temporitzador va superar les hores indicades.
ERPNext Account,Compte ERPNext
Item Supplier,Proveïdor d&#39;articles
Price List {0} is disabled or does not exist,La llista de preus {0} està desactivada o no existeix
Deferred Revenue Account,Compte d’ingressos diferits
Soil compositions do not add up to 100,Les composicions del sòl no sumen 100
Salary Slip Timesheet,Temps de rebost per salari
Warn,Aviseu
Email Notification Sent,Notificació per correu electrònic enviada
Planned End Date,Data de finalització prevista
Quickbooks Company ID,ID de l&#39;empresa Quickbooks
Warehouse cannot be changed for Serial No.,No es pot canviar el magatzem pel número de sèrie
Rate of Interest (%) Yearly,Taxa d’interès (%) anuals
Cost of Scrapped Asset,Cost de l’actiu rebutjat
Please set an Address on the Company '%s',Establiu una adreça a l’empresa «% s»
Encounter Date,Data de trobada
Webhooks,Webhooks
Memebership Type Details,Detalls del tipus de memòria
Resistant,Resistent
Hotel Room Package,Paquet d’habitació d’hotel
Contribution to Net Total,Contribució al total net
"Reselect, if the chosen contact is edited after save","Seleccioneu de nou, si el contacte escollit s&#39;edita després de desar"
Employee Tax Exemption Sub Category,Sub-categoria d&#39;exempció d&#39;impostos per a empleats
Row {0}# Paid Amount cannot be greater than requested advance amount,La fila {0} # Import pagat no pot ser superior a l’import anticipat sol·licitat
This value is used for pro-rata temporis calculation,Aquest valor s’utilitza per al càlcul a prorrata temporal
Change Abbreviation,Abreviatura de canvis
Total Consumed Material Cost  (via Stock Entry),Cost total del material consumit (a través d’Inventari)
Raw Materials Supplied,Subministrament de matèries primeres
Condition and Formula Help,Ajuda de la condició i la fórmula
Balance ({0}),Saldo ({0})
Student ID: ,Identificació d&#39;estudiant:
New Leaves Allocated (In Days),Noves fulles assignades (en dies)
To Datetime,A Datetime
Lab result datetime cannot be before testing datetime,El resultat de laboratori de data i hora no pot ser abans de provar el temps
Please re-type company name to confirm,Torneu a escriure el nom de l&#39;empresa per confirmar
Subscription Period,Període de subscripció
Position,Posició
Sibling Details,Detalls de germà
Is Finance Cost Adjustment,És ajustament de costos financers
Encounter Impression,Impressió de trobada
N/A,N / A
Lab Technician,Tècnic de laboratori
"Item {0} is a template, please select one of its variants","L’element {0} és una plantilla, seleccioneu una de les seves variants"
How Pricing Rule is applied?,Com s&#39;aplica la regla de preus?
Email Digest Settings,Configuració de l’expressió per correu electrònic
Inter Company Journal Entry,Entrada de la revista Inter Company
Create Delivery Trip,Crea un viatge de lliurament
Row # {0}: Serial No {1} does not match with {2} {3},La fila # {0}: el número de sèrie {1} no coincideix amb {2} {3}
Sales Order required for Item {0},Ordre de venda necessari per a l’article {0}
Get Details From Declaration,Obteniu detalls de la declaració
Support Hour Distribution,Distribució horària de suport
Allow Account Creation Against Child Company,Permetre la creació de comptes contra l&#39;empresa infantil
Company Bank Account,Compte bancari de l&#39;empresa
UK,UK
Procedure Steps,Procediments passos
Normal Test Items,Articles de prova normals
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,Element {0}: el qty ordenat {1} no pot ser inferior a la quantitat mínima de comanda {2} (definida a l&#39;article).
Not in Stock,No està en estoc
Cart,Carro
Course Activity,Activitat del curs
Thank you for your business!,Gràcies pel teu negoci!
Against Journal Entry {0} is already adjusted against some other voucher,Contra l&#39;entrada de diari {0} ja està ajustada a un altre val
Bill Date,Data de facturació
Please enter Write Off Account,Introduïu el compte d’escriure desactivat
Biotechnology,Biotecnologia
Setup your Institute in ERPNext,Configureu el vostre Institut a ERPNext
Item {0} does not exist,L’element {0} no existeix
Asset Maintenance Log,Registre de manteniment d’actius
Settings for Accounts,Configuració per als comptes
Reference Document Name,Nom del document de referència
"If blank, parent Warehouse Account or company default will be considered","Si està en blanc, es tindrà en compte el compte de magatzem o l&#39;empresa predeterminada"
Rate Of Materials Based On,Taxa de materials basada en
Container,Contenidor
Available slots,Espais disponibles
Max Attempts,Intents màxims
Cash Flow Statement,Estat de flux de caixa
Redeem Against,Canviar contra
Offline POS Name,Nom del lloc fora de línia
ISO 8601 standard,Norma ISO 8601
Deduct,Deducció
C-Form Invoice Detail,Detall de factura C-Form
Net Change in Inventory,Canvi net d’inventari
Depreciation Amount during the period,Import d’amortització durant el període
App Type,Tipus d&#39;aplicació
Blog Subscriber,Subscriptor del bloc
[Error],[Error]
Active Menu,Menú actiu
Transactions against the company already exist! ,Les transaccions contra l&#39;empresa ja existeixen!
Sales Partner and Commission,Soci comercial i comissió
Goals cannot be empty,Els objectius no poden estar buits
Warehouses,Magatzems
Detected Diseases,Malalties detectades
Enter the Bank Guarantee Number before submittting.,Introduïu el número de garantia bancària abans d’enviar.
Processing Items and UOMs,Processant articles i UOM
Is a Subscription,És una subscripció
Download as Json,Descarregar com Json
Appointment Analytics,Anàlisi de cites
Inspection Type,Tipus d&#39;inspecció
Sales Taxes and Charges,Impostos i taxes de vendes
Health Insurance Provider,Proveïdor d’assegurances mèdiques
This is a root item group and cannot be edited.,Aquest és un grup d’articles arrel i no es pot editar.
Projected Qty Formula,Formula de Qty projectada
Payment Order Reference,Referència d&#39;ordre de pagament
Tree Type,Tipus d&#39;arbre
Default Costing Rate,Taxa de cost per defecte
Constipated,Constipat
Default Amount,Import predeterminat
Budget List,Llista de pressupostos
Awaiting Response,A l&#39;espera de la resposta
Variant creation has been queued.,La creació de la variant s&#39;ha posat en cua.
"An amount of {0} already claimed for the component {1},\
						 set the amount equal or greater than {2}","Una quantitat de {0} ja reclamada per al component {1}, estableix la quantitat igual o superior a {2}"
Please add the remaining benefits {0} to any of the existing component,Afegiu els beneficis restants {0} a qualsevol dels components existents
Odometer,Odòmetre
Transaction currency must be same as Payment Gateway currency,La moneda de transacció ha de ser la mateixa que la moneda de passarel·la de pagament
"For an item {0}, quantity must be negative number","Per a un element {0}, la quantitat ha de ser un nombre negatiu"
Payroll Date,Data de nòmina
Mode of payment is required to make a payment,El mode de pagament és necessari per realitzar un pagament
Materials,Materials
Against Sales Order,Contra ordre de venda
PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
Against Sales Order Item,Contra l&#39;element de comanda de venda
Goals,Metes
ERPNext User,Usuari ERPNext
Available Leaves,Fulles disponibles
Root Account must be a group,El compte arrel ha de ser un grup
Email Reminders will be sent to all parties with email contacts,Els recordatoris de correu electrònic s&#39;enviaran a totes les parts amb contactes de correu electrònic
Select Type...,Seleccioneu el tipus ...
Workstation Working Hour,Hora de treball de l&#39;estació de treball
Analytics,Analytics
Maintenance Role,Funció de manteniment
Terms and Conditions Template,Plantilla de termes i condicions
Fee Schedule Program,Programa de tarifes
Course {0} does not exist.,El curs {0} no existeix.
Make Timesheet,Feu un full de temps
Production Plan Item,Element del pla de producció
Total Student,Total d&#39;estudiants
From Package No.,Del paquet no.
Shipping Address,Adreça d&#39;enviament
Clutch Plate,Placa d&#39;embragatge
Row #{0}: Asset {1} does not linked to Item {2},Fila # {0}: l’actiu {1} no està enllaçat amb l’element {2}
