Pension Funds,Pensiju fondi
Biotechnology,Biotehnoloģija
Setup your Institute in ERPNext,Iestatiet savu institūtu ERPNext
Item {0} does not exist,{0} vienums nepastāv
Asset Maintenance Log,Aktīvu uzturēšanas žurnāls
Settings for Accounts,Kontu iestatījumi
Reference Document Name,Atsauces dokumenta nosaukums
"If blank, parent Warehouse Account or company default will be considered","Ja tukšs, tiks ņemts vērā vecāku noliktavas konts vai uzņēmuma noklusējuma konts"
Rate Of Materials Based On,Pamatojoties uz materiāliem
Container,Konteiners
Available slots,Pieejamās laika nišas
Max Attempts,Maks. Mēģinājumi
Cash Flow Statement,Naudas plūsmas pārskats
Redeem Against,Izpirkt pret
Offline POS Name,Bezsaistes POS nosaukums
ISO 8601 standard,ISO 8601 standarts
Deduct,Atskaitījums
C-Form Invoice Detail,C-veidlapas rēķina informācija
Net Change in Inventory,Neto pārmaiņas krājumā
Depreciation Amount during the period,Nolietojuma summa periodā
App Type,Lietotnes veids
Blog Subscriber,Blog Abonents
[Error],[Kļūda]
Active Menu,Aktīvā izvēlne
Transactions against the company already exist! ,Darījumi pret uzņēmumu jau pastāv!
Sales Partner and Commission,Tirdzniecības partneris un Komisija
Goals cannot be empty,Mērķi nevar būt tukši
Warehouses,Noliktavas
Detected Diseases,Noteiktas slimības
Enter the Bank Guarantee Number before submittting.,Pirms iesniegšanas ievadiet bankas garantijas numuru.
Processing Items and UOMs,Apstrādes vienības un UOM
Is a Subscription,Vai abonements
Download as Json,Lejupielādēt kā Json
Appointment Analytics,Iecelšanas analītika
Inspection Type,Pārbaudes veids
Sales Taxes and Charges,Pārdošanas nodokļi un maksājumi
Health Insurance Provider,Veselības apdrošināšanas pakalpojumu sniedzējs
This is a root item group and cannot be edited.,Tā ir saknes vienumu grupa un to nevar rediģēt.
Projected Qty Formula,Plānotā daudzuma formula
Payment Order Reference,Maksājuma rīkojuma atsauce
Tree Type,Koku tips
Default Costing Rate,Noklusējuma izmaksu likme
Constipated,Aizcietējums
Default Amount,Noklusējuma summa
Budget List,Budžeta saraksts
Awaiting Response,Gaida atbildi
Variant creation has been queued.,Variantu veidošana ir rindā.
"An amount of {0} already claimed for the component {1},\
						 set the amount equal or greater than {2}","Summa {0}, kas jau pieprasīta komponentam {1}, norādiet summu, kas ir vienāda vai lielāka par {2}"
Please add the remaining benefits {0} to any of the existing component,"Lūdzu, pievienojiet atlikušos pabalstus {0} uz kādu no esošajiem komponentiem"
Odometer,Odometrs
Transaction currency must be same as Payment Gateway currency,Darījuma valūtai jābūt tādai pašai kā valūtas valūta Maksājuma vārtejai
"For an item {0}, quantity must be negative number",Vienumam {0} daudzumam jābūt negatīvam skaitlim
Payroll Date,Darba samaksas datums
Mode of payment is required to make a payment,Maksājuma veikšanai ir nepieciešams maksājuma veids
Materials,Materiāli
Against Sales Order,Pret pārdošanas pasūtījumu
PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
Against Sales Order Item,Pret pārdošanas pasūtījuma posteni
Goals,Mērķi
ERPNext User,ERPNext Lietotājs
Available Leaves,Pieejamās lapas
Root Account must be a group,Saknes kontam jābūt grupai
Email Reminders will be sent to all parties with email contacts,E-pasta atgādinājumi tiks nosūtīti visām pusēm ar e-pasta kontaktiem
Select Type...,Atlasiet veidu ...
Workstation Working Hour,Darba stacijas darba stunda
Analytics,Analytics
Maintenance Role,Uzturēšanas loma
Terms and Conditions Template,Noteikumi un nosacījumi Veidne
Fee Schedule Program,Maksa grafiku programma
Course {0} does not exist.,Kursa {0} nav.
Make Timesheet,Padarīt laika kontrolsaraksts
Production Plan Item,Ražošanas plāna punkts
Total Student,Kopējais students
From Package No.,No paketes Nr.
Shipping Address,Piegādes adrese
Clutch Plate,Sajūga plāksne
Row #{0}: Asset {1} does not linked to Item {2},# {0} rinda: {1} aktīvs nav saistīts ar {2} vienumu
Stock Entry {0} created,Izveidots krājuma ieraksts {0}
Purchase Order Date,Pirkuma pasūtījuma datums
Company currencies of both the companies should match for Inter Company Transactions.,Abu kompāniju valūtām ir jāatbilst starpuzņēmumu darījumiem.
Shortage Qty,Trūkums
Marked Attendance,Atzīmēts apmeklējums
System will notify to increase or decrease quantity or amount ,"Sistēma paziņos, lai palielinātu vai samazinātu daudzumu vai daudzumu"
Cosmetics,Kosmētika
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,"Pārbaudiet, vai vēlaties piespiest lietotāju izvēlēties sēriju pirms saglabāšanas. Ja jūs to pārbaudīsiet, noklusējuma nav."
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,"Lietotājiem, kuriem ir šī loma, ir atļauts iestatīt iesaldētos kontus un izveidot / mainīt grāmatvedības ierakstus pret iesaldētiem kontiem"
Total Claimed Amount,Kopējā pieprasītā summa
Unable to find Time Slot in the next {0} days for Operation {1},Nevar atrast laika nišu nākamajā {0} dienā operācijai {1}
Wrapping up,Ietīšana
You can only renew if your membership expires within 30 days,"Jūs varat atjaunot tikai tad, ja jūsu dalība beidzas 30 dienu laikā"
Value must be between {0} and {1},Vērtībai jābūt starp {0} un {1}
Sales Partner Transaction Summary,Pārdošanas partneru darījumu kopsavilkums
Maintenance Manager Name,Apkopes vadītāja nosaukums
It is needed to fetch Item Details.,"Ir nepieciešams, lai ielādētu vienuma detaļas."
This is based on stock movement. See {0} for details,Tas ir balstīts uz krājumu kustību. Sīkāku informāciju skatiet {0}
Appointment,Iecelšana
Please enter {0} first,"Lūdzu, vispirms ievadiet {0}"
BOM #{0}: Raw material cannot be same as main Item,BOM # {0}: izejmateriāls nevar būt tāds pats kā galvenais postenis
Following accounts might be selected in GST Settings:,GST iestatījumos var izvēlēties šādus kontus:
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Šajā laukā var izmantot jebkuru derīgu Bootstrap 4 atzīmi. Tas tiks parādīts jūsu vienuma lapā.
Incoming Rate,Ienākošā likme
POS-CLO-,POS-CLO-
Accounts Receivable Discounted Account,Debitoru parādu diskontētais konts
Tally Debtors Account,Parasti debitoru konts
Has any past Grant Record,Ir kāds iepriekšējais granta ieraksts
Amount in Custody,Summa apcietinājumā
Interval,Intervāls
Parent Warehouse,Vecāku noliktava
Auto Material Requests Generated,Izveidoti automātiskie materiālu pieprasījumi
Row {0}: Quality Inspection rejected for item {1},{0} rinda: {1} vienuma kvalitātes pārbaude noraidīta
Additional Details,Papildu informācija
Sales Partner Type,Pārdošanas partnera veids
"Select BOM, Qty and For Warehouse","Izvēlieties BOM, Qty un For Warehouse"
Maintenance Type,Apkopes veids
Use this field to render any custom HTML in the section.,"Izmantojiet šo lauku, lai nodaļā parādītu jebkuru pielāgoto HTML."
"Appointment cancelled, Please review and cancel the invoice {0}","Tikšanās atcelta, lūdzu, pārskatiet un atcelt rēķinu {0}"
Time Sheet List,Laika lapu saraksts
For Company,Uzņēmumam
Linked Soil Analysis,Saistītā augsnes analīze
Day to Send,Diena nosūtīšanai
Is Tax Applicable,Ir piemērojams nodoklis
Purchase Order number required for Item {0},"Pirkuma pasūtījuma numurs, kas nepieciešams {0} vienumam"
Tax Rates,Nodokļu likmes
Help Results for,Palīdzības rezultāti
Student Admission,Studentu uzņemšana
Skill,Prasme
Budget Account,Budžeta konts
Create New Employee Id,Izveidot jaunu darbinieku ID
Goods and Services Tax (GST India),Preču un pakalpojumu nodoklis (GST India)
Creating Salary Slips...,Atalgojuma veidlapu izveide ...
Employee Skill,Darbinieku prasme
Apply Rule On Item Code,Lietot noteikumu par vienības kodu
'Update Stock' can not be checked because items are not delivered via {0},"&quot;Atjaunot krājumus&quot; nevar pārbaudīt, jo vienumi netiek piegādāti, izmantojot {0}"
Stock Entry,Krājumu ieiešana
House rent paid days overlapping with {0},"Māja tiek samaksāta dienā, kas pārklājas ar {0}"
Current Address Is,Pašreizējā adrese ir
Analyst,Analītiķis
No records found in the Payment table,Maksājumu tabulā nav ierakstu
Sales Orders to Deliver,Piegādes pasūtījumi
Units of Measure,Mērvienības
Block Days,Bloķēšanas dienas
Quantity must not be more than {0},Daudzums nedrīkst būt lielāks par {0}
Add Items,Pievienot vienumus
Taxes and Charges Added (Company Currency),Pievienoti nodokļi un maksas (uzņēmuma valūta)
Currency Exchange Settings,Valūtas maiņas iestatījumi
From Amount,No summas
Warehouse is mandatory,Noliktava ir obligāta
Add Students,Pievienojiet studentus
Account Paid From,Konts tiek apmaksāts no
Marked Attendance HTML,Atzīmēts apmeklējuma HTML
Item {0} has been disabled,{0} vienums ir atspējots
Amount In Figure,Summa attēlā
Cannot produce more Item {0} than Sales Order quantity {1},Nevar ražot vairāk vienuma {0} nekā pārdošanas pasūtījuma daudzums {1}
Return,Atgriezties
The selected item cannot have Batch,Atlasītajam vienumam nevar būt partija
Print IRS 1099 Forms,Drukāt IRS 1099 veidlapas
'Update Stock' cannot be checked for fixed asset sale,“Atjaunot krājumus” nevar pārbaudīt attiecībā uz pamatlīdzekļu pārdošanu
Depreciation Schedule,Nolietojuma grafiks
Shipping rule not applicable for country {0},Piegādes noteikums nav piemērojams valstij {0}
Time at which materials were received,Materiālu saņemšanas laiks
Billing Country,Norēķinu valsts
Sales Order,Pārdošanas pasūtījums
Value missing,Trūkst vērtības
Stores,Veikali
New Balance In Base Currency,Jauns atlikums bāzes valūtā
Price List,Cenrādis
Invalid {0}: {1},Nederīgs {0}: {1}
Article,Pants
The name of the institute for which you are setting up this system.,"Tā institūta nosaukums, kuram jūs izveidojat šo sistēmu."
A Product,Produkts
Crop Name,Augkopības nosaukums
'From Date' is required,Nepieciešams “No datums”
Please select a BOM,"Lūdzu, izvēlieties BOM"
Travel Itinerary,Ceļojuma maršruts
Birthday Reminder,Dzimšanas dienas atgādinājums
Pair,Pāris
Item Price added for {0} in Price List {1},"Preces cena, kas pievienota {0} cenrādim {1}"
Validate Applied Rule,Apstipriniet lietoto noteikumu
Job Card Item,Darba kartes vienums
Company Tagline for website homepage,Uzņēmuma Tagline vietnes mājaslapai
Round Off Cost Center,Noapaļošanas izmaksu centrs
Criteria Weight,Kritēriji Svars
Depreciation Schedules,Nolietojuma grafiki
Claim Amount,Prasības summa
Discounts,Atlaides
Shipping Rule Conditions,Piegādes noteikumu nosacījumi
Cancelation Date,Atcelšanas datums
Party Bank Account,Partijas bankas konts
New Cost Center Name,Jauns izmaksu centra nosaukums
Max Amount,Maksimālā summa
After payment completion redirect user to selected page.,Pēc maksājuma pabeigšanas novirziet lietotāju uz izvēlēto lapu.
Total Loan Repayment,Kopējā aizdevuma atmaksa
To Fiscal Year,Līdz fiskālajam gadam
Return Against Delivery Note,Atgriezties pret piegādes piezīmi
"Edit in full page for more options like assets, serial nos, batches etc.","Rediģējiet visu lapu, lai iegūtu vairāk iespēju, piemēram, aktīvus, sērijas nr., Partijas utt."
Allocate Payment Amount,Piešķirt maksājumu summu
Enrolling students,Studentu reģistrēšana
Allow user to edit Price List Rate in transactions,Ļauj lietotājam rediģēt cenu sarakstu darījumos
Please select the document type first,"Lūdzu, vispirms atlasiet dokumenta veidu"
Hotel Room Reservation,Viesnīcas numuru rezervēšana
Researcher,Pētnieks
{0} {1} is frozen,{0} {1} ir iesaldēts
Item Code cannot be changed for Serial No.,Vienības kodu nevar nomainīt pēc sērijas numura
Total Taxes and Charges (Company Currency),Kopējie nodokļi un maksas (uzņēmuma valūta)
Tax Rule Conflicts with {0},Nodokļu noteikums ir pretrunā ar {0}
Year End Date,Gada beigu datums
Create Leads,Izveidot vadus
Show zero values,Rādīt nulles vērtības
Employee Onboarding,Darbinieku uzņemšana
Period End Date,Perioda beigu datums
Sales Opportunities by Source,Pārdošanas iespējas pēc avotiem
The first Leave Approver in the list will be set as the default Leave Approver.,Pirmais Atstāt apstiprinātājs sarakstā tiks iestatīts kā noklusējuma Atstātāja apstiprinātājs.
POS Settings,POS iestatījumi
All Accounts,Visi konti
Hotel Manager,Viesnīcu pārvaldnieks
With Items,Ar vienumiem
Is Advance,Ir iepriekš
Membership Status,Dalības statuss
Sales campaigns.,Pārdošanas kampaņas.
Default BOM not found for Item {0} and Project {1},Noklusējuma BOM nav atrasts vienumam {0} un projektam {1}
Encashment Threshold Days,Apsardzes sliekšņa dienas
Items Filter,Vienumu filtrs
{0} is on hold till {1},{0} ir aizturēts līdz {1}
Invoice Separately as Consumables,Rēķins atsevišķi kā patēriņa preces
Days Until Due,Dienas līdz termiņa beigām
Show Completed,Rādīt pabeigtu
Bank Statement Transaction Entry Report,Ziņojums par bankas operāciju veikšanu
Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,# {0} rinda: likmei jābūt vienādai ar {1}: {2} ({3} / {4})
HLC-CPR-.YYYY.-,HLC-CPR-.YYYY.-
Healthcare Service Items,Veselības aprūpes pakalpojumu vienības
No records found,Ieraksti nav atrasti
Ageing Range 3,Novecošanas diapazons 3
Blood Pressure,Asinsspiediens
Target On,Mērķis ir ieslēgts
All Healthcare Service Units,Visas veselības aprūpes pakalpojumu vienības
Mandatory field - Program,Obligāts lauks - programma
Timer,Taimeris
Set {0} in asset category {1} or company {2},Iestatiet {0} {1} aktīvu kategorijā vai uzņēmumā {2}
Bank Header,Bankas galvene
Not eligible for the admission in this program as per DOB,Nav piemērots uzņemšanai šajā programmā kā DOB
Assessment Criteria Group,Vērtēšanas kritēriju grupa
Is Correct,Ir pareizs
user@example.com,user@example.com
Parent Department,Vecāku departaments
Employee Internal Work History,Darbinieku iekšējās darba vēsture
Warn POs,Brīdināt ražotāju organizācijas
Offer Date,Piedāvājuma datums
Product Bundle Help,Produkta komplekta palīdzība
Stock Reconciliation,Krājumu saskaņošana
Accounting Entry for Stock,Grāmatvedības ieraksti krājumiem
"Appointment overlaps with {0}.<br> {1} has appointment scheduled
			with {2} at {3} having {4} minute(s) duration.",Iecelšana pārklājas ar {0}. <br> {1} ir ieplānota tikšanās ar {2} {3} {4} minūšu laikā.
Warehouses with child nodes cannot be converted to ledger,Noliktavas ar bērnu mezgliem nevar pārvērst virsgrāmatā
Projects Manager,Projektu vadītājs
End time cannot be before start time,Beigu laiks nevar būt pirms sākuma laika
UOM Name,UOM nosaukums
BMI,ĶMI
Hours,Stundas
Amount {0} {1} {2} {3},Summa {0} {1} {2} {3}
Supplier Ledger Summary,Piegādātājs Ledger kopsavilkums
Student Email ID,Studenta e-pasta ID
GoCardless SEPA Mandate,Bez maksas SEPA pilnvarojums
IBAN,IBAN
No of People,Cilvēku skaits
From Date and To Date lie in different Fiscal Year,No datuma un datuma atrodas dažādi fiskālie gadi
The Patient {0} do not have customer refrence to invoice,Pacientam {0} nav klientu rēķina
Syntax error in condition: {0},Sintakses kļūda stāvoklī: {0}
Transaction ID,darījuma ID
Please enter message before sending,"Lūdzu, ievadiet ziņojumu pirms nosūtīšanas"
Ref Date,Ref Datums
Note: This Cost Center is a Group. Cannot make accounting entries against groups.,Piezīme: šis izmaksu centrs ir grupa. Nevar veikt grāmatvedības ierakstus grupām.
