Pension Funds,연금 기금
Student {0} does not belong to group {1},학생 {0}은 (는) 그룹 {1}에 속해 있지 않습니다.
Maintain same rate throughout purchase cycle,구매주기 전체에 걸쳐 동일한 비율 유지
Set default inventory account for perpetual inventory,영구 인벤토리에 대한 기본 재고 계정 설정
Fee Creation Pending,수수료 생성 보류 중
Unlink Advance Payment on Cancelation of Order,주문 취소시 사전 지불 연결 해제
Visit report for maintenance call.,유지 보수 요청에 대한 보고서를 방문하십시오.
"To get the best out of ERPNext, we recommend that you take some time and watch these help videos.",ERPNext를 최대한 활용하려면 시간을 갖고 이러한 도움말 비디오를 보는 것이 좋습니다.
Fertilizer Content,비료 내용
"Cannot delete Serial No {0}, as it is used in stock transactions",주식 거래에서 사용되므로 일련 번호 {0}을 (를) 삭제할 수 없습니다.
Charges are updated in Purchase Receipt against each item,요금은 각 품목에 대한 구매 영수증에서 갱신됩니다.
Credit,신용
Download JSON,JSON 다운로드
Loyalty Amount,충성도 금액
Accounts,계정
Expiry Duration (in days),유효 기간 (일)
Product Discount Scheme,제품 할인 제도
Creating Company and Importing Chart of Accounts,회사 만들기 및 계정 차트 가져 오기
Stock Available,재고 있음
Assign to Employees,직원에게 할당
No employees for the mentioned criteria,언급 된 기준에 해당하는 직원 없음
Not items found,항목이 없습니다.
Job card {0} created,작업 카드 {0}이 생성되었습니다.
Is Return,돌아온다
Soil Analysis Criteria,토양 분석 기준
Selected Option,선택된 옵션
Preview Salary Slip,미리보기 급여 전표
Assets,자산
Rate or Discount,요금 또는 할인
Non-Vegetarian,비 채식주의 자
Total Outstanding: {0},총 미납금 : {0}
For Employee Name,직원 이름
Unknown,알 수 없는
Sync Offline Invoices,오프라인 인보이스 동기화
Schedule Name,일정 이름
Shopify Settings,쇼핑 설정
Sales Monthly History,판매 월별 기록
'Has Serial No' can not be 'Yes' for non-stock item,재고 없음 품목의 &#39;일련 번호 없음&#39;은 &#39;예&#39;일 수 없습니다.
Total Taxable Amount,총 과세 금액
Invalid attribute {0} {1},잘못된 속성 {0} {1}
Serial no {0} has been already returned,연속 번호 {0}이 (가) 이미 반환되었습니다.
MAT-MSH-.YYYY.-,MAT-MSH- .YYYY.-
Group Roll Number,그룹 롤 번호
Default Shipping Account,기본 배송 계정
MFG-WO-.YYYY.-,MFG-WO-.YYYY.-
Trialling,Trialling
Single Tier Program,단일 계층 프로그램
Against Loan: {0},대출 반대 : {0}
Tax Withholding Rates,세금 원천 징수 비율
Community Forum,커뮤니티 포럼
Account Type for {0} must be {1},{0}의 계정 유형은 {1}이어야합니다.
Required Qty,필수 수량
Please select Completion Date for Completed Repair,수리 완료 날짜를 선택하십시오.
Medical Department,의료부
From Shareholder,주주로부터
Default Terms,기본 용어
Add Time Slots,시간 슬롯 추가
Ensure Delivery Based on Produced Serial No,생산 된 일련 번호를 기반으로 한 납품 보장
Eway Bill,Eway Bill
Stock cannot be updated against Delivery Note {0},납품서 {0}에 대해 재고를 갱신 할 수 없습니다.
Sub Type,하위 유형
Closing Date,마감일
Go to the Desktop and start using ERPNext,데스크탑으로 이동하여 ERPNext 사용을 시작하십시오.
Duplicate Serial No entered for Item {0},항목 {0}에 대해 중복 된 시리얼 번호를 입력했습니다.
Packing Unit,포장 단위
International,국제 노동자 동맹
Item Tax Template Detail,품목 세금 템플릿 세부 정보
New BOM,새로운 BOM
Is Internal Supplier,내부 공급 업체인가
Reject,받지 않다
net pay info,순 임금 정보
Duties and Taxes,관세 및 세금
Score Earned,획득 점수
Dependent Tasks,종속 작업
Shipping Zipcode,배송 우편 번호
Update Series,업데이트 시리즈
"e.g. ""Build tools for builders""",예 : &quot;빌더 용 구축 도구&quot;
Prospecting,탐사
Bank Statement,은행 성명서
Default Duration,기본 기간
Default settings for buying transactions.,구매 거래의 기본 설정.
Actual Time and Cost,실제 시간 및 비용
Evaluation,평가
Account: {0} with currency: {1} can not be selected,계정 : 통화가있는 {0} : {1}을 (를) 선택할 수 없습니다.
Lifecycle,라이프 사이클
Studying in Same Institute,같은 학원에서 공부하기
Course Code: ,코스 코드 :
Contribution %,기부금 %
Credit Note,신용 노트
Parent Batch,상위 일괄 처리
Get Unreconciled Entries,미 조정 항목 가져 오기
Please set the Company,회사를 설정하십시오.
Lead Type,리드 타입
Row #{0}: Posting Date must be same as purchase date {1} of asset {2},행 # {0} : 게시 날짜가 자산 {2}의 구매 날짜 {1}과 같아야합니다.
Difference Amount (Company Currency),차액 (회사 통화)
Sanctioned,제재
Course Enrollment,코스 등록
Supplier Items,공급 업체 품목
Not Applicable,해당 사항 없음
Response Options,응답 옵션
{0} should be a value between 0 and 100,{0}은 0과 100 사이의 값이어야합니다.
Sales Person,영업 사원
Packing Slip,포장 전표
Global settings for all manufacturing processes.,모든 제조 공정에 대한 글로벌 설정.
Customer Group will set to selected group while syncing customers from Shopify,Shopify에서 고객을 동기화하는 동안 고객 그룹이 선택한 그룹으로 설정됩니다.
Apply Now,지금 신청하십시오
Credit Controller,여신 관리자
Exploded_items,폭발 된 항목
Done,끝난
Manufacturing Quantity is mandatory,제조량은 필수 항목입니다.
Bypass credit check at Sales Order ,판매 주문서에서 신용 체크 무시
Stock Value,주가
Tax template for item tax rates.,품목 세율에 대한 세금 템플릿.
{0} {1} is not active,{0} {1}이 (가) 활성화되어 있지 않습니다.
O Positive,긍정적 인 O
Training Program,교육 프로그램
Cashier Closing Payments,계산원 결산 지불
The 'From Package No.' field must neither be empty nor it's value less than 1.,&#39;패키지 번호에서&#39; 필드는 비어 있거나 값이 1 미만이어야합니다.
Purchase Order Trends,구매 주문 동향
Please enter parent cost center,상위 코스트 센터를 입력하십시오.
Supplier Delivery Note,공급자 납품서
Please select Drug,마약을 선택하십시오.
Post Route Key,경로 키 게시
Student Admissions,학생 입학
Memebership Details,회원 정보
Probation,집행 유예
Inactive Sales Items,비활성 판매 품목
AU,누구나
Abdomen,복부
Employee Settings,직원 설정
Arrear,지체
Supplier Group master.,공급 업체 그룹 마스터.
A customer with the same name already exists,같은 이름의 고객이 이미 있습니다.
Program Enrollment,프로그램 등록
"Job Openings for designation {0} already open \
					or hiring completed as per Staffing Plan {1}",지정 {0}의 채용 공작물은 이미 열려 있거나 채용 계획 {1}에 따라 채용이 완료되었습니다.
Authorized Signatory,공인 서명자
Discount on Other Item,다른 항목 할인
Quot Count,퀴즈 카운트
No students Found,학생 없음
Bank Entry,은행 입국
Antibiotic,항생 물질
Percentage you are allowed to receive or deliver more against the quantity ordered. For example: If you have ordered 100 units. and your Allowance is 10% then you are allowed to receive 110 units.,주문 수량에 대해 더 많이 또는 더 많이 수령 할 수있는 비율. 예 : 100 대를 주문한 경우. Allowance가 10 %라면 110 units를받을 수 있습니다.
Support queries from customers.,고객의 문의를 지원하십시오.
Actual,실제
Please enter Material Requests in the above table,위의 표에 재료 요청을 입력하십시오.
Item Reorder,아이템 재주문
Stock Settings,재고 설정
Row # {0}: Serial No is mandatory,행 # {0} : 일련 번호는 필수 항목입니다.
Number of columns for this section. 3 cards will be shown per row if you select 3 columns.,이 섹션의 열 수입니다. 3 열을 선택하면 행당 3 개의 카드가 표시됩니다.
Consultations,상담
Claim Benefit For,에 대한 보상 혜택
Year Name,연도 이름
Reconciled Transactions,조정 된 거래
Note: System will not check over-delivery and over-booking for Item {0} as quantity or amount is 0,참고 : 수량 또는 금액이 0이므로 {0} 품목의 초과 배송 및 초과 예약을 확인하지 않습니다.
Opening Balance,기초 잔액
'From Date' must be after 'To Date',&#39;From Date&#39;는 &#39;To Date&#39;다음이어야합니다.
Total Amount {0},총 금액 {0}
Evaluation Date,평가 날짜
"""Customer Provided Item"" cannot be Purchase Item also",&quot;고객 제공 품목&quot;은 구매 품목이 될 수 없습니다.
Grand Total,총 합계
New credit limit is less than current outstanding amount for the customer. Credit limit has to be atleast {0},새로운 크레딧 한도가 고객의 현재 미결제 금액보다 적습니다. 크레딧 한도는 최소한 {0}이어야합니다.
Only {0} in stock for item {1},{1} 품목의 재고가 {0}
Bank / Cash Account,은행 / 현금 계좌
Task weight cannot be negative,작업 가중치는 음수 일 수 없습니다.
Creation Date,제작 일
Finished Good,완제품
Manage Sample Collection,샘플 수집 관리
Unable to find DocType {0},DocType {0}을 (를) 찾을 수 없습니다.
Item Weight Details,품목 무게 세부 사항
Modes of Payment,지불 방식
Series List for this Transaction,이 트랜잭션의 시리즈 목록
Produce,생기게 하다
API consumer key,API 고객 키
Reading 2,독서 2
Driving License Categories,운전 면허 카테고리
Asset Repair,자산 수리
Exchange Rate Revaluation,환율 재평가
Warehouse Contact Info,창고 연락처 정보
Request for Quotation Supplier,견적 요청 업체
Costing,원가 계산
Fixed Assets,고정 자산
Ref SQ,심판 SQ
Total Earning,총 적립
From No,~부터
Payment Reconciliation Invoice,지불 화해 청구서
Taxes and Charges Added,추가 된 세금 및 요금
Consider Tax or Charge for,세금 또는 요금 고려
Authorized Value,공인 가치
Received From,받은 사람 :
Warehouse {0} does not exist,창고 {0}이 (가) 없습니다.
Sales Team,영업 팀
Stock UOM,주식 UOM
Installation Date,설치 날짜
New Quotations,새로운 인용문
Ordered Qty,주문 수량
Minutes to First Response for Issues,문제에 대한 첫 번째 응답 시간
Refuelling Details,연료 보충 세부 사항
Targets,목표
Settings for Buying Module,구매 모듈 설정
Purchase Order {0} is not submitted,구매 오더 {0}이 (가) 제출되지 않았습니다.
Material Request {0} submitted.,자재 요청 {0}이 (가) 제출되었습니다.
Posting date and posting time is mandatory,게시 날짜 및 게시 시간은 필수 항목입니다.
{} of {},{} 의 {}
Lab Routine,실험실 루틴
Payment Failed. Please check your GoCardless Account for more details,결제 실패. 자세한 내용은 GoCardless 계정을 확인하십시오.
Row {0}:Start Date must be before End Date,행 {0} : 시작일은 종료일보다 이전이어야합니다.
LMS Activity,LMS 활동
Next Depreciation Date,다음 감가 상각 일
Appointment Reminder,약속 알림
Cost Center Name,비용 센터 이름
Margin Rate or Amount,증거금 또는 증거금
Clinical Procedure Consumable Item,임상 절차 소모품
Manual,조작
Raw Materials cannot be blank.,원자재는 비워 둘 수 없습니다.
Please enter Cost Center,비용 센터를 입력하십시오.
Source DocType,원본 DocType
Parent Assessment Group,학부모 평가 그룹
Accepted Warehouse,허용 된 창고
Discount and Margin,할인 및 증거금
Student and Guardian Contact Details,학생 및 보호자 연락처 세부 정보
Buying,구매
Present,선물
Member Since,회원 가입일
Use for Shopping Cart,장바구니에 사용
Loan Account,대출 계좌
All the mandatory Task for employee creation hasn't been done yet.,직원 창출을위한 모든 필수 작업은 아직 완료되지 않았습니다.
The minimum length between each plant in the field for optimum growth,최적 성장을위한 현장의 각 식물 사이의 최소 길이
Applicable on Purchase Order,구매 주문서에 적용 가능
Receive at Warehouse,창고에서 받기
Is Income Tax Expense,소득세 비용
Make Difference Entry,차이 엔트리 만들기
Total (Credit),총 (학점)
The Brand,브랜드
Item 3,항목 3
