Pension Funds,Pensionsmidler
Procedure Steps,Procedure trin
Normal Test Items,Normale testelementer
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,Vare {0}: Bestilt antal {1} må ikke være mindre end minimumsordrenummer {2} (defineret i Item).
Not in Stock,Ikke på lager
Cart,Vogn
Course Activity,Kursaktivitet
Thank you for your business!,Tak for din forretning!
Against Journal Entry {0} is already adjusted against some other voucher,Mod Journal Entry {0} er allerede justeret imod nogle andre værdikuponer
Bill Date,Bill dato
Please enter Write Off Account,Indtast venligst Skriv af konto
Biotechnology,Bioteknologi
Setup your Institute in ERPNext,Opsæt dit institut i ERPNext
Item {0} does not exist,Vare {0} findes ikke
Asset Maintenance Log,Asset Maintenance Log
Settings for Accounts,Indstillinger for konti
Reference Document Name,Referencedokumentnavn
"If blank, parent Warehouse Account or company default will be considered","Hvis det er tomt, overordnet lagerkonto eller firmaets standard vil blive overvejet"
Rate Of Materials Based On,Mængden af materialer baseret på
Container,Beholder
Available slots,Tilgængelige slots
Max Attempts,Maxforsøg
Cash Flow Statement,Pengestrømsopgørelse
Redeem Against,Løses imod
Offline POS Name,Offline POS-navn
ISO 8601 standard,ISO 8601 standard
Deduct,Fradrage
C-Form Invoice Detail,C-form faktura detaljer
Net Change in Inventory,Netændring i beholdning
Depreciation Amount during the period,Afskrivninger Beløb i perioden
App Type,App Type
Blog Subscriber,Blog Abonnent
[Error],[Fejl]
Active Menu,Aktiv Menu
Transactions against the company already exist! ,Transaktioner mod virksomheden eksisterer allerede!
Sales Partner and Commission,Salgspartner og Kommissionen
Goals cannot be empty,Mål kan ikke være tomme
Warehouses,Oplag
Detected Diseases,Opdagede sygdomme
Enter the Bank Guarantee Number before submittting.,Indtast bankgarantienummeret før du sender det.
Processing Items and UOMs,Behandling af varer og UOM&#39;er
Is a Subscription,Er en abonnement
Download as Json,Download som Json
Appointment Analytics,Aftale Analytics
Inspection Type,Inspektionstype
Sales Taxes and Charges,Salgskatter og afgifter
Health Insurance Provider,Sundhedsforsikringsselskab
This is a root item group and cannot be edited.,Dette er en gruppe med gruppeelementer og kan ikke redigeres.
Projected Qty Formula,Projiceret mængde formel
Payment Order Reference,Betalingsordrehenvisning
Tree Type,Trætype
Default Costing Rate,Standard Costing Rate
Constipated,forstoppet
Default Amount,Standardbeløb
Budget List,Budgetliste
Awaiting Response,Afventer svar
Variant creation has been queued.,Variantoprettelse er blevet køet.
"An amount of {0} already claimed for the component {1},\
						 set the amount equal or greater than {2}","En mængde på {0}, der allerede er påkrævet for komponenten {1}, \ indstil størrelsen lig med eller større end {2}"
Please add the remaining benefits {0} to any of the existing component,Tilføj venligst de resterende fordele {0} til en eksisterende komponent
Odometer,kilometertæller
Transaction currency must be same as Payment Gateway currency,Transaktionsvaluta skal være den samme som Payment Gateway-valuta
"For an item {0}, quantity must be negative number",For en vare {0} skal mængden være negativt tal
Payroll Date,Lønningsdato
Mode of payment is required to make a payment,Betalingsmåde er forpligtet til at foretage en betaling
Materials,Materialer
Against Sales Order,Mod salgsordre
PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
Against Sales Order Item,Mod salgsordre
Goals,Mål
ERPNext User,ERPNæste bruger
Available Leaves,Tilgængelige blade
Root Account must be a group,Root Account skal være en gruppe
Email Reminders will be sent to all parties with email contacts,E-mail påmindelser vil blive sendt til alle parter med e-mail kontakter
Select Type...,Vælg type ...
Workstation Working Hour,Arbejdspladsens arbejdstid
Analytics,Analytics
Maintenance Role,Vedligeholdelsesrolle
Terms and Conditions Template,Vilkår og betingelser Skabelon
Fee Schedule Program,Fee Schedule Program
Course {0} does not exist.,Kursus {0} eksisterer ikke.
Make Timesheet,Lav tidsskrift
Production Plan Item,Produktionsplan Artikel
Total Student,Samlet studerende
From Package No.,Fra pakke nr.
Shipping Address,Afsendelsesadresse
Clutch Plate,Koblingsplade
Row #{0}: Asset {1} does not linked to Item {2},Række # {0}: Asset {1} er ikke forbundet til Item {2}
Stock Entry {0} created,Lagerindtastning {0} oprettet
Purchase Order Date,Købsdato
Company currencies of both the companies should match for Inter Company Transactions.,Virksomhedsvalutaer for begge virksomheder skal matche for Inter Company Transactions.
Shortage Qty,Mangel
Marked Attendance,Marked Attendance
System will notify to increase or decrease quantity or amount ,Systemet giver besked om at øge eller mindske mængde eller mængde
Cosmetics,Kosmetik
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,"Tjek dette, hvis du vil tvinge brugeren til at vælge en serie, før du gemmer. Der vil ikke være nogen standard, hvis du tjekker dette."
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,Brugere med denne rolle har lov til at indstille frosne konti og oprette / ændre regnskabsposter mod frosne konti
Total Claimed Amount,Samlet krævet beløb
Unable to find Time Slot in the next {0} days for Operation {1},Kan ikke finde Time Slot i de næste {0} dage for Operation {1}
Wrapping up,Afslutter
You can only renew if your membership expires within 30 days,"Du kan kun forny, hvis dit medlemskab udløber inden for 30 dage"
Value must be between {0} and {1},Værdien skal være mellem {0} og {1}
Sales Partner Transaction Summary,Salgspartner Transaktionsoversigt
Maintenance Manager Name,Maintenance Manager Navn
It is needed to fetch Item Details.,Det er nødvendigt at hente varedetaljer.
This is based on stock movement. See {0} for details,Dette er baseret på lagerbevægelser. Se {0} for detaljer
Appointment,Aftale
Please enter {0} first,Indtast venligst {0} først
BOM #{0}: Raw material cannot be same as main Item,BOM # {0}: Råmateriale kan ikke være det samme som hovedartikel
Following accounts might be selected in GST Settings:,Følgende konti kan vælges i GST-indstillinger:
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Du kan bruge et gyldigt Bootstrap 4-markup i dette felt. Det vil blive vist på din vareside.
Incoming Rate,Indgående sats
POS-CLO-,POS-CLO-
Accounts Receivable Discounted Account,Tilgodehavende rabatkonto
Tally Debtors Account,Tally Debtors Account
Has any past Grant Record,Har nogen tidligere Grant Record
Amount in Custody,Beløb i varetægt
Interval,Interval
Parent Warehouse,Moderselskab
Auto Material Requests Generated,Auto Material Requests Genereret
Row {0}: Quality Inspection rejected for item {1},Række {0}: Kvalitetskontrol afvist for punkt {1}
Additional Details,yderligere detaljer
Sales Partner Type,Salgspartartype
"Select BOM, Qty and For Warehouse","Vælg BOM, Antal og Lager"
Maintenance Type,Vedligeholdelsestype
Use this field to render any custom HTML in the section.,Brug dette felt til at gøre nogen brugerdefineret HTML i afsnittet.
"Appointment cancelled, Please review and cancel the invoice {0}","Afbestilling annulleret, bedes gennemgå og annullere fakturaen {0}"
Time Sheet List,Tidsfortegnelse
{0} against Bill {1} dated {2},{0} mod Bill {1} dateret {2}
For Company,For selskab
Linked Soil Analysis,Linked Soil Analysis
Day to Send,Dag til Send
Is Tax Applicable,Er skat gældende
Purchase Order number required for Item {0},Indkøbsordrenummer påkrævet for vare {0}
Tax Rates,Skattesatser
Help Results for,Hjælp Resultater til
Student Admission,Studerende optagelse
Skill,Dygtighed
Budget Account,Budgetkonto
Create New Employee Id,Opret nyt medarbejder-id
Goods and Services Tax (GST India),Varer og tjenesteydelser Skat (GST Indien)
Creating Salary Slips...,Oprettelse af lønlister ...
Employee Skill,Medarbejderfag
Apply Rule On Item Code,Anvend regel på varekode
'Update Stock' can not be checked because items are not delivered via {0},"&#39;Opdateringsark&#39; kan ikke kontrolleres, fordi varer ikke leveres via {0}"
Stock Entry,Lagerindtastning
House rent paid days overlapping with {0},Husleje betalt dage overlapper med {0}
Current Address Is,Nuværende adresse er
Analyst,Analytiker
No records found in the Payment table,Ingen poster fundet i Betalingstabellen
Sales Orders to Deliver,Salgsordrer til levering
Units of Measure,Enheder af foranstaltning
Block Days,Blokdage
Quantity must not be more than {0},Mængden må ikke være mere end {0}
Add Items,Tilføj varer
Taxes and Charges Added (Company Currency),Skatter og afgifter tilføjet (Virksomhedsvaluta)
Currency Exchange Settings,Valutavekslingsindstillinger
From Amount,Fra beløb
Warehouse is mandatory,Lager er obligatorisk
Add Students,Tilføj studerende
Account Paid From,Konto betalt fra
Marked Attendance HTML,Marked Attendance HTML
Item {0} has been disabled,Konto {0} er blevet deaktiveret
Amount In Figure,Beløb i figur
Cannot produce more Item {0} than Sales Order quantity {1},Kan ikke producere mere vare {0} end salgsordre mængde {1}
Return,Vend tilbage
The selected item cannot have Batch,Det valgte element kan ikke have Batch
Print IRS 1099 Forms,Udskriv IRS 1099 Forms
'Update Stock' cannot be checked for fixed asset sale,&#39;Update Stock&#39; kan ikke kontrolleres for salg af fast ejendom
Depreciation Schedule,Afskrivningsplan
Shipping rule not applicable for country {0},Forsendelsesregel gælder ikke for land {0}
Time at which materials were received,Tid hvor materialer blev modtaget
Billing Country,Fakturering land
Sales Order,Salgsordre
Value missing,Værdi mangler
Stores,butikker
New Balance In Base Currency,Ny balance i basisvaluta
Price List,Prisliste
Invalid {0}: {1},Ugyldig {0}: {1}
Article,Genstand
The name of the institute for which you are setting up this system.,"Navnet på instituttet, som du opretter dette system til."
A Product,Et produkt
Crop Name,Beskær Navn
'From Date' is required,&#39;Fra dato&#39; er påkrævet
Please select a BOM,Vælg venligst en BOM
Travel Itinerary,Rejseplan
Birthday Reminder,Fødselsdag påmindelse
Pair,Par
Item Price added for {0} in Price List {1},Vare Pris tilføjet til {0} i prisliste {1}
Validate Applied Rule,Valider Anvendt regel
Job Card Item,Jobkort vare
Company Tagline for website homepage,Firmagrænse for hjemmesidenes hjemmeside
Round Off Cost Center,Round Off Cost Center
Criteria Weight,Kriterier Vægt
Depreciation Schedules,Afskrivningsplaner
Claim Amount,Claimsbeløb
Discounts,Rabatter
Shipping Rule Conditions,Forsendelsesregler
Cancelation Date,Annulleringsdato
Party Bank Account,Party Bank-konto
New Cost Center Name,Navn på nyt omkostningscenter
Max Amount,Maks. Beløb
After payment completion redirect user to selected page.,Efter betaling afslutningen omdirigerer brugeren til den valgte side.
Total Loan Repayment,Samlet låneafdrag
To Fiscal Year,Til regnskabsår
Return Against Delivery Note,Retur mod Leverings Note
"Edit in full page for more options like assets, serial nos, batches etc.","Rediger i fuld side for flere muligheder som aktiver, serienummer, partier osv."
Allocate Payment Amount,Allokere betalingsbeløb
Row # {0}: Returned Item {1} does not exists in {2} {3},Row # {0}: Returneret vare {1} findes ikke i {2} {3}
Enrolling students,Tilmelding til studerende
Allow user to edit Price List Rate in transactions,Tillad brugeren at redigere prisliste i transaktioner
Please select the document type first,Vælg venligst dokumenttype først
Hotel Room Reservation,Hotelværelse Reservation
Researcher,Forsker
{0} {1} is frozen,{0} {1} er frosset
Item Code cannot be changed for Serial No.,Produktkode kan ikke ændres for serienummer
Total Taxes and Charges (Company Currency),Samlede skatter og afgifter (Company Valuta)
Tax Rule Conflicts with {0},Skatteregler er i konflikt med {0}
Year End Date,Årsdato
Create Leads,Opret Leads
Show zero values,Vis nulværdier
Employee Onboarding,Medarbejder Onboarding
Period End Date,Periode Slutdato
Sales Opportunities by Source,Salgsmuligheder ved kilde
The first Leave Approver in the list will be set as the default Leave Approver.,Den første tilladelse til tilladelse i listen vil blive indstillet som standardladningsgodkendelse.
POS Settings,POS-indstillinger
All Accounts,Alle konti
Hotel Manager,Hotelbestyrer
With Items,Med varer
Is Advance,Er Advance
Membership Status,Medlemskabsstatus
Sales campaigns.,Salgskampagner.
Default BOM not found for Item {0} and Project {1},Standard BOM ikke fundet for Item {0} og Project {1}
Encashment Threshold Days,Encashment Threshold Days
Items Filter,Elementer Filter
{0} is on hold till {1},{0} er på vent indtil {1}
Invoice Separately as Consumables,Faktura Separat som forbrugsstoffer
Days Until Due,Dage indtil forfaldsdato
Show Completed,Vis afsluttet
Bank Statement Transaction Entry Report,Regnskabsmeddelelse Transaktionsrapport
Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Row # {0}: Rate skal være den samme som {1}: {2} ({3} / {4})
HLC-CPR-.YYYY.-,HLC-CPR-.YYYY.-
Healthcare Service Items,Sundhedsydelser
No records found,Ingen resultater fundet
Ageing Range 3,Aging Range 3
Blood Pressure,Blodtryk
Target On,Mål mod
All Healthcare Service Units,Alle sundhedsvæsener
Mandatory field - Program,Obligatorisk felt - Program
