DocType: Accounting Period,Period Name,Periode Naam
apps/erpnext/erpnext/buying/doctype/supplier_scorecard_period/supplier_scorecard_period.py,Could not solve weighted score function. Make sure the formula is valid.,Kan de gewogen score functie niet oplossen. Zorg ervoor dat de formule geldig is.
DocType: Invoice Discounting,Loan Period (Days),Uitleentermijn (dagen)
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html,Purchase Order Items not received on time,Inkooporderartikelen die niet op tijd zijn ontvangen
apps/erpnext/erpnext/selling/report/inactive_customers/inactive_customers.py,Number of Order,Aantal Bestel
DocType: Item Group,HTML / Banner that will show on the top of product list.,HTML / Banner dat zal laten zien op de bovenkant van het product lijst.
DocType: Shipping Rule,Specify conditions to calculate shipping amount,Specificeer de voorwaarden om het verzendbedrag te berekenen
DocType: Program Enrollment,Institute's Bus,Instituut&#39;s Bus
DocType: Accounts Settings,Role Allowed to Set Frozen Accounts & Edit Frozen Entries,Rol toegestaan om Stel Frozen Accounts & bewerken Frozen Entries
DocType: Supplier Scorecard Scoring Variable,Path,Pad
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.py,Cannot convert Cost Center to ledger as it has child nodes,Kan kostenplaats niet omzetten naar grootboek vanwege onderliggende nodes
DocType: Production Plan,Total Planned Qty,Totaal aantal geplande
apps/erpnext/erpnext/accounts/doctype/bank_statement_transaction_entry/bank_statement_transaction_entry.py,Transactions already retreived from the statement,Transacties zijn al teruggetrokken uit de verklaring
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Opening Value,opening Value
DocType: Salary Component,Formula,Formule
apps/erpnext/erpnext/stock/report/stock_ledger/stock_ledger.py,Serial #,Serial #
DocType: Material Request Plan Item,Required Quantity,Benodigde hoeveelheid
DocType: Lab Test Template,Lab Test Template,Lab Test Template
apps/erpnext/erpnext/accounts/doctype/accounting_period/accounting_period.py,Accounting Period overlaps with {0},Boekhoudperiode overlapt met {0}
apps/erpnext/erpnext/setup/doctype/company/company.py,Sales Account,Verkoopaccount
DocType: Purchase Invoice Item,Total Weight,Totale gewicht
DocType: Pick List Item,Pick List Item,Keuzelijstitem
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Commission on Sales,Commissie op de verkoop
DocType: Job Offer Term,Value / Description,Waarde / Beschrijving
apps/erpnext/erpnext/controllers/accounts_controller.py,"Row #{0}: Asset {1} cannot be submitted, it is already {2}","Rij # {0}: Asset {1} kan niet worden ingediend, is het al {2}"
DocType: Tax Rule,Billing Country,Land
DocType: Purchase Order Item,Expected Delivery Date,Verwachte leverdatum
DocType: Restaurant Order Entry,Restaurant Order Entry,Restaurantbestelling
apps/erpnext/erpnext/accounts/general_ledger.py,Debit and Credit not equal for {0} #{1}. Difference is {2}.,Debet en Credit niet gelijk voor {0} # {1}. Verschil {2}.
DocType: Clinical Procedure Item,Invoice Separately as Consumables,Factuur afzonderlijk als verbruiksartikelen
DocType: Budget,Control Action,Controle actie
DocType: Asset Maintenance Task,Assign To Name,Toewijzen aan naam
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Entertainment Expenses,Representatiekosten
apps/erpnext/erpnext/manufacturing/doctype/bom/bom_item_preview.html,Open Item {0},Open Item {0}
DocType: Asset Finance Book,Written Down Value,Geschreven waarde
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Sales Invoice {0} must be cancelled before cancelling this Sales Order,Verkoopfactuur {0} moet worden geannuleerd voordat deze verkooporder kan worden geannuleerd.
DocType: Clinical Procedure,Age,Leeftijd
DocType: Sales Invoice Timesheet,Billing Amount,Factuurbedrag
DocType: Cash Flow Mapping,Select Maximum Of 1,Selecteer maximaal 1
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js,Invalid quantity specified for item {0}. Quantity should be greater than 0.,Ongeldig aantal opgegeven voor artikel {0} . Hoeveelheid moet groter zijn dan 0 .
DocType: Company,Default Employee Advance Account,Standaard Employee Advance Account
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Search Item (Ctrl + i),Zoek item (Ctrl + i)
DocType: C-Form,ACC-CF-.YYYY.-,ACC-CF-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be deleted,Rekening met bestaande transactie kan niet worden verwijderd
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Why do think this Item should be removed?,Waarom zou dit artikel moeten worden verwijderd?
DocType: Vehicle,Last Carbon Check,Laatste Carbon controleren
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Legal Expenses,Juridische Kosten
apps/erpnext/erpnext/public/js/utils/serial_no_batch_selector.js,Please select quantity on row ,Selecteer alstublieft de hoeveelheid op rij
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Work Order {0}: job card not found for the operation {1},Werkorder {0}: opdrachtkaart niet gevonden voor de bewerking {1}
DocType: Purchase Invoice,Posting Time,Plaatsing Time
DocType: Timesheet,% Amount Billed,% Gefactureerd Bedrag
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Telephone Expenses,Telefoonkosten
DocType: Sales Partner,Logo,Logo
DocType: Naming Series,Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Controleer dit als u wilt dwingen de gebruiker om een reeks voor het opslaan te selecteren. Er zal geen standaard zijn als je dit controleren.
apps/erpnext/erpnext/stock/get_item_details.py,No Item with Serial No {0},Geen Artikel met Serienummer {0}
DocType: Email Digest,Open Notifications,Open Meldingen
DocType: Payment Entry,Difference Amount (Company Currency),Verschil Bedrag (Company Munt)
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Direct Expenses,Directe Kosten
DocType: Pricing Rule Detail,Child Docname,Doc. Kindnaam
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py,New Customer Revenue,Nieuwe klant Revenue
apps/erpnext/erpnext/config/support.py,Service Level.,Service Level.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Travel Expenses,Reiskosten
DocType: Maintenance Visit,Breakdown,Storing
DocType: Travel Itinerary,Vegetarian,Vegetarisch
DocType: Patient Encounter,Encounter Date,Encounter Date
DocType: Work Order,Update Consumed Material Cost In Project,Verbruikte materiaalkosten in project bijwerken
apps/erpnext/erpnext/controllers/accounts_controller.py,Account: {0} with currency: {1} can not be selected,Account: {0} met valuta: {1} kan niet worden geselecteerd
DocType: Bank Statement Transaction Settings Item,Bank Data,Bankgegevens
DocType: Purchase Receipt Item,Sample Quantity,Monsterhoeveelheid
DocType: Bank Guarantee,Name of Beneficiary,Naam van de begunstigde
DocType: Manufacturing Settings,"Update BOM cost automatically via Scheduler, based on latest valuation rate / price list rate / last purchase rate of raw materials.","Update BOM kosten automatisch via Scheduler, op basis van de laatste waarderingssnelheid / prijslijst koers / laatste aankoophoeveelheid grondstoffen."
DocType: Supplier,SUP-.YYYY.-,SUP-.YYYY.-
,BOM Items and Scraps,Stuklijstitems en kladjes
DocType: Bank Reconciliation Detail,Cheque Date,Cheque Datum
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account {0}: Parent account {1} does not belong to company: {2},Rekening {0}: Bovenliggende rekening {1} hoort niet bij bedrijf: {2}
apps/erpnext/erpnext/setup/doctype/company/company.js,Successfully deleted all transactions related to this company!,Succesvol verwijderd alle transacties met betrekking tot dit bedrijf!
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,As on Date,Op Date
DocType: Additional Salary,HR,HR
DocType: Course Enrollment,Enrollment Date,inschrijfdatum
DocType: Healthcare Settings,Out Patient SMS Alerts,Out Patient SMS Alerts
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Probation,proeftijd
DocType: Company,Sales Settings,Verkoopinstellingen
DocType: Program Enrollment Tool,New Academic Year,New Academisch Jaar
DocType: Supplier Scorecard,Load All Criteria,Laad alle criteria
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.js,Return / Credit Note,Return / Credit Note
DocType: Stock Settings,Auto insert Price List rate if missing,Auto insert Prijslijst tarief als vermist
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.html,Total Paid Amount,Totale betaalde bedrag
DocType: GST Settings,B2C Limit,B2C-limiet
DocType: Job Card,Transferred Qty,Verplaatst Aantal
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.py,The selected payment entry should be linked with a creditor bank transaction,De geselecteerde betaling moet worden gekoppeld aan een crediteurenbanktransactie
DocType: POS Closing Voucher,Amount in Custody,Bedrag in hechtenis
apps/erpnext/erpnext/config/help.py,Navigating,Navigeren
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.js,Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,Wachtwoordbeleid mag geen spaties of gelijktijdige koppeltekens bevatten. Het formaat wordt automatisch geherstructureerd
DocType: Quotation Item,Planning,planning
DocType: Salary Component,Depends on Payment Days,Hangt af van betalingsdagen
DocType: Contract,Signee,signee
DocType: Share Balance,Issued,Uitgegeven
DocType: Loan,Repayment Start Date,Startdatum aflossing
apps/erpnext/erpnext/education/doctype/program/program_dashboard.py,Student Activity,Studentactiviteit
apps/erpnext/erpnext/accounts/report/purchase_register/purchase_register.py,Supplier Id,Leverancier Id
DocType: Payment Request,Payment Gateway Details,Payment Gateway Details
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Quantity should be greater than 0,Hoeveelheid moet groter zijn dan 0
apps/erpnext/erpnext/accounts/doctype/promotional_scheme/promotional_scheme.py,Price or product discount slabs are required,Prijs- of productkortingsplaten zijn vereist
DocType: Journal Entry,Cash Entry,Cash Entry
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse_tree.js,Child nodes can be only created under 'Group' type nodes,Child nodes kunnen alleen worden gemaakt op grond van het type nodes &#39;Groep&#39;
DocType: Attendance Request,Half Day Date,Halve dag datum
DocType: Academic Year,Academic Year Name,Academisch jaar naam
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,{0} not allowed to transact with {1}. Please change the Company.,{0} mag niet transacties uitvoeren met {1}. Wijzig het bedrijf.
apps/erpnext/erpnext/hr/doctype/employee_tax_exemption_sub_category/employee_tax_exemption_sub_category.py,Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},Max. Vrijstellingsbedrag mag niet groter zijn dan het maximale vrijstellingsbedrag {0} van belastingvrijstellingscategorie {1}
DocType: Sales Partner,Contact Desc,Contact Omschr
DocType: Email Digest,Send regular summary reports via Email.,Stuur regelmatige samenvattende rapporten via e-mail.
apps/erpnext/erpnext/hr/doctype/expense_claim/expense_claim.py,Please set default account in Expense Claim Type {0},Stel standaard account aan Expense conclusie Type {0}
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application_dashboard.html,Available Leaves,Beschikbare bladeren
DocType: Assessment Result,Student Name,Studenten naam
DocType: Hub Tracked Item,Item Manager,Item Manager
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Payroll Payable,payroll Payable
DocType: GSTR 3B Report,April,april
DocType: Plant Analysis,Collection Datetime,Verzameling Datetime
DocType: Asset Repair,ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
DocType: Work Order,Total Operating Cost,Totale exploitatiekosten
apps/erpnext/erpnext/controllers/selling_controller.py,Note: Item {0} entered multiple times,Opmerking : Artikel {0} meerdere keren ingevoerd
apps/erpnext/erpnext/config/buying.py,All Contacts.,Alle contactpersonen.
DocType: Accounting Period,Closed Documents,Gesloten documenten
DocType: Healthcare Settings,Manage Appointment Invoice submit and cancel automatically for Patient Encounter,Afspraakfactuur beheren indienen en automatisch annuleren voor patiëntontmoeting
apps/erpnext/erpnext/config/website.py,Add cards or custom sections on homepage,Kaarten of aangepaste secties toevoegen op de startpagina
DocType: Patient Appointment,Referring Practitioner,Verwijzende behandelaar
apps/erpnext/erpnext/public/js/setup_wizard.js,Company Abbreviation,Bedrijf afkorting
apps/erpnext/erpnext/hr/doctype/employee/employee.py,User {0} does not exist,Gebruiker {0} bestaat niet
DocType: Payment Term,Day(s) after invoice date,Dag (en) na factuurdatum
apps/erpnext/erpnext/setup/doctype/company/company.js,Date of Commencement should be greater than Date of Incorporation,Aanvangsdatum moet groter zijn dan de datum van oprichting
DocType: Contract,Signed On,Aangemeld
DocType: Bank Account,Party Type,partij Type
DocType: Discounted Invoice,Discounted Invoice,Korting op factuur
DocType: Payment Schedule,Payment Schedule,Betalingsschema
apps/erpnext/erpnext/hr/doctype/employee_checkin/employee_checkin.py,No Employee found for the given employee field value. '{}': {},Geen medewerker gevonden voor de gegeven veldwaarde voor de medewerker. &#39;{}&#39;: {}
DocType: Item Attribute Value,Abbreviation,Afkorting
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,Payment Entry already exists,Betaling Entry bestaat al
DocType: Course Content,Quiz,Quiz
DocType: Subscription,Trial Period End Date,Einddatum van de proefperiode
apps/erpnext/erpnext/setup/doctype/authorization_control/authorization_control.py,Not authroized since {0} exceeds limits,Niet toegestaan aangezien {0} grenzen overschrijdt
apps/erpnext/erpnext/accounts/doctype/chart_of_accounts_importer/chart_of_accounts_importer.py,Start entering data from here : ,Begin met het invoeren van gegevens vanaf hier:
DocType: Serial No,Asset Status,Activumstatus
DocType: Sales Invoice,Over Dimensional Cargo (ODC),Over Dimensional Cargo (ODC)
DocType: Restaurant Order Entry,Restaurant Table,Restaurant tafel
DocType: Hotel Room,Hotel Manager,Hotel Manager
apps/erpnext/erpnext/utilities/activation.py,Create Student Batch,Maak studentenbatch aan
apps/erpnext/erpnext/shopping_cart/doctype/shopping_cart_settings/shopping_cart_settings.py,Set Tax Rule for shopping cart,Stel Tax Regel voor winkelmandje
apps/erpnext/erpnext/hr/doctype/job_offer/job_offer.py,There are no vacancies under staffing plan {0},Er zijn geen vacatures onder personeelsplan {0}
DocType: Purchase Invoice,Taxes and Charges Added,Belastingen en Toeslagen toegevoegd
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Depreciation Row {0}: Next Depreciation Date cannot be before Available-for-use Date,Afschrijving Rij {0}: Volgende Afschrijvingsdatum kan niet eerder zijn dan Beschikbaar-voor-gebruik Datum
