Pension Funds,Lífeyrissjóðir
Fee Schedule Program,Gjaldskrá áætlun
Course {0} does not exist.,Námskeið {0} er ekki til.
Make Timesheet,Gerðu tímapunkt
Production Plan Item,Framleiðsluáætlunarliður
Total Student,Samtals nemandi
From Package No.,Frá pakkningarnúmeri
Shipping Address,Sendingar Heimilisfang
Clutch Plate,Kúplingsplata
Row #{0}: Asset {1} does not linked to Item {2},Row # {0}: Eignin {1} er ekki tengd við lið {2}
Stock Entry {0} created,Skráarfærsla {0} búin til
Purchase Order Date,Innkaupapöntunardagsetning
Company currencies of both the companies should match for Inter Company Transactions.,Fyrirtæki gjaldmiðla bæði fyrirtækin ættu að passa fyrir millifærsluviðskipti.
Shortage Qty,Skortur á skorti
Marked Attendance,Merktur þátttaka
System will notify to increase or decrease quantity or amount ,Kerfið mun tilkynna um að auka eða minnka magn eða upphæð
Cosmetics,Snyrtivörur
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Athugaðu þetta ef þú vilt þvinga notandann til að velja röð áður en þú vistar. Það verður engin sjálfgefið ef þú skoðar þetta.
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,Notendur með þetta hlutverk geta leyft frystum reikningum og búið til / breytt bókhaldsfærslu gegn frystum reikningum
Total Claimed Amount,Samtals krafist upphæð
Unable to find Time Slot in the next {0} days for Operation {1},Ekki er hægt að finna tímaskeið á næstu {0} dögum fyrir aðgerð {1}
Wrapping up,Klára
You can only renew if your membership expires within 30 days,Þú getur aðeins endurnýjað ef aðild þinn rennur út innan 30 daga
Value must be between {0} and {1},Gildi verður að vera á milli {0} og {1}
Sales Partner Transaction Summary,Samantekt um sölu samstarfsaðila
Maintenance Manager Name,Nafn viðhaldsstjórans
It is needed to fetch Item Details.,Það er nauðsynlegt til að sækja hlutatriði.
This is based on stock movement. See {0} for details,Þetta er byggt á lagerhreyfingu. Sjá {0} til að fá nánari upplýsingar
Appointment,Skipun
Please enter {0} first,Vinsamlegast sláðu inn {0} fyrst
BOM #{0}: Raw material cannot be same as main Item,BOM # {0}: Hráefni geta ekki verið eins og aðal atriði
Following accounts might be selected in GST Settings:,Eftirfarandi reikningar gætu verið valin í GST-stillingum:
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,Þú getur notað hvaða gilda Stígvél 4 markup í þessu sviði. Það verður sýnt á hlutasíðunni þinni.
Incoming Rate,Komandi hlutfall
POS-CLO-,POS-CLO-
Accounts Receivable Discounted Account,Reikningar á reikningsskilum
Tally Debtors Account,Tally skuldara reikning
Has any past Grant Record,Hefur einhverjar fyrri styrkleikaskrár
Amount in Custody,Upphæð í vörslu
Interval,Interval
Parent Warehouse,Móðurhús
Auto Material Requests Generated,Sjálfvirk efnisbeiðni sem myndast
Row {0}: Quality Inspection rejected for item {1},Rú {0}: Gæðaskoðun hafnað fyrir lið {1}
Additional Details,Viðbótarupplýsingar
Sales Partner Type,Sala samstarfsaðila
"Select BOM, Qty and For Warehouse","Veldu BOM, Magn og Fyrir vöruhús"
Maintenance Type,Viðhaldstegund
Use this field to render any custom HTML in the section.,Notaðu þetta reit til að birta sérsniðna HTML í hlutanum.
"Appointment cancelled, Please review and cancel the invoice {0}","Skipun lokað, Vinsamlegast skoðaðu og hættu við reikninginn {0}"
Time Sheet List,Tímaskrá Listi
{0} against Bill {1} dated {2},{0} gegn Bill {1} dags {2}
For Company,Fyrir fyrirtæki
Linked Soil Analysis,Tengd jarðvegsgreining
Day to Send,Dagur til að senda
Is Tax Applicable,Er skattur gilda
Purchase Order number required for Item {0},Innkaupapöntunarnúmer sem krafist er fyrir lið {0}
Tax Rates,Skattar
Help Results for,Hjálparniðurstöður fyrir
Student Admission,Námsmenntun
Skill,Hæfni
Budget Account,Fjárhagsreikningur
Create New Employee Id,Búðu til nýjan starfsmannakenni
Goods and Services Tax (GST India),Vörur og þjónusta Skattur (GST Indland)
Creating Salary Slips...,Búa til launaákvarðanir ...
Employee Skill,Starfsmenntun
Apply Rule On Item Code,Notaðu reglu á vörulínu
'Update Stock' can not be checked because items are not delivered via {0},Ekki er hægt að athuga &#39;Uppfæra vöru&#39; vegna þess að hlutir eru ekki afhentir með {0}
Stock Entry,Verðbréfaskráning
House rent paid days overlapping with {0},Húsaleigu greiddur dagar skarast við {0}
Current Address Is,Núverandi heimilisfang er
Analyst,Sérfræðingur
No records found in the Payment table,Engar færslur fundust í greiðslustöflunni
Sales Orders to Deliver,Sölutilboð til að skila
Units of Measure,Einingar einingar
Block Days,Blokkadagar
Quantity must not be more than {0},Magn má ekki vera meira en {0}
Add Items,Bæta við atriðum
Taxes and Charges Added (Company Currency),Skattar og gjöld bætt við (Gjaldmiðill félagsins)
Currency Exchange Settings,Valmöguleikar
From Amount,Frá upphæð
Warehouse is mandatory,Vörugeymsla er skylt
Add Students,Bæta við nemendum
Account Paid From,Reikningur greitt frá
Marked Attendance HTML,Merktur viðveru HTML
Item {0} has been disabled,Liður {0} hefur verið óvirkur
Amount In Figure,Magn í mynd
Cannot produce more Item {0} than Sales Order quantity {1},Ekki er hægt að framleiða fleiri atriði {0} en sölutilboð {1}
Return,Fara aftur
The selected item cannot have Batch,Valt atriði getur ekki haft lotu
Print IRS 1099 Forms,Prenta IRS 1099 eyðublöð
'Update Stock' cannot be checked for fixed asset sale,Ekki er hægt að athuga &quot;uppfærslubréf&quot; fyrir fasteignasölu
Depreciation Schedule,Afskriftir Stundaskrá
Shipping rule not applicable for country {0},Sendingarregla gildir ekki fyrir land {0}
Time at which materials were received,Tími þar sem efni voru móttekið
Billing Country,Innheimtuland
Sales Order,Sölupöntun
Value missing,Gildi vantar
Stores,Búðir
New Balance In Base Currency,Nýtt jafnvægi í grunnvalmynd
Price List,Verðskrá
Invalid {0}: {1},Ógilt {0}: {1}
Article,Gr
The name of the institute for which you are setting up this system.,Heiti stofnunarinnar sem þú setur upp þetta kerfi.
A Product,A vara
Crop Name,Skera nafn
'From Date' is required,&#39;Frá Dagsetning&#39; er krafist
Please select a BOM,Vinsamlegast veldu BOM
Travel Itinerary,Ferðaáætlun
Birthday Reminder,Afmælisdagur afmæli
Pair,Par
Item Price added for {0} in Price List {1},Liður Verð bætt við fyrir {0} í verðskrá {1}
Validate Applied Rule,Staðfesta gildandi reglu
Job Card Item,Atvinna kort atriði
Company Tagline for website homepage,Fyrirtæki Merking fyrir heimasíðu heimasíðunnar
Round Off Cost Center,Round Off Kostnaður Center
Criteria Weight,Viðmiðunarþyngd
Depreciation Schedules,Afskriftiráætlanir
Claim Amount,Kröfuhæð
Discounts,Afslættir
Shipping Rule Conditions,Skilmálar reglna um flutning
Cancelation Date,Hætta við dagsetningu
Party Bank Account,Party Bank Account
New Cost Center Name,Nafn nýs kostnaðarhúss
Max Amount,Hámarksfjöldi
After payment completion redirect user to selected page.,"Eftir að greiðsla er lokið, beina notanda til valda síðu."
Total Loan Repayment,Samtals endurgreiðsla lána
To Fiscal Year,Til reikningsárs
Return Against Delivery Note,Aftur á móti skilatilkynningu
"Edit in full page for more options like assets, serial nos, batches etc.","Breyta í fullri síðu fyrir fleiri valkosti eins og eignir, raðnúmer, lotur osfrv."
Allocate Payment Amount,Úthlutaðu greiðsluverði
Row # {0}: Returned Item {1} does not exists in {2} {3},Row # {0}: Return Item {1} er ekki til í {2} {3}
Enrolling students,Skráðu nemendur
Allow user to edit Price List Rate in transactions,Leyfa notanda að breyta Verðskrár Rate í viðskiptum
Please select the document type first,Vinsamlegast veldu skjal tegundina fyrst
Hotel Room Reservation,Hótel herbergi fyrirvara
Researcher,Vísindamaður
{0} {1} is frozen,{0} {1} er fryst
Item Code cannot be changed for Serial No.,Ekki er hægt að breyta vörulínu fyrir raðnúmer
Total Taxes and Charges (Company Currency),Samtals Skattar og gjöld (Company Gjaldmiðill)
Tax Rule Conflicts with {0},Skattareglan stangast á við {0}
Year End Date,Lokadagsetning
Create Leads,Búa til leiðir
Show zero values,Sýna núll gildi
Employee Onboarding,Starfsmaður um borð
Period End Date,Tímabil Lokadagur
Sales Opportunities by Source,Sölutækifæri eftir uppspretta
The first Leave Approver in the list will be set as the default Leave Approver.,Fyrsta leyfisveitandinn á listanum verður stilltur sem sjálfgefið leyfi fyrir leyfi.
POS Settings,POS stillingar
All Accounts,Allir reikningar
Hotel Manager,Hótelstjórinn
With Items,Með atriðum
Is Advance,Er fyrirfram
Membership Status,Aðildarstaða
Sales campaigns.,Söluherferðir.
Default BOM not found for Item {0} and Project {1},Sjálfgefið BOM fannst ekki fyrir lið {0} og verkefni {1}
Encashment Threshold Days,Skrímsluskammtardagar
Items Filter,Atriði Sía
{0} is on hold till {1},{0} er í bið til {1}
Invoice Separately as Consumables,Reikningur Sérstaklega sem neysluvörur
Days Until Due,Dagar til dags
Show Completed,Sýna lokið
Bank Statement Transaction Entry Report,Reikningsskilaskrá bankans
Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Row # {0}: Röðin verður að vera eins og {1}: {2} ({3} / {4})
HLC-CPR-.YYYY.-,HLC-CPR-.YYYY.-
Healthcare Service Items,Heilbrigðisþjónustudeildir
No records found,Engar færslur fundust
Ageing Range 3,Aldursbil 3
Blood Pressure,Blóðþrýstingur
Target On,Miða á
All Healthcare Service Units,Allir heilbrigðisþjónustudeildir
Mandatory field - Program,Lögboðið reit - Program
Timer,Tímamælir
Set {0} in asset category {1} or company {2},Setjið {0} í eignaflokki {1} eða fyrirtæki {2}
Bank Header,Bankareikningur
Not eligible for the admission in this program as per DOB,Ekki hæfur til að taka þátt í þessu forriti samkvæmt DOB
Assessment Criteria Group,Matsviðmið Group
Is Correct,Er rétt
user@example.com,user@example.com
Parent Department,Foreldradeild
Employee Internal Work History,Starfsmaður Innri vinnuferill
Warn POs,Varið PO
Offer Date,Tilboðsdagur
Product Bundle Help,Vara knippi hjálp
Stock Reconciliation,Verðbréfaviðskipti
Accounting Entry for Stock,Bókhaldslýsing fyrir lager
"Appointment overlaps with {0}.<br> {1} has appointment scheduled
			with {2} at {3} having {4} minute(s) duration.",Skipun skarast við {0}. <br> {1} hefur tímaáætlun sem er áætlað með {2} á {3} með {4} mínútu (s) lengd.
Warehouses with child nodes cannot be converted to ledger,Vöruhús með hnúta barns geta ekki verið breytt í aðalbók
Projects Manager,Verkefnisstjóri
End time cannot be before start time,Lokatími getur ekki verið fyrir byrjunartíma
UOM Name,UOM nafn
BMI,BMI
Hours,Klukkustundir
Amount {0} {1} {2} {3},Upphæð {0} {1} {2} {3}
Supplier Ledger Summary,Birgir Ledger Yfirlit
Student Email ID,Tölvupóstfang nemanda
GoCardless SEPA Mandate,GoCardless SEPA umboð
IBAN,IBAN
No of People,Fjöldi fólks
From Date and To Date lie in different Fiscal Year,Frá dagsetningu og dagsetningu liggja á mismunandi reikningsári
The Patient {0} do not have customer refrence to invoice,Sjúklingur {0} hefur ekki viðskiptavina til að reikna
Syntax error in condition: {0},Setningafræði í skilningi: {0}
Transaction ID,Transaction ID
Please enter message before sending,Vinsamlegast sláðu inn skilaboð áður en þú sendir
Ref Date,Ref Date
Note: This Cost Center is a Group. Cannot make accounting entries against groups.,Athugaðu: Þetta kostnaðurarmiðstöð er hópur. Ekki er hægt að gera reikningsskilatölur gegn hópum.
Soil Analysis Criterias,Jarðgreiningarmörk
Packing Slip(s) cancelled,Pökkunarspjald (s) hætt
Existing Company,Núverandi fyrirtæki
Batches,Hópur
Defense,Vörn
Has Batch No,Hefur lota nr
Person Name,Nafn persóna
Item Variant,Vara Variant
Invited,Boðið
Maximum amount eligible for the component {0} exceeds {1},Hámarksupphæð sem hæfur er fyrir hluti {0} fer yfir {1}
Amount to Bill,Magn Bill
"For {0}, only debit accounts can be linked against another credit entry",Fyrir {0} er hægt að tengja aðeins debetreikninga við annan lánsfærslu
Payable Account,Greiðanlegur reikningur
Please mention no of visits required,Vinsamlegast nefðu engar heimsóknir sem krafist er
Only select if you have setup Cash Flow Mapper documents,Veldu aðeins hvort þú hafir sett upp Cash Flow Mapper skjöl
{0} is a company holiday,{0} er félagsfrí
Items with higher weightage will be shown higher,Hlutir með hærri þyngd verða sýnd hærri
Project will be accessible on the website to these users,Verkefnið verður aðgengilegt á vefsíðunni til þessara notenda
Attribute table is mandatory,Eiginleikatafla er skylt
Total Working Hours,Samtals vinnutími
Planting UOM,Gróðursetning UOM
O Negative,O neikvæð
To Receive and Bill,Til að fá og reikna
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.","Upphafs- og lokadagar ekki í gildum launum, ekki hægt að reikna {0}."
Only show Customer of these Customer Groups,Sýnið aðeins viðskiptavini þessara viðskiptamanna
Select items to save the invoice,Veldu atriði til að vista reikninginn
Resolution Time,Upplausnartími
Grade Description,Einkunn Lýsing
Cards,Spil
Linked Plant Analysis,Tengd planta greining
Service Stop Date cannot be after Service End Date,Þjónustuskilyrði Dagsetning getur ekki verið eftir þjónustudagsetning
Please set B2C Limit in GST Settings.,Vinsamlegast stilltu B2C Limit í GST Stillingar.
Member Name,Nafn Nafn
Payable,Greiðslur
For Quantity,Fyrir Magn
For reference,Tilvísun
Add to Cart,Setja í körfu
Global Defaults,Alþjóðlegar vanskil
Follow via Email,Fylgdu með tölvupósti
Total Leaves Allocated,Samtals blöð úthlutað
Raw Material,Hrátt efni
Limited to 12 characters,Takmörkuð við 12 stafir
Customer Naming By,Nafn viðskiptavina
Packed quantity must equal quantity for Item {0} in row {1},Pakkað magn verður að vera jafnt magn fyrir lið {0} í röð {1}
New Sales Person Name,Nýr sölumaður Nafn
Amazon will synch data updated after this date,Amazon mun synkja gögn uppfærð eftir þennan dag
Service Day,Þjónustudag
Taxes and Charges Deducted (Company Currency),Skattar og gjöld dregin frá (Gjaldmiðill félagsins)
Gross Margin %,Heildarframlegð %
Bank Statement balance as per General Ledger,Uppgjör bankans samkvæmt almennum bókhaldi
Healthcare (beta),Heilbrigðisþjónusta (beta)
Default Warehouse to to create Sales Order and Delivery Note,Sjálfgefið vörugeymsla til að búa til sölupöntun og afhendingartilkynningu
Customer / Lead Name,Viðskiptavinur / Lead Name
EDU-STU-.YYYY.-,EDU-STU-.YYYY.-
Unclaimed amount,Óhæfð upphæð
Source and target warehouse cannot be same for row {0},Uppruni og miða vörugeymsla getur ekki verið sama fyrir röð {0}
Depreciation Row {0}: Expected value after useful life must be greater than or equal to {1},Afskriftir Róður {0}: Vænt gildi eftir nýtingartíma verður að vera meiri en eða jafnt við {1}
