DocType: Accounting Period,Period Name,Numele perioadei
apps/erpnext/erpnext/config/projects.py,Project activity / task.,Activitatea de proiect / sarcină.
DocType: Vital Signs,Very Coated,Foarte acoperit
DocType: Salary Component,Only Tax Impact (Cannot Claim But Part of Taxable Income),"Numai impactul fiscal (nu poate fi revendicat, ci parte din venitul impozabil)"
DocType: Vehicle Log,Refuelling Details,Detalii de realimentare
apps/erpnext/erpnext/agriculture/doctype/water_analysis/water_analysis.py,Lab result datetime cannot be before testing datetime,Rezultatul datetimei de laborator nu poate fi înainte de data testării
DocType: Delivery Trip,Use Google Maps Direction API to optimize route,Utilizați Google Maps Direction API pentru a optimiza ruta
DocType: POS Profile,Allow user to edit Discount,Permiteți utilizatorului să editeze Discount
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.js,Get customers from,Obțineți clienți de la
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,As per rules 42 & 43 of CGST Rules,Conform regulilor 42 și 43 din Regulile CGST
DocType: Purchase Invoice Item,Include Exploded Items,Includeți articole explodate
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,"Buying must be checked, if Applicable For is selected as {0}","Destinat Cumpărării trebuie să fie bifat, dacă Se Aplica Pentru este selectat ca şi {0}"
apps/erpnext/erpnext/setup/doctype/authorization_rule/authorization_rule.py,Discount must be less than 100,Reducerea trebuie să fie mai mică de 100
apps/erpnext/erpnext/support/doctype/service_level/service_level.py,"Start Time can't be greater than or equal to End Time \
					for {0}.",Ora de pornire nu poate fi mai mare sau egală cu Ora finală \ pentru {0}.
DocType: Shipping Rule,Restrict to Countries,Limitează la Țări
DocType: Shift Type,Alternating entries as IN and OUT during the same shift,Alternarea intrărilor ca IN și OUT în timpul aceleiași deplasări
DocType: Shopify Settings,Shared secret,Secret împărtășit
DocType: Amazon MWS Settings,Synch Taxes and Charges,Taxe și taxe de sincronizare
DocType: Purchase Invoice,Write Off Amount (Company Currency),Scrie Off Suma (Compania de valuta)
DocType: Sales Invoice Timesheet,Billing Hours,Ore de facturare
DocType: Project,Total Sales Amount (via Sales Order),Suma totală a vânzărilor (prin comandă de vânzări)
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Default BOM for {0} not found,BOM implicit pentru {0} nu a fost găsit
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Fiscal Year Start Date should be one year earlier than Fiscal Year End Date,Data de începere a anului fiscal ar trebui să fie cu un an mai devreme decât data de încheiere a anului fiscal
apps/erpnext/erpnext/stock/doctype/item/item.py,Row #{0}: Please set reorder quantity,Row # {0}: Va rugam sa seta cantitatea reordona
apps/erpnext/erpnext/public/js/pos/pos.html,Tap items to add them here,Atingeți elementele pentru a le adăuga aici
DocType: Course Enrollment,Program Enrollment,programul de înscriere
apps/erpnext/erpnext/controllers/item_variant.py,Rename Not Allowed,Redenumirea nu este permisă
DocType: Share Transfer,To Folio No,Pentru Folio nr
DocType: Landed Cost Voucher,Landed Cost Voucher,Voucher Cost Landed
apps/erpnext/erpnext/config/accounting.py,Tax Category for overriding tax rates.,Categorie de impozite pentru cote de impozitare superioare.
apps/erpnext/erpnext/public/js/queries.js,Please set {0},Vă rugăm să setați {0}
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,{0} - {1} is inactive student,{0} - {1} este student inactiv
apps/erpnext/erpnext/education/doctype/student_group/student_group.py,{0} - {1} is inactive student,{0} - {1} este elev inactiv
DocType: Employee,Health Details,Detalii Sănătate
DocType: Coupon Code,Coupon Type,Tip cupon
DocType: Leave Encashment,Encashable days,Zile încorporate
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,To create a Payment Request reference document is required,Pentru a crea un document de referință privind solicitarea de plată este necesar
apps/erpnext/erpnext/accounts/doctype/payment_request/payment_request.py,To create a Payment Request reference document is required,Pentru a crea un document de referință privind solicitarea de plată este necesar
DocType: Soil Texture,Sandy Clay,Sandy Clay
DocType: Grant Application,Assessment  Manager,Manager de evaluare
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js,Allocate Payment Amount,Alocați Suma de plată
DocType: Subscription Plan,Subscription Plan,Planul de abonament
DocType: Employee External Work History,Salary,Salariu
DocType: Serial No,Delivery Document Type,Tipul documentului de Livrare
DocType: Sales Order,Partly Delivered,Parțial livrate
DocType: Item Variant Settings,Do not update variants on save,Nu actualizați variantele de salvare
DocType: Email Digest,Receivables,Creanțe
DocType: Lead Source,Lead Source,Sursa de plumb
DocType: Customer,Additional information regarding the customer.,Informații suplimentare cu privire la client.
DocType: Quality Inspection Reading,Reading 5,Lectura 5
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,"{0} {1} is associated with {2}, but Party Account is {3}","{0} {1} este asociat cu {2}, dar Contul de Partid este {3}"
DocType: Bank Statement Settings Item,Bank Header,Antetul băncii
apps/erpnext/erpnext/healthcare/doctype/sample_collection/sample_collection.js,View Lab Tests,Vizualizați testele de laborator
DocType: Hub Users,Hub Users,Hub utilizatori
DocType: Purchase Invoice,Y,Y
DocType: Maintenance Visit,Maintenance Date,Dată Mentenanță
DocType: Purchase Invoice Item,Rejected Serial No,Respins de ordine
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year.py,Year start date or end date is overlapping with {0}. To avoid please set company,Anul Data de începere sau de încheiere este suprapunerea cu {0}. Pentru a evita vă rugăm să setați companie
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Please mention the Lead Name in Lead {0},Menționați numele de plumb din plumb {0}
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Start date should be less than end date for Item {0},Data de începere trebuie să fie mai mică decât data de sfârșit pentru postul {0}
DocType: Shift Type,Auto Attendance Settings,Setări de prezență automată
DocType: Item,"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","Exemplu:. ABCD ##### 
 Dacă seria este setat și nu de serie nu este menționat în tranzacții, numărul de atunci automat de serie va fi creat pe baza acestei serii. Dacă întotdeauna doriți să se menționeze explicit Serial nr de acest articol. părăsi acest gol."
DocType: Upload Attendance,Upload Attendance,Încărcați Spectatori
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.js,BOM and Manufacturing Quantity are required,BOM și cantitatea de producție sunt necesare
apps/erpnext/erpnext/accounts/report/accounts_payable/accounts_payable.js,Ageing Range 2,Clasă de uzură 2
DocType: SG Creation Tool Course,Max Strength,Putere max
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Installing presets,Instalarea presetărilor
DocType: Fee Schedule,EDU-FSH-.YYYY.-,EDU-FSH-.YYYY.-
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.js,No Delivery Note selected for Customer {},Nu este selectată nicio notificare de livrare pentru client {}
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,Rows Added in {0},Rânduri adăugate în {0}
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,Employee {0} has no maximum benefit amount,Angajatul {0} nu are o valoare maximă a beneficiului
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.js,Select Items based on Delivery Date,Selectați elementele bazate pe data livrării
DocType: Grant Application,Has any past Grant Record,Are vreun dosar Grant trecut
,Sales Analytics,Analitice de vânzare
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js,Available {0},Disponibile {0}
,Prospects Engaged But Not Converted,Perspective implicate dar nu convertite
,Prospects Engaged But Not Converted,Perspective implicate dar nu convertite
DocType: Manufacturing Settings,Manufacturing Settings,Setări de Fabricație
DocType: Quality Feedback Template Parameter,Quality Feedback Template Parameter,Parametrul șablonului de feedback al calității
apps/erpnext/erpnext/config/settings.py,Setting up Email,Configurarea e-mail
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Guardian1 Mobile No,Guardian1 mobil nr
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,Please enter default currency in Company Master,Va rugam sa introduceti moneda implicit în Compania de Master
DocType: Stock Entry Detail,Stock Entry Detail,Stoc de intrare Detaliu
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.py,Daily Reminders,Memento de zi cu zi
apps/erpnext/erpnext/templates/pages/help.html,See all open tickets,Vedeți toate biletele deschise
DocType: Brand,Brand Defaults,Valorile implicite ale mărcii
apps/erpnext/erpnext/healthcare/doctype/healthcare_service_unit/healthcare_service_unit.js,Healthcare Service Unit Tree,Unitatea de servicii de asistență medicală
DocType: Pricing Rule,Product,Produs
DocType: Products Settings,Home Page is Products,Pagina Principală este Produse
,Asset Depreciation Ledger,Registru Amortizatre Active
DocType: Salary Structure,Leave Encashment Amount Per Day,Părăsiți Suma de Invenție pe Zi
DocType: Loyalty Program Collection,For how much spent = 1 Loyalty Point,Pentru cât de mult a fost cheltuit = 1 punct de loialitate
apps/erpnext/erpnext/accounts/doctype/tax_rule/tax_rule.py,Tax Rule Conflicts with {0},Conflicte normă fiscală cu {0}
apps/erpnext/erpnext/accounts/doctype/account/account_tree.js,New Account Name,Nume nou cont
DocType: Purchase Invoice Item,Raw Materials Supplied Cost,Costul materiilor prime livrate
DocType: Selling Settings,Settings for Selling Module,Setări pentru vânzare Modulul
DocType: Hotel Room Reservation,Hotel Room Reservation,Rezervarea camerelor hotelului
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Customer Service,Service Client
DocType: BOM,Thumbnail,Miniatură
apps/erpnext/erpnext/stock/doctype/delivery_trip/delivery_trip.py,No contacts with email IDs found.,Nu au fost găsite contacte cu ID-urile de e-mail.
DocType: Item Customer Detail,Item Customer Detail,Detaliu Articol Client
apps/erpnext/erpnext/hr/doctype/employee_benefit_claim/employee_benefit_claim.py,Maximum benefit amount of employee {0} exceeds {1},Suma maximă a beneficiilor angajatului {0} depășește {1}
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.py,Total allocated leaves are more than days in the period,TOTAL frunze alocate sunt mai mult decât zile în perioada
DocType: Linked Soil Analysis,Linked Soil Analysis,Analiza solului conectat
DocType: Pricing Rule,Percentage,Procent
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py,Item {0} must be a stock Item,Articolul {0} trebuie să fie un Articol de Stoc
DocType: Manufacturing Settings,Default Work In Progress Warehouse,Implicit Lucrări în depozit Progress
apps/erpnext/erpnext/healthcare/doctype/practitioner_schedule/practitioner_schedule.js,"Schedules for {0} overlaps, do you want to proceed after skiping overlaped slots ?","Programări pentru suprapunerile {0}, doriți să continuați după ce ați sări peste sloturile suprapuse?"
apps/erpnext/erpnext/hr/doctype/leave_period/leave_period.js,Grant Leaves,Grant Frunze
DocType: Restaurant,Default Tax Template,Implicit Template fiscal
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.py,{0} Students have been enrolled,{0} Elevii au fost înscriși
DocType: Fees,Student Details,Detalii studențești
DocType: Woocommerce Settings,"This is the default UOM used for items and Sales orders. The fallback UOM is ""Nos"".",Acesta este UOM-ul implicit utilizat pentru articole și comenzi de vânzări. UOM-ul în rezervă este „Nos”.
DocType: Purchase Invoice Item,Stock Qty,Cota stocului
DocType: Purchase Invoice Item,Stock Qty,Cota stocului
apps/erpnext/erpnext/public/js/hub/components/ReviewArea.vue,Ctrl+Enter to submit,Ctrl + Enter pentru a trimite
DocType: Contract,Requires Fulfilment,Necesită îndeplinirea
DocType: QuickBooks Migrator,Default Shipping Account,Contul de transport implicit
DocType: Loan,Repayment Period in Months,Rambursarea Perioada în luni
apps/erpnext/erpnext/templates/includes/footer/footer_extension.html,Error: Not a valid id?,Eroare: Nu a id valid?
DocType: Naming Series,Update Series Number,Actualizare Serii Număr
DocType: Account,Equity,Echitate
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,{0} {1}: &quot;profit și pierdere&quot; cont de tip {2} nu este permisă în orificiul de intrare
DocType: Job Offer,Printing Details,Imprimare Detalii
DocType: Task,Closing Date,Data de Inchidere
DocType: Sales Order Item,Produced Quantity,Produs Cantitate
DocType: Item Price,Quantity  that must be bought or sold per UOM,Cantitatea care trebuie cumpărată sau vândută pe UOM
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Engineer,Inginer
DocType: Promotional Scheme Price Discount,Max Amount,Suma maximă
DocType: Journal Entry,Total Amount Currency,Suma totală Moneda
DocType: Pricing Rule,Min Amt,Amt min
DocType: Item,Is Customer Provided Item,Este articol furnizat de client
apps/erpnext/erpnext/stock/report/bom_search/bom_search.js,Search Sub Assemblies,Căutare subansambluri
