Pension Funds,Emeklilik fonları
Please select the assessment group other than 'All Assessment Groups',Lütfen &#39;Tüm Değerlendirme Grupları&#39; dışında bir değerlendirme grubu seçin
Payroll,Maaş bordrosu
Expense Amount,Gider Tutarı
Received On,Alınan
Flight,Uçuş
Landed Cost Taxes and Charges,Landed Maliyet Vergileri ve Masrafları
More than one selection for {0} not allowed,{0} için birden fazla seçime izin verilmiyor
Net Change in Equity,Özkaynaklardaki Net Değişim
Leaves has been granted sucessfully,Yapraklar başarıyla verildi
Expiry Date,Son kullanma tarihi
Working,Çalışma
This is based on transactions against this Patient. See timeline below for details,"Bu, bu Hastaya karşı yapılan işlemlere dayanmaktadır. Ayrıntılar için aşağıdaki zaman çizelgesine bakın"
Requested For,Talep Edilen
All Sales Person,Tüm Satış Görevlisi
Please set default account in Salary Component {0},Lütfen {0} Maaş Bileşeninde varsayılan hesabı ayarlayın
No products found,Ürün bulunamadı
Reserved Qty for Production: Raw materials quantity to make manufacturing items.,Üretim İçin Ayrılmış Miktar: İmalat kalemlerini yapmak için hammadde miktarı.
Optional. This setting will be used to filter in various transactions.,İsteğe bağlı. Bu ayar çeşitli işlemlerde filtrelemek için kullanılacaktır.
Target Warehouse Address,Hedef Depo Adresi
Outward taxable supplies(zero rated),Dışa aktarılabilir vergilendirilebilir malzemeler (sıfır puan)
Customer Address,Müşteri adresi
HR-LAL-.YYYY.-,HR-LAL-.YYYY.-
Asset {0} does not belong to company {1},{0} varlığı {1} şirketine ait değil
Room Capacity,Oda kapasitesi
Please select a batch,Lütfen bir parti seçin
Select Attribute Values,Özellik Değerlerini Seçin
Signatory Position,İmza pozisyonu
Row {0}: Party Type and Party is required for Receivable / Payable account {1},{0} Satırı: {1} Alacak / Ödenecek hesap için Parti Türü ve Parti gerekli
Production,Üretim
Failed to setup post company fixtures,Şirket sonrası armatürler ayarlanamadı
Communication log.,İletişim günlüğü
Enable Deferred Expense,Ertelenen Harcama Etkinleştir
Customer Contact Email,Müşteri İletişim E-postası
Collection Details,Koleksiyon Detayları
Stock Entry Child,Stok girişi
No Quote,Alıntı yok
"Sorry, Serial Nos cannot be merged","Üzgünüz, Seri Numaralar birleştirilemez"
This is based on transactions against this Sales Person. See timeline below for details,"Bu, bu Satış Kişisine karşı yapılan işlemlere dayanmaktadır. Ayrıntılar için aşağıdaki zaman çizelgesine bakın"
Quiz,bilgi yarışması
Delivered Qty,Teslim Edilen Miktar
Minimum Order Quantity,minimum sipariş miktarı
Warn Purchase Orders,Satınalma Siparişlerini Uyarın
Role that is allowed to submit transactions that exceed credit limits set.,Belirlenen kredi limitlerini aşan işlemleri göndermesine izin verilen rol.
Activity Name,Etkinlik adı
UPC-A,UPC-A
Shopify Webhook Detail,Shopify Webhook Ayrıntısı
Variant Of,Varyantı
Target warehouse is mandatory for row {0},{0} satırı için hedef depo zorunludur
Warranty,Garanti
Guardian2 Email ID,Guardian2 E-posta Kimliği
Expense Claim Type,Gider Talebi Türü
Bank Balance,Banka hesap bakiyesi
"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.","Fiyatlandırma Kuralı, bazı kriterlere dayanarak Fiyat Listesinin üzerine yazmak / indirim yüzdesini belirlemek için yapılır."
Customer Group is Required in POS Profile,POS Profilinde Müşteri Grubu Gerekli
Applicable To (Employee),Uygulanabilir (Çalışan)
Day Book Data,Günlük Kitap Verileri
Gross Profit / Loss,Brüt Kar / Zarar
Credit Note Amount,Kredi Not Tutarı
Payment,Ödeme
Capacity Planning Error,Kapasite Planlama Hatası
Prevent POs,PO&#39;ları önle
Authorization Endpoint,Yetkilendirme Bitiş Noktası
Payment Gateway Account,Ödeme Ağ Geçidi Hesabı
BOM Variance Report,BOM Varyansı Raporu
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,Kuruluşunuzun geri kalanını kullanıcılarınız olarak ekleyin. Ayrıca Rehber’den davet ederek Müşterilerinizi portalınıza ekleyebilirsiniz.
Employee Emails,Çalışan E-postaları
Any other details,Başka detaylar
Inpatient Status,Yatan Hasta Durumu
Create Repayment Entry,Geri Ödeme Girişi Oluştur
A {0} exists between {1} and {2} (,{1} ve {2} arasında bir {0} var (
Scrap,Hurda
Clinical Procedure,Klinik İşlem
Hold Type,Tutma Türü
Process Day Book Data,İşlem Günü Defteri Verileri
Fee Validity,Ücret Geçerliliği
Create Fees,Ücret Yarat
Date Settings,Tarih Ayarları
Operation Time,Operasyon zamanı
Value After Depreciation,Amortisman Sonrası Değer
Remaining,Kalan
Lead Count,Kurşun Sayısı
The name of your company for which you are setting up this system.,Bu sistemi kurduğunuz firmanızın adı.
Out of AMC,AMC dışında
"Job profile, qualifications required etc.","İş profili, gerekli nitelikler vb."
Ship To State,Devlete Gönder
Basic Rate,Temel oranı
Work End Date,İş Bitiş Tarihi
Request for Raw Materials,Hammadde Talebi
Quality Goal.,Kalite Hedef
Show Open,Açık Göster
Attribute Name,Öznitelik Adı
Donor Type information.,Donör Tipi bilgisi.
Is Transporter,Taşıyıcı mı
Maximum Loan Amount,Maksimum Kredi Tutarı
Email not found in default contact,E-posta varsayılan kişide bulunamadı
Booked,ayrılmış
Partially Completed,Kısmen tamamlandı
Default Employee Advance Account,Varsayılan Çalışan Avans Hesabı
Allow Negative Balance,Negatif Bakiyeye İzin Ver
Assessment Plan Name,Değerlendirme Planı Adı
Default Payment Terms Template,Varsayılan Ödeme Koşulları Şablonu
Add more items or open full form,Daha fazla öğe ekleyin veya tam formu açın
Work Summary for {0},{0} İçin İş Özeti
Academic Term,Akademik Terim
Quantity and Amount,Miktar ve Miktar
Target Warehouse Name,Hedef Depo Adı
Maximum Exempted Amount,Maksimum Muaf Tutar
Sample Retention Warehouse,Örnek Tutma Deposu
Discount Percentage,İndirim Yüzdesi
Company Description,Şirket tanımı
Serial No {0} does not belong to Item {1},{0} seri numarası {1} maddesine ait değil
Scrap Warehouse,Hurda Depo
Chapter information.,Bölüm bilgisi
) for {0},) {0} için
References,Referanslar
Reserved Qty,Ayrılmış Adet
Shift Type,Vardiya türü
Delivery Stop,Teslimat Durdurma
No Result to submit,Gönderilecek Sonuç Yok
Redemption,ödeme
Transferred,aktarılan
{0} has fee validity till {1},"{0}, {1} &#39;e kadar ücret geçerliliğine sahip"
All Student Admissions,Tüm Öğrenci Kabulleri
Address of Organizer,Organizatörün Adresi
"Values of exempt, nil rated and non-GST inward supplies","Muaf, sıfır puanlı ve GST dışı ithal malların değerleri"
Maintenance Visit {0} must be cancelled before cancelling this Sales Order,Bu Satış Siparişini iptal etmeden önce Bakım Ziyareti {0} iptal edilmeli
Stock Balance,Stok dengesi
Available Qty at From Warehouse,Depodan Mevcut Miktar
Repack,yeniden paketlemek
Must be Whole Number,Tam Sayı Olmalı
Credit limit has been crossed for customer {0} ({1}/{2}),{0} müşterisi için kredi limiti aşıldı ({1} / {2})
Submitted orders can not be deleted,Gönderilen siparişler silinemez
Hello,Merhaba
Change,Değişiklik
Activity Cost exists for Employee {0} against Activity Type - {1},Etkinlik Türüne karşı {0} Çalışan için Etkinlik Maliyeti var - {1}
Request for Quotation Item,Fiyat Teklifi İsteği
{0} entered twice in Item Tax,"{0}, Öğe Vergisi&#39;ne iki kez girildi"
Deduct Full Tax on Selected Payroll Date,Seçilen Bordro Tarihinde Tam Vergiden düşme
Select change amount account,Değişiklik tutarı hesabını seçin
Forum Posts,Forum Yazıları
Expected Hrs,Beklenen Saat
Payment Plan,Ödeme planı
Earliest,en erken
Enroll Students,Öğrencileri Kaydet
Repeat Customer Revenue,Müşteri Gelirini Tekrarla
Date of Commencement,Başlama tarihi
Bank Name,Banka adı
December,Aralık
Valid from date must be less than valid upto date,Tarihten itibaren geçerli olan tarih geçerli olandan az olmalıdır
This is based on the attendance of this Employee,"Bu, bu Çalışanın katılımına dayanır."
"If checked, the Home page will be the default Item Group for the website","İşaretlenirse, Giriş sayfası web sitesi için varsayılan Öğe Grubu olacaktır."
Row Spacing UOM,Satır Aralığı UOM
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Yalnızca &#39;Onaylandı&#39; ve &#39;Reddedildi&#39; durumundaki İzin Başvuruları gönderilebilir
Import in Bulk,Toplu İçe Aktar
Terms and Conditions Content,Şartlar ve Koşullar İçerik
Purchase Order Amount(Company Currency),Satınalma Siparişi Tutarı (Şirket Para Birimi)
Hospital,Hastane
Stock Analytics,Stok Analizi
Selling rate for item {0} is lower than its {1}. Selling rate should be atleast {2},{0} kalemi için satış fiyatı {1} &#39;den düşük. Satış fiyatı en az olmalıdır {2}
Application of Funds (Assets),Fon Uygulaması (Varlıklar)
Templates of supplier standings.,Tedarikçi sıralaması şablonları.
HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
Grant,hibe
Price List Currency not selected,Fiyat Listesi Para Birimi seçilmedi
Total in words,Kelimelerin toplamı
"If enabled, the system will post accounting entries for inventory automatically.","Etkinleştirildiğinde, sistem envanter için muhasebe girişlerini otomatik olarak kaydeder."
BOM Item,Malzeme Listesi
Scheduled Date,Planlanmış tarih
Please enter Maintaince Details first,Lütfen önce Bakım Ayrıntılarını girin
Projected Quantity Formula,Öngörülen Miktar Formülü
Supplier Scorecard Scoring Standing,Tedarikçi Scorecard Scoring Standing
Row {0}: Please set the correct code on Mode of Payment {1},{0} Satırı: Lütfen {1} Ödeme Modunda doğru kodu ayarlayın
"Maximum benefit of employee {0} exceeds {1} by the sum {2} of previous claimed\
			amount","{0} çalışanının azami faydası, önceki talep edilen \ tutarın {2} toplamı kadar {1}"
Employee status cannot be set to 'Left' as following employees are currently reporting to this employee:&nbsp;,Aşağıdaki statüdeki çalışanlar şu anda bu çalışana rapor verdikleri için çalışan statüsü &#39;Sol&#39; olarak ayarlanamaz:
Source Warehouse,Kaynak Depo
Add Users,Kullanıcı ekle
Payment Tems,Ödeme yöntemleri
All Sales Partner Contact,Tüm Satış Ortağı İletişim
Total(Amt),Toplam (AMT)
Payment Description,Ödeme Açıklaması
ZIP Code,Posta kodu
Accumulated Values,Birikmiş Değerler
Intervals,Aralıklar
Training Events,Eğitim Etkinlikleri
Quantity and Description,Miktar ve Açıklama
Payment Type,Ödeme türü
The folio numbers are not matching,Folio sayıları eşleşmiyor
ACC-CF-.YYYY.-,ACC-CF-.YYYY.-
Quality Inspection: {0} is not submitted for the item: {1} in row {2},"Kalite Denetimi: {0}, {2} satırındaki {1} öğesi için gönderilmez"
{0} item found.,{0} öğe bulundu.
Stock Ageing,Stok yaşlanma
Mention if non-standard receivable account applicable,Standart olmayan alacak hesabı geçerliyse bahsedin
Subcontracted Item To Be Received,Alınacak Taşeron Madde
Synced With Hub,Hub ile Senkronize Edildi
To date can not be less than from date,Bugüne kadarki tarihten daha az olamaz
Work Address,İş adresi
Total completed qty can not be greater than for quantity,Tamamlanan toplam adet miktardan büyük olamaz
POS Item Group,POS Ürün Grubu
Company Description for website homepage,Web sitesi anasayfa için şirket Açıklaması
Delivery Note Trends,Teslimat Notu Trendleri
"Stopped Production Order cannot be cancelled, Unstop it first to cancel","Durdurulan Üretim Emri iptal edilemez, ilk önce iptal etmek için Durdur"
Current State,Şu anki durum
Open Item {0},{0} Öğesini Aç
Batch-Wise Balance History,Toplu-Bilge Bakiyesi Geçmişi
Percentage Allocation,Yüzde Tahsisi
One Sided,Tek Taraflı
Relation with Guardian2,Guardian2 ile İlişki
Disposal Date,Bertaraf Tarihi
Opportunity Type,Fırsat Türü
Cash Flow Mapping Template,Nakit Akışı Haritalama Şablonu
Depreciation Options,Amortisman Seçenekleri
Admission Start Date,Giriş Başlangıç Tarihi
Update BOM Cost Automatically,Malzeme Listesini Otomatik Olarak Güncelle
Subscription Settings,Abonelik ayarları
CGST Amount,CGST Tutarı
Seller ID,Satıcı kimliği
'To Case No.' cannot be less than 'From Case No.',&#39;Dava No.&#39; &#39;Durum No.&#39;dan&#39; az olamaz
EDU-FSH-.YYYY.-,EDU-FSH .YYYY.-
"Merging is only possible if following properties are same in both records. Is Group, Root Type, Company","Birleştirme ancak aşağıdaki özellikler her iki kayıtta da aynıysa mümkündür. İş Grubu, Kök Türü, Şirket"
SMS Log,SMS Günlüğü
Please specify either Quantity or Valuation Rate or both,Lütfen Miktar veya Değerleme Oranını veya her ikisini de belirtin
Amount based on formula,Formüle göre tutar
Transfer Qty,Miktarı Aktar
Cost Centers,Maliyet Merkezleri
Batch is mandatory in row {0},Parti {0} satırında zorunludur
Error in formula or condition: {0},Formül veya koşul hatası: {0}
"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Öğe oranına {0} satırındaki vergiyi dahil etmek için, {1} satırlarındaki vergiler de dahil edilmelidir"
Trial Balance (Simple),Deneme Dengesi (Basit)
Customer Contact,Müşteri iletişim
Registered,Kayıtlı
Gross Purchase Amount is mandatory,Brüt Satın Alma Tutarı zorunludur
Components,Bileşenler
Promotional Scheme,Promosyon Şeması
Row #{0}: Account {1} does not belong to company {2},Satır # {0}: {1} hesabı {2} şirketine ait değil
Against Doctype,Doktipine Karşı
Total flexible benefit component amount {0} should not be less than max benefits {1},"Toplam esnek fayda bileşeni {0} tutarı, maksimum avantajlardan {1} daha az olmamalıdır"
From GSTIN,GSTIN&#39;den
Return Against Sales Invoice,Satış Faturasına Karşı İade
Rename Attribute Value in Item Attribute.,Öğe Özniteliğinde Öznitelik Değerini Yeniden Adlandırın.
Queued for updating latest price in all Bill of Materials. It may take a few minutes.,Tüm Malzeme Listesinde en son fiyatı güncellemek için sıraya alındı. Birkaç dakika sürebilir.
Please select a warehouse,Lütfen bir depo seçiniz
Weight UOM,Ağırlık UOM
Accounts Payable Summary,Borç Hesapları Özeti
{0} against Sales Order {1},{0} Satış Siparişine karşı {1}
Payroll Employee Detail,Bordro Çalışan Detayı
Admission and Enrollment,Kabul ve Kayıt
Budget Amount,Bütçe tutarı
Account {0} does not match with Company {1} in Mode of Account: {2},"{0} hesabı, Hesap Modu&#39;ndaki {1} Şirketi ile eşleşmiyor: {2}"
Please enter Receipt Document,Lütfen Makbuz Belgesini Giriniz
Change the starting / current sequence number of an existing series.,Mevcut bir dizinin başlangıç / geçerli sıra numarasını değiştirin.
Employee Lifecycle,Çalışan Yaşam Döngüsü
For Quantity must be less than quantity {0},"Çünkü Miktar, miktardan az olmalıdır {0}"
Assessment Plan,Değerlendirme Planı
Warranty Claim,Garanti talebi
Date of Incorporation,Kuruluş tarihi
Double Declining Balance,Çift Düşen Denge
Validate Attendance,Seyirci onayla
LP-,LP-
POS Customer Group,POS Müşteri Grubu
Qty to Deliver,Teslim Edilecek Adet
Fiscal Year {0} is required,Mali Yıl {0} gerekli
Employee Records to be created by,Tarafından Oluşturulacak Çalışan Kayıtları
Depreciation Amount,Amortisman Tutarı
Gross Profit,Brüt kar
Item Serial No,Ürün Seri No
Insurer,sigortacı
Buying Amount,Alış Tutarı
Certificate Required,Sertifika gerekli
Retention Bonus,Tutma Bonusu
Asset Naming Series,Varlık Adlandırma Serisi
Laboratory Settings,Laboratuvar ayarları
Amount of Integrated Tax,Entegre Vergi Miktarı
Branch,şube
Required Date,İstenen tarih
Returns,İade
Negotiation/Review,Müzakere / İnceleme
