Pension Funds,Pensioenfonds
Variant creation has been queued.,Variantskepping is in die ry.
"An amount of {0} already claimed for the component {1},\
						 set the amount equal or greater than {2}","&#39;N Bedrag van {0} wat reeds vir die komponent {1} geëis word, stel die bedrag gelyk of groter as {2}"
Odometer,odometer
Transaction currency must be same as Payment Gateway currency,Transaksie geldeenheid moet dieselfde wees as die betaling gateway valuta
"For an item {0}, quantity must be negative number",Vir &#39;n item {0} moet die hoeveelheid negatief wees
Payroll Date,Betaaldatum
Mode of payment is required to make a payment,Betaalmetode is nodig om betaling te maak
Materials,materiaal
Against Sales Order,Teen verkoopsbestelling
PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
Against Sales Order Item,Teen Verkooporder Item
Goals,Doelwitte
ERPNext User,ERPNext gebruiker
Available Leaves,Beskikbare blare
Root Account must be a group,Wortelrekening moet &#39;n groep wees
Email Reminders will be sent to all parties with email contacts,E-pos herinnerings sal gestuur word aan alle partye met e-pos kontakte
Select Type...,Kies Tipe ...
Workstation Working Hour,Werkstasie Werksuur
Analytics,Analytics
Maintenance Role,Onderhoudsrol
Terms and Conditions Template,Terme en Voorwaardes Sjabloon
Fee Schedule Program,Fooi skedule Program
Course {0} does not exist.,Kursus {0} bestaan nie.
Make Timesheet,Maak tydrooster
Production Plan Item,Produksieplan Item
Total Student,Totale Student
From Package No.,Van pakketnr.
Shipping Address,Posadres
Clutch Plate,Koppelplaat
Row #{0}: Asset {1} does not linked to Item {2},Ry # {0}: Bate {1} word nie gekoppel aan Item {2}
Stock Entry {0} created,Voorraadinskrywing {0} geskep
Purchase Order Date,Aankoopdatum
Company currencies of both the companies should match for Inter Company Transactions.,Maatskappy-geldeenhede van albei die maatskappye moet ooreenstem met Inter Company Transactions.
Shortage Qty,Tekort
Marked Attendance,Gemerkte Bywoning
System will notify to increase or decrease quantity or amount ,Stelsel sal in kennis stel om die hoeveelheid of hoeveelheid te verhoog of te verminder
Cosmetics,skoonheidsmiddels
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,Kontroleer dit as u die gebruiker wil dwing om &#39;n reeks te kies voordat u dit stoor. Daar sal geen standaard wees as u dit kontroleer nie.
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,Gebruikers met hierdie rol word toegelaat om gevriesde rekeninge in te stel en rekeningkundige inskrywings teen bevrore rekeninge te skep / te verander
Total Claimed Amount,Totale eisbedrag
Unable to find Time Slot in the next {0} days for Operation {1},Kan nie tydgleuf in die volgende {0} dae vir operasie {1} vind nie
Wrapping up,Klaar maak
You can only renew if your membership expires within 30 days,U kan net hernu indien u lidmaatskap binne 30 dae verstryk
Value must be between {0} and {1},Waarde moet tussen {0} en {1} wees.
Sales Partner Transaction Summary,Verkope Vennoot Transaksie Opsomming
Maintenance Manager Name,Onderhoud Bestuurder Naam
It is needed to fetch Item Details.,Dit is nodig om Itembesonderhede te gaan haal.
This is based on stock movement. See {0} for details,Dit is gebaseer op voorraadbeweging. Sien {0} vir besonderhede
Appointment,Afspraak
Please enter {0} first,Voer asseblief eers {0} in
BOM #{0}: Raw material cannot be same as main Item,BOM # {0}: Grondstowwe kan nie dieselfde wees as hoofitem nie
Following accounts might be selected in GST Settings:,Volgende rekeninge kan gekies word in GST-instellings:
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,U kan enige geldige Bootstrap 4-opmerkings in hierdie veld gebruik. Dit sal op jou Item Bladsy gewys word.
Incoming Rate,Inkomende koers
POS-CLO-,POS-CLO-
Accounts Receivable Discounted Account,Rekeninge Ontvangbare Afslagrekening
Tally Debtors Account,Tally Debiteurrekening
Has any past Grant Record,Het enige vorige Grant-rekord
Amount in Custody,Bedrag in bewaring
Interval,interval
Parent Warehouse,Ouer Warehouse
Auto Material Requests Generated,Outomatiese Materiaal Versoeke Genereer
Row {0}: Quality Inspection rejected for item {1},Ry {0}: Kwaliteitsinspeksie verwerp vir item {1}
Additional Details,Bykomende besonderhede
Sales Partner Type,Verkope vennote tipe
"Select BOM, Qty and For Warehouse","Kies BOM, hoeveelheid en vir pakhuis"
Maintenance Type,Onderhoudstipe
Use this field to render any custom HTML in the section.,Gebruik hierdie veld om enige persoonlike HTML in die afdeling te gee.
"Appointment cancelled, Please review and cancel the invoice {0}","Aanstelling gekanselleer, hersien en kanselleer die faktuur {0}"
Time Sheet List,Tydskriflys
{0} against Bill {1} dated {2},{0} teen rekening {1} gedateer {2}
For Company,Vir Maatskappy
Linked Soil Analysis,Gekoppelde grondanalise
Day to Send,Dag om te stuur
Is Tax Applicable,Is Belasting van toepassing
Purchase Order number required for Item {0},Aankoopordernommer benodig vir item {0}
Tax Rates,Belastingkoerse
Help Results for,Help resultate vir
Student Admission,Studente Toelating
Skill,vaardigheid
Budget Account,Begrotingsrekening
Create New Employee Id,Skep nuwe werknemer-ID
Goods and Services Tax (GST India),Goedere en Dienste Belasting (GST Indië)
Creating Salary Slips...,Skep Salarisstrokies ...
Employee Skill,Werknemersvaardigheid
Apply Rule On Item Code,Pas reël op itemkode toe
'Update Stock' can not be checked because items are not delivered via {0},&#39;Op Voorraad Voorraad&#39; kan nie nagegaan word nie omdat items nie afgelewer word via {0}
Stock Entry,Voorraadinskrywing
House rent paid days overlapping with {0},Huis huur betaalde dae oorvleuel met {0}
Current Address Is,Huidige adres is
Analyst,ontleder
No records found in the Payment table,Geen rekords gevind in die betalingstabel nie
Sales Orders to Deliver,Verkoopsbestellings om te lewer
Units of Measure,Eenhede van maatreël
Block Days,Blokdae
Quantity must not be more than {0},Hoeveelheid moet nie meer wees as {0}
Add Items,Voeg items by
Taxes and Charges Added (Company Currency),Belasting en heffings bygevoeg (Maatskappy-geldeenheid)
Currency Exchange Settings,Geldruilinstellings
From Amount,Van Bedrag
Warehouse is mandatory,Pakhuis is verpligtend
Add Students,Voeg studente by
Account Paid From,Rekening betaal vanaf
Marked Attendance HTML,Gemerkte Bywoning HTML
Item {0} has been disabled,Item {0} is gedeaktiveer
Amount In Figure,Bedrag In Figuur
Cannot produce more Item {0} than Sales Order quantity {1},Kan nie meer Item {0} produseer as verkoopsvolume {1}
Return,terugkeer
The selected item cannot have Batch,Die gekose item kan nie Batch hê nie
Print IRS 1099 Forms,Druk IRS 1099 Vorms
'Update Stock' cannot be checked for fixed asset sale,&#39;Update Stock&#39; kan nie gekontroleer word vir vaste bateverkope nie
Depreciation Schedule,Waardeverminderingskedule
Shipping rule not applicable for country {0},Versending reël nie van toepassing op land {0}
Time at which materials were received,Tyd waarteen materiaal ontvang is
Billing Country,Billing Country
Sales Order,Verkoopsbestelling
Value missing,Waarde ontbreek
Stores,winkels
New Balance In Base Currency,Nuwe saldo in basiese geldeenheid
Price List,Pryslys
Invalid {0}: {1},Ongeldige {0}: {1}
Article,Artikel
The name of the institute for which you are setting up this system.,Die naam van die instituut waarvoor u hierdie stelsel opstel.
A Product,&#39;N produk
Crop Name,Gewas Naam
'From Date' is required,&#39;Vanaf datum&#39; word vereis
Please select a BOM,Kies asseblief &#39;n BOM
Travel Itinerary,Reisplan
Birthday Reminder,Verjaardag Herinnering
Pair,Paar
Item Price added for {0} in Price List {1},Itemprys bygevoeg vir {0} in Pryslys {1}
Validate Applied Rule,Bevestig Toegepaste Reël
Job Card Item,Poskaart Item
Company Tagline for website homepage,Maatskappynaam vir webwerf tuisblad
Round Off Cost Center,Rondom Koste Sentrum
Criteria Weight,Kriteria Gewig
Depreciation Schedules,Waardeverminderingskedules
Claim Amount,Eisbedrag
Discounts,afslag
Shipping Rule Conditions,Posbusvoorwaardes
Cancelation Date,Kansellasie Datum
Party Bank Account,Party Bankrekening
New Cost Center Name,Nuwe koste sentrum naam
Max Amount,Maksimum bedrag
After payment completion redirect user to selected page.,Na betaling voltooiing herlei gebruiker na geselekteerde bladsy.
Total Loan Repayment,Totale Lening Terugbetaling
To Fiscal Year,Na fiskale jaar
Return Against Delivery Note,Keer terug na afleweringsnota
"Edit in full page for more options like assets, serial nos, batches etc.","Wysig in volle bladsy vir meer opsies soos bates, reeksnommers, bondels ens."
Allocate Payment Amount,Ken die betaling bedrag toe
Row # {0}: Returned Item {1} does not exists in {2} {3},Ry # {0}: Gekeurde item {1} bestaan nie in {2} {3}
Enrolling students,Studente inskryf
Allow user to edit Price List Rate in transactions,Laat gebruiker toe om Pryslyskoers te wysig in transaksies
Please select the document type first,Kies asseblief eers die dokumenttipe
Hotel Room Reservation,Hotel Kamer Bespreking
Researcher,navorser
{0} {1} is frozen,{0} {1} is gevries
Item Code cannot be changed for Serial No.,Item Kode kan nie vir Serienommer verander word nie.
Total Taxes and Charges (Company Currency),Totale Belasting en Heffings (Maatskappy Geld)
Tax Rule Conflicts with {0},Belastingreël strydig met {0}
Year End Date,Jaarindeinde
Create Leads,Skep Leads
Show zero values,Toon zero waardes
Employee Onboarding,Werknemer aan boord
Period End Date,Periode Einddatum
Sales Opportunities by Source,Verkoopsgeleenthede deur Bron
The first Leave Approver in the list will be set as the default Leave Approver.,Die eerste verlof goedkeur in die lys sal as die verstek verlof aanvaar word.
POS Settings,Posinstellings
All Accounts,Alle rekeninge
Hotel Manager,Hotel Bestuurder
With Items,Met Items
Is Advance,Is vooruit
Membership Status,Lidmaatskapstatus
Sales campaigns.,Verkoopsveldtogte.
Default BOM not found for Item {0} and Project {1},Verstek BOM nie gevind vir Item {0} en Projek {1}
Encashment Threshold Days,Encashment Drempel Dae
Items Filter,Items Filter
{0} is on hold till {1},{0} is aan die houer totdat {1}
Invoice Separately as Consumables,Faktuur Afsonderlik as Verbruiksgoedere
Days Until Due,Dae Tot Dinsdag
Show Completed,Wys Voltooi
Bank Statement Transaction Entry Report,Bankstaat Transaksie Inskrywingsverslag
Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,Ry # {0}: Die tarief moet dieselfde wees as {1}: {2} ({3} / {4})
HLC-CPR-.YYYY.-,HLC-KPR-.YYYY.-
Healthcare Service Items,Gesondheidsorg Diens Items
No records found,Geen rekords gevind
Ageing Range 3,Veroudering Range 3
Blood Pressure,Bloeddruk
Target On,Teiken
All Healthcare Service Units,Alle Gesondheidsorg Diens Eenhede
Mandatory field - Program,Verpligte veld - Program
Timer,timer
Set {0} in asset category {1} or company {2},Stel {0} in batekategorie {1} of maatskappy {2}
Bank Header,Bankkop
Not eligible for the admission in this program as per DOB,Nie in aanmerking vir toelating tot hierdie program soos per DOB nie
Assessment Criteria Group,Assesseringskriteria Groep
Is Correct,Dit is korrek
user@example.com,user@example.com
Parent Department,Ouer Departement
Employee Internal Work History,Werknemer Interne Werkgeskiedenis
Warn POs,Waarsku POs
Offer Date,Aanbod Datum
Product Bundle Help,Produk Bundel Help
Stock Reconciliation,Voorraadversoening
Accounting Entry for Stock,Rekeningkundige Inskrywing vir Voorraad
"Appointment overlaps with {0}.<br> {1} has appointment scheduled
			with {2} at {3} having {4} minute(s) duration.",Aanstelling oorvleuel met {0}. <br> {1} het afspraak geskeduleer met {2} by {3} met {4} minuut (s) duur.
Warehouses with child nodes cannot be converted to ledger,Pakhuise met kinderknope kan nie na grootboek omskep word nie
Projects Manager,Projekbestuurder
End time cannot be before start time,Eindtyd kan nie voor aanvangstyd wees nie
UOM Name,UOM Naam
BMI,BMI
Hours,Ure
Amount {0} {1} {2} {3},Bedrag {0} {1} {2} {3}
Supplier Ledger Summary,Verskaffer Grootboek Opsomming
Student Email ID,Student e-pos ID
GoCardless SEPA Mandate,GoCardless SEPA Mandaat
IBAN,IBAN
No of People,Aantal mense
From Date and To Date lie in different Fiscal Year,Van datum tot datum lê in verskillende fiskale jaar
The Patient {0} do not have customer refrence to invoice,Die pasiënt {0} het nie kliëntreferensie om te faktureer nie
Syntax error in condition: {0},Sintaksfout in toestand: {0}
Transaction ID,Transaksie ID
Please enter message before sending,Vul asseblief die boodskap in voordat u dit stuur
Ref Date,Ref Date
Note: This Cost Center is a Group. Cannot make accounting entries against groups.,Let wel: Hierdie kostepunt is &#39;n groep. Kan nie rekeningkundige inskrywings teen groepe maak nie.
Soil Analysis Criterias,Grondanalisiekriteria
Packing Slip(s) cancelled,Verpakkingstrokie (s) gekanselleer
Existing Company,Bestaande Maatskappy
Batches,groepe
Defense,verdediging
Has Batch No,Het lotnommer
Person Name,Persoon Naam
Item Variant,Item Variant
Invited,genooi
Maximum amount eligible for the component {0} exceeds {1},"Maksimum bedrag wat in aanmerking kom vir die komponent {0}, oorskry {1}"
Amount to Bill,Bedrag aan Bill
"For {0}, only debit accounts can be linked against another credit entry",Vir {0} kan slegs debietrekeninge gekoppel word teen &#39;n ander kredietinskrywing
Payable Account,Betaalbare rekening
Please mention no of visits required,Noem asseblief geen besoeke nodig nie
Only select if you have setup Cash Flow Mapper documents,Kies slegs as u instellings vir kontantvloeimappers opstel
{0} is a company holiday,{0} is &#39;n vakansiedag
Items with higher weightage will be shown higher,Items met &#39;n hoër gewig sal hoër vertoon word
Project will be accessible on the website to these users,Projek sal op hierdie webwerf toeganklik wees vir hierdie gebruikers
Attribute table is mandatory,Eienskapstabel is verpligtend
Total Working Hours,Totale werksure
Planting UOM,Plant UOM
O Negative,O Negatief
To Receive and Bill,Om te ontvang en rekening
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.","Begin en einddatum nie in &#39;n geldige betaalstaat nie, kan nie {0} bereken nie."
Only show Customer of these Customer Groups,Wys slegs die kliënt van hierdie kliëntegroepe
Select items to save the invoice,Kies items om die faktuur te stoor
Resolution Time,Resolusie Tyd
Grade Description,Graad Beskrywing
Cards,kaarte
Linked Plant Analysis,Gekoppelde Plant Analise
Service Stop Date cannot be after Service End Date,Diensstopdatum kan nie na diens einddatum wees nie
Please set B2C Limit in GST Settings.,Stel asseblief B2C Limit in GST instellings.
Member Name,Lid Naam
Payable,betaalbaar
For Quantity,Vir Hoeveelheid
For reference,Vir verwysing
Add to Cart,Voeg by die winkelwagen
Global Defaults,Globale verstek
Follow via Email,Volg via e-pos
Total Leaves Allocated,Totale blare toegeken
