DocType: Accounting Period,Period Name,Periodo pavadinimas
DocType: Item Variant,Item Variant,Prekė variantas
DocType: Employee Skill Map,Trainings,Mokymai
,Work Order Stock Report,Darbų užsakymų atsargų ataskaita
DocType: Purchase Receipt,Auto Repeat Detail,Automatinis kartojimo detalės
DocType: Assessment Result Tool,Assessment Result Tool,Vertinimo rezultatas įrankis
apps/erpnext/erpnext/education/doctype/instructor/instructor.js,As Supervisor,Kaip vadovas
DocType: Leave Policy Detail,Leave Policy Detail,Išsaugokite išsamią informaciją apie politiką
DocType: BOM Scrap Item,BOM Scrap Item,BOM laužas punktas
apps/erpnext/erpnext/accounts/page/pos/pos.js,Submitted orders can not be deleted,Pateikė užsakymai negali būti ištrintas
DocType: Leave Control Panel,Department (optional),Katedra (neprivaloma)
apps/erpnext/erpnext/accounts/doctype/account/account.py,"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Sąskaitos likutis jau debeto, jums neleidžiama nustatyti &quot;Balansas turi būti&quot; kaip &quot;Kreditas&quot;"
apps/erpnext/erpnext/accounts/doctype/pricing_rule/utils.py,"If you {0} {1} worth item <b>{2}</b>, the scheme <b>{3}</b> will be applied on the item.
				","Jei {0} {1} vertas daiktas <b>{2}</b> , elementui bus taikoma <b>{3}</b> schema."
DocType: Customer Feedback,Quality Management,kokybės valdymas
apps/erpnext/erpnext/assets/doctype/asset/asset.py,Item {0} has been disabled,Prekė {0} buvo išjungta
DocType: Project,Total Billable Amount (via Timesheets),Visa apmokestinamoji suma (per laiko lapus)
DocType: Agriculture Task,Previous Business Day,Ankstesne darbo diena
DocType: Loan,Repay Fixed Amount per Period,Grąžinti fiksuotas dydis vienam laikotarpis
DocType: Employee,Health Insurance No,Sveikatos draudimas Nr
DocType: Employee Tax Exemption Proof Submission,Tax Exemption Proofs,Mokesčių atleidimo įrodymai
apps/erpnext/erpnext/buying/utils.py,Please enter quantity for Item {0},Prašome įvesti kiekį punkte {0}
DocType: Quality Procedure,Processes,Procesai
DocType: Shift Type,First Check-in and Last Check-out,Pirmasis įsiregistravimas ir paskutinis išsiregistravimas
apps/erpnext/erpnext/regional/report/hsn_wise_summary_of_outward_supplies/hsn_wise_summary_of_outward_supplies.py,Total Taxable Amount,Visa apmokestinamoji suma
DocType: Employee External Work History,Employee External Work History,Darbuotojų Išorinis Darbo istorija
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Job card {0} created,Darbo kortelė {0} sukurta
DocType: Opening Invoice Creation Tool,Purchase,pirkti
apps/erpnext/erpnext/stock/report/batch_wise_balance_history/batch_wise_balance_history.py,Balance Qty,Balansas Kiekis
DocType: Pricing Rule,Conditions will be applied on all the selected items combined. ,Sąlygos bus taikomos visiems pasirinktiems elementams kartu.
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.py,Goals cannot be empty,Tikslai negali būti tuščias
apps/erpnext/erpnext/education/doctype/program_enrollment_tool/program_enrollment_tool.js,Enrolling students,Įrašyti studentus
DocType: Item Group,Parent Item Group,Tėvų punktas grupė
DocType: Appointment Type,Appointment Type,Paskyrimo tipas
apps/erpnext/erpnext/projects/doctype/activity_cost/activity_cost.py,{0} for {1},{0} už {1}
DocType: Healthcare Settings,Valid number of days,Tinkamas dienų skaičius
apps/erpnext/erpnext/setup/doctype/company/company.js,Cost Centers,sąnaudų centrams
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.js,Restart Subscription,Iš naujo prenumeruoti
DocType: Linked Plant Analysis,Linked Plant Analysis,Susijusi augalų analizė
apps/erpnext/erpnext/regional/report/eway_bill/eway_bill.py,Transporter ID,Transporterio ID
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Value Proposition,Vertės pasiūlymas
DocType: Purchase Receipt,Rate at which supplier's currency is converted to company's base currency,"Norma, pagal kurią tiekėjas valiuta yra konvertuojamos į įmonės bazine valiuta"
DocType: Purchase Invoice Item,Service End Date,Paslaugos pabaigos data
apps/erpnext/erpnext/manufacturing/doctype/workstation/workstation.py,Row #{0}: Timings conflicts with row {1},Eilutės # {0}: laikus prieštarauja eilės {1}
DocType: Purchase Invoice Item,Allow Zero Valuation Rate,Leiskite Zero Vertinimo Balsuok
DocType: Purchase Invoice Item,Allow Zero Valuation Rate,Leiskite Zero Vertinimo Balsuok
DocType: Bank Guarantee,Receiving,Priėmimas
DocType: Training Event Employee,Invited,kviečiami
apps/erpnext/erpnext/config/accounting.py,Setup Gateway accounts.,Parametrų Gateway sąskaitos.
apps/erpnext/erpnext/config/integrations.py,Connect your bank accounts to ERPNext,Prijunkite savo banko sąskaitas prie „ERPNext“
DocType: Employee,Employment Type,Užimtumas tipas
apps/erpnext/erpnext/config/projects.py,Make project from a template.,Padarykite projektą iš šablono.
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Fixed Assets,Ilgalaikis turtas
DocType: Payment Entry,Set Exchange Gain / Loss,Nustatyti keitimo pelnas / nuostolis
,GST Purchase Register,"Paaiškėjo, kad GST Pirkimo Registruotis"
,Cash Flow,Pinigų srautas
DocType: Shareholder,ACC-SH-.YYYY.-,ACC-SH-.YYYY.-
apps/erpnext/erpnext/accounts/doctype/payment_terms_template/payment_terms_template.py,Combined invoice portion must equal 100%,Kombinuota sąskaitos faktūros dalis turi būti lygi 100%
DocType: Item Default,Default Expense Account,Numatytasis išlaidų sąskaita
DocType: GST Account,CGST Account,CGST sąskaita
apps/erpnext/erpnext/education/report/student_and_guardian_contact_details/student_and_guardian_contact_details.py,Student Email ID,Studentų E-mail ID
DocType: Employee,Notice (days),Pranešimas (dienų)
DocType: POS Closing Voucher Invoices,POS Closing Voucher Invoices,POS uždarymo balso sąskaitos faktūros
DocType: Tax Rule,Sales Tax Template,Pardavimo mokestis Šablono
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.js,Download JSON,Atsisiųskite JSON
DocType: Employee Benefit Application Detail,Pay Against Benefit Claim,Mokėti nuo išmokų reikalavimo
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Update Cost Center Number,Atnaujinti mokesčio centro numerį
apps/erpnext/erpnext/accounts/page/pos/pos.js,Select items to save the invoice,Pasirinkite elementus išsaugoti sąskaitą faktūrą
DocType: Employee,Encashment Date,išgryninimo data
DocType: Training Event,Internet,internetas
apps/erpnext/erpnext/public/js/hub/pages/Item.vue,Seller Information,Informacija apie pardavėją
DocType: Special Test Template,Special Test Template,Specialusis bandomasis šablonas
DocType: Account,Stock Adjustment,vertybinių popierių reguliavimas
apps/erpnext/erpnext/projects/doctype/activity_cost/activity_cost.py,Default Activity Cost exists for Activity Type - {0},Numatytasis Veiklos sąnaudos egzistuoja veiklos rūšis - {0}
DocType: Work Order,Planned Operating Cost,Planuojamas eksploatavimo išlaidos
DocType: Academic Term,Term Start Date,Kadencijos pradžios data
apps/erpnext/erpnext/erpnext_integrations/doctype/plaid_settings/plaid_connector.py,Authentication Failed,Autentifikacija nepavyko
apps/erpnext/erpnext/config/accounting.py,List of all share transactions,Visų akcijų sandorių sąrašas
DocType: Supplier,Is Transporter,Yra vežėjas
DocType: Shopify Settings,Import Sales Invoice from Shopify if Payment is marked,"&quot;Shopify&quot; importo pardavimo sąskaita, jei pažymėtas &quot;Payment&quot;"
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Opp Count,opp Grafas
apps/erpnext/erpnext/crm/report/campaign_efficiency/campaign_efficiency.py,Opp Count,opp Grafas
apps/erpnext/erpnext/accounts/doctype/subscription/subscription.py,Both Trial Period Start Date and Trial Period End Date must be set,"Turi būti nustatyta tiek bandomojo laikotarpio pradžios data, tiek bandomojo laikotarpio pabaigos data"
apps/erpnext/erpnext/accounts/report/share_balance/share_balance.py,Average Rate,Vidutinė norma
apps/erpnext/erpnext/controllers/accounts_controller.py,Total Payment Amount in Payment Schedule must be equal to Grand / Rounded Total,Bendra mokėjimo suma mokėjimo grafike turi būti lygi Grand / Rounded Total
apps/erpnext/erpnext/stock/doctype/item/item.py,"""Customer Provided Item"" cannot have Valuation Rate","""Užsakovo pateikiamas gaminys"" ne gali turėti vertinimo normos"
DocType: Subscription Plan Detail,Plan,Suplanuoti
apps/erpnext/erpnext/accounts/report/bank_reconciliation_statement/bank_reconciliation_statement.py,Bank Statement balance as per General Ledger,Banko pažyma likutis vienam General Ledger
DocType: Job Applicant,Applicant Name,Vardas pareiškėjas
DocType: Authorization Rule,Customer / Item Name,Klientas / Prekės pavadinimas
DocType: Product Bundle,"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. 

The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".

For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.

Note: BOM = Bill of Materials","Kompleksinė grupė ** daiktai ** į kitą ** punkte **. Tai yra naudinga, jei jūs susiejimas tam tikrą ** daiktai ** į pakuotę ir jums išlaikyti atsargas supakuotų ** daiktai **, o ne agregatas ** Elementą **. Paketas ** Prekės ** turės &quot;Ar riedmenys&quot;, kaip &quot;Ne&quot; ir &quot;Ar Pardavimų punktas&quot; kaip &quot;Taip&quot;. Pavyzdžiui: jeigu jūs parduodate Nešiojamieji kompiuteriai ir kuprinės atskirai ir turi ypatingą kainą, jei klientas perka tiek, tada Laptop + kuprinė bus naujas produktas Rinkinys punktas. Pastaba: BOM = Bill of Materials"
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Serial No is mandatory for Item {0},Serijos Nr privaloma punkte {0}
DocType: Website Attribute,Attribute,atributas
DocType: Staffing Plan Detail,Current Count,Dabartinis skaičius
apps/erpnext/erpnext/stock/doctype/item_attribute/item_attribute.py,Please specify from/to range,Prašome nurodyti nuo / iki svyruoja
apps/erpnext/erpnext/accounts/doctype/opening_invoice_creation_tool/opening_invoice_creation_tool.js,Opening {0} Invoice created,Atidaryta {0} sukurta sąskaita
DocType: Serial No,Under AMC,pagal AMC
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Item valuation rate is recalculated considering landed cost voucher amount,Prekė vertinimas norma perskaičiuojama atsižvelgiant iškrauti išlaidų kvito sumą
apps/erpnext/erpnext/config/selling.py,Default settings for selling transactions.,Numatytieji nustatymai pardavimo sandorius.
DocType: Guardian,Guardian Of ,sergėtojos
DocType: Grading Scale Interval,Threshold,Slenkstis
apps/erpnext/erpnext/hr/doctype/salary_structure/salary_structure.js,Filter Employees By (Optional),Filtruoti darbuotojus pagal (neprivaloma)
DocType: BOM Update Tool,Current BOM,Dabartinis BOM
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Balance (Dr - Cr),Balansas (dr - cr)
DocType: Pick List,Qty of Finished Goods Item,Gatavos prekės kiekis
apps/erpnext/erpnext/public/js/utils.js,Add Serial No,Pridėti Serijos Nr
DocType: Work Order Item,Available Qty at Source Warehouse,Turimas Kiekis prie šaltinio Warehouse
apps/erpnext/erpnext/config/support.py,Warranty,garantija
DocType: Purchase Invoice,Debit Note Issued,Debeto Pastaba Išduotas
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py,Filter based on Cost Center is only applicable if Budget Against is selected as Cost Center,"Filtras, pagrįstas &quot;Mokesčių centru&quot;, taikomas tik tuo atveju, jei &quot;Biudžetas prieš&quot; yra pasirinktas kaip Mokesčių centras"
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,"Search by item code, serial number, batch no or barcode","Ieškoti pagal prekės kodą, serijos numerį, serijos numerį ar brūkšninį kodą"
DocType: Work Order,Warehouses,Sandėliai
DocType: Shift Type,Last Sync of Checkin,Paskutinis „Checkin“ sinchronizavimas
apps/erpnext/erpnext/templates/includes/cart/cart_address.html,Add a new address,Pridėkite naują adresą
apps/erpnext/erpnext/assets/doctype/asset_movement/asset_movement.py,{0} asset cannot be transferred,{0} turtas negali būti perduotas
DocType: Hotel Room Pricing,Hotel Room Pricing,Viešbučių kainų nustatymas
apps/erpnext/erpnext/healthcare/doctype/inpatient_record/inpatient_record.py,"Can not mark Inpatient Record Discharged, there are Unbilled Invoices {0}","Negalima pažymėti Stacionaraus įrašo iškrauti, yra neapmokėtų sąskaitų faktūrų {0}"
DocType: Subscription,Days Until Due,Dienos iki pratęsimo
apps/erpnext/erpnext/stock/doctype/item/item.js,This Item is a Variant of {0} (Template).,Šis elementas yra {0} (šablonų) variantas.
DocType: Workstation,per hour,per valandą
DocType: Blanket Order,Purchasing,Pirkimas
DocType: Announcement,Announcement,skelbimas
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.py,Customer LPO,Kliento LPO
DocType: Education Settings,"For Batch based Student Group, the Student Batch will be validated for every Student from the Program Enrollment.","UŽ SERIJŲ remiantis studentų grupę, studentas Serija bus patvirtintas kiekvienas studentas iš programos registraciją."
apps/erpnext/erpnext/stock/doctype/warehouse/warehouse.py,Warehouse can not be deleted as stock ledger entry exists for this warehouse.,"Sandėlių negali būti išbrauktas, nes egzistuoja akcijų knygos įrašas šiame sandėlyje."
apps/erpnext/erpnext/public/js/setup_wizard.js,Distribution,pasiskirstymas
apps/erpnext/erpnext/hr/doctype/employee/employee.py,Employee status cannot be set to 'Left' as following employees are currently reporting to this employee:&nbsp;,"Darbuotojo statuso negalima nustatyti į „kairę“, nes šiam darbuotojui šiuo metu atsiskaito šie darbuotojai:"
DocType: Journal Entry Account,Loan,Paskola
DocType: Expense Claim Advance,Expense Claim Advance,Išankstinio išlaidų reikalavimas
DocType: Lab Test,Report Preference,Pranešimo nuostatos
apps/erpnext/erpnext/config/non_profit.py,Volunteer information.,Savanorio informacija.
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Project Manager,Projekto vadovas
,Quoted Item Comparison,Cituojamas punktas Palyginimas
apps/erpnext/erpnext/buying/doctype/supplier_scorecard/supplier_scorecard.py,Overlap in scoring between {0} and {1},Pervykimas taškų tarp {0} ir {1}
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Dispatch,išsiuntimas
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py,Max discount allowed for item: {0} is {1}%,Maksimali nuolaida leidžiama punktu: {0} yra {1}%
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py,Net Asset value as on,"Grynoji turto vertė, nuo"
DocType: Crop,Produce,Gaminti
DocType: Hotel Settings,Default Taxes and Charges,Numatytieji mokesčiai ir mokesčiai
DocType: Account,Receivable,gautinos
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Row #{0}: Not allowed to change Supplier as Purchase Order already exists,Eilutės # {0}: Neleidžiama keisti tiekėjo Užsakymo jau egzistuoja
