Pension Funds,Mirovinski fondovi
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Polja filtra Red # {0}: Ime polja <b>{1}</b> mora biti tipa &quot;Link&quot; ili &quot;Table MultiSelect&quot;
Suggestions,prijedlozi
Get from,Dobiti od
Tax Rule,Porezno pravilo
Payment Order Status,Status naloga za plaćanje
Duplicate entry,Dvostruki unos
Example: Masters in Computer Science,Primjer: magisterij iz računalnih znanosti
Purchase Invoice Item,Stavka dostavnice za kupnju
Non Profit Manager,Upravitelj neprofitne organizacije
For Warehouse is required before Submit,Za skladište potrebno je prije slanja
Applicable To (User),Primjenjivo na (korisnik)
Appraisal Goal,Cilj procjene
Warn for new Purchase Orders,Upozorenje za nove narudžbe
View Chart of Accounts,Pogledajte kontni plan
Quotations: ,citati:
To Discuss,Raspravljati
Reading 9,Čitanje 9
Applicable To (Role),Primjenjivo na (uloga)
Additional Notes,dodatne napomene
{0} can not be negative,{0} ne može biti negativan
Create Purchase Orders,Izradite narudžbe za kupnju
Estimated Cost Per Position,Procijenjena cijena po poziciji
Loan Name,Naziv zajma
Set default mode of payment,Postavite zadani način plaćanja
Revision,Revizija
Service Unit Type,Vrsta servisne jedinice
Return Against Purchase Invoice,Povrat protiv fakture kupnje
Generate Secret,Generiraj tajnu
Loyalty Program Collection,Zbirka programa vjernosti
Send mass SMS to your contacts,Pošalji masovnom SMS-u svojim kontaktima
Create Fee Schedule,Napravite raspored naknada
File to Rename,Datoteka za Preimenuj
Timer exceeded the given hours.,Tajmer je premašio zadane sate.
ERPNext Account,ERPNext račun
Item Supplier,Dobavljač predmeta
Price List {0} is disabled or does not exist,Cjenik {0} je onemogućen ili ne postoji
Deferred Revenue Account,Račun za odgođeni prihod
Soil compositions do not add up to 100,Sastavi tla ne daju 100
Salary Slip Timesheet,Isplata plaća
Warn,Upozoriti
Email Notification Sent,Poslana je obavijest e-poštom
Planned End Date,Planirani datum završetka
Quickbooks Company ID,ID tvrtke tvrtke QuickBooks
Warehouse cannot be changed for Serial No.,Skladište se ne može promijeniti za serijski broj
Rate of Interest (%) Yearly,Kamatna stopa (%) Godišnje
Cost of Scrapped Asset,Trošak rashodovane imovine
Please set an Address on the Company '%s',Postavite adresu na tvrtku &quot;% s&quot;
Encounter Date,Datum susreta
Webhooks,Webhooks
Memebership Type Details,Pojedinosti o vrsti članstva
Resistant,otporan
Hotel Room Package,Paket hotelskih soba
Contribution to Net Total,Doprinos neto ukupnom iznosu
"Reselect, if the chosen contact is edited after save",Ponovno odaberite ako se odabrani kontakt uređuje nakon spremanja
Employee Tax Exemption Sub Category,Pod kategorijom za izuzeće od poreza na zaposlenike
Row {0}# Paid Amount cannot be greater than requested advance amount,Red {0} # Plaćeni iznos ne može biti veći od traženog iznosa unaprijed
This value is used for pro-rata temporis calculation,Ova se vrijednost koristi za izračun pro rata temporis
Change Abbreviation,Promijeni kraticu
Total Consumed Material Cost  (via Stock Entry),Ukupni utrošeni materijalni troškovi (putem unosa dionica)
Raw Materials Supplied,Isporučene sirovine
Condition and Formula Help,Pomoć za uvjet i formulu
Balance ({0}),Stanje ({0})
Student ID: ,Studentska iskaznica:
New Leaves Allocated (In Days),Dodana nova lišća (u danima)
To Datetime,Za Datetime
Lab result datetime cannot be before testing datetime,Vrijeme rezultata laboratorijskog rezultata ne može biti prije testiranja datetime
Please re-type company name to confirm,Ponovno unesite naziv tvrtke za potvrdu
Subscription Period,Razdoblje pretplate
Position,Položaj
Sibling Details,Pojedinosti o braći
Is Finance Cost Adjustment,Je financijska prilagodba troškova
Encounter Impression,Susretni dojam
N/A,N / A
Lab Technician,Laboratorijski tehničar
"Item {0} is a template, please select one of its variants","Stavka {0} je predložak, odaberite jednu od njegovih varijanti"
How Pricing Rule is applied?,Kako se primjenjuje Pravilo cijena?
Email Digest Settings,Postavke digestora e-pošte
Inter Company Journal Entry,Unos časopisa Inter Company
Create Delivery Trip,Izradite put isporuke
Row # {0}: Serial No {1} does not match with {2} {3},Redak # {0}: Serijski broj {1} se ne podudara s {2} {3}
Sales Order required for Item {0},Potrebna prodajna narudžba za stavku {0}
Get Details From Declaration,Saznajte detalje iz izjave
Support Hour Distribution,Raspodjela sati podrške
Allow Account Creation Against Child Company,Dopusti stvaranje računa protiv tvrtke za djecu
Company Bank Account,Bankovni račun tvrtke
UK,Velika Britanija
Procedure Steps,Koraci postupka
Normal Test Items,Normalne ispitne stavke
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,Stavka {0}: naručena količina {1} ne može biti manja od minimalne narudžbe q {2} (definirana u stavci).
Not in Stock,Nije na skladištu
Cart,kolica
Course Activity,Aktivnosti na tečaju
Thank you for your business!,Hvala vam na poslovanju!
Against Journal Entry {0} is already adjusted against some other voucher,Protiv unosa dnevnika {0} već je podešen prema nekom drugom bonu
Bill Date,Datum računa
Please enter Write Off Account,Unesite Račun za ispis
Biotechnology,Biotehnologija
Setup your Institute in ERPNext,Postavite svoj Institut u ERPNext
Item {0} does not exist,Stavka {0} ne postoji
Asset Maintenance Log,Dnevnik održavanja imovine
Settings for Accounts,Postavke za račune
Reference Document Name,Naziv referentnog dokumenta
"If blank, parent Warehouse Account or company default will be considered","Ako se uzme u obzir prazan, nadređeni račun skladišta ili zadana tvrtka"
Rate Of Materials Based On,Brzina materijala na temelju
Container,kontejner
Available slots,Dostupna mjesta
Max Attempts,Maksimalni pokušaji
Cash Flow Statement,Izvještaj o novčanom tijeku
Redeem Against,Iskoristi protiv
Offline POS Name,Offline POS naziv
ISO 8601 standard,ISO 8601 standard
Deduct,Odbiti
C-Form Invoice Detail,Pojedinost dostavnice za C-obrazac
Net Change in Inventory,Neto promjena u inventaru
Depreciation Amount during the period,Amortizacija Iznos tijekom razdoblja
App Type,Vrsta aplikacije
Blog Subscriber,Pretplatnik na blog
[Error],[Pogreška]
Active Menu,Aktivni izbornik
Transactions against the company already exist! ,Transakcije s tvrtkom već postoje!
Sales Partner and Commission,Prodajni partner i Komisija
Goals cannot be empty,Ciljevi ne mogu biti prazni
Warehouses,Skladišta
Detected Diseases,Otkrivene bolesti
Enter the Bank Guarantee Number before submittting.,Unesite broj bankarske garancije prije slanja.
Processing Items and UOMs,Stavke obrade i UOM-ovi
Is a Subscription,Je pretplata
Download as Json,Preuzmi kao Json
Appointment Analytics,Analytics za imenovanje
Inspection Type,Vrsta inspekcije
Sales Taxes and Charges,Porezi i naknade za prodaju
Health Insurance Provider,Dobavljač zdravstvenog osiguranja
This is a root item group and cannot be edited.,To je grupa korijenskih stavki i ne može se uređivati.
Projected Qty Formula,Projicirana formula za količinu
Payment Order Reference,Referenca naloga za plaćanje
Tree Type,Vrsta stabla
Default Costing Rate,Zadana stopa troška
Constipated,konstipovan
Default Amount,Zadani iznos
Budget List,Popis proračuna
Awaiting Response,Čeka odgovor
Variant creation has been queued.,Stvaranje varijante je stavljeno u red čekanja.
"An amount of {0} already claimed for the component {1},\
						 set the amount equal or greater than {2}","Iznos od {0} koji je već tvrdio za komponentu {1}, postavi iznos jednak ili veći od {2}"
Please add the remaining benefits {0} to any of the existing component,Molimo dodajte preostale pogodnosti {0} bilo kojoj od postojećih komponenti
Odometer,mjerač za pređeni put
Transaction currency must be same as Payment Gateway currency,Valuta transakcije mora biti ista kao i valuta za Gateway plaćanja
"For an item {0}, quantity must be negative number",Za stavku {0} količina mora biti negativni broj
Payroll Date,Datum plaće
Mode of payment is required to make a payment,Način plaćanja je potreban za plaćanje
Materials,materijali
Against Sales Order,Protiv prodajnog naloga
PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
Against Sales Order Item,Protiv stavke prodajnog naloga
Goals,ciljevi
ERPNext User,ERPNext korisnik
Available Leaves,Dostupni listovi
Root Account must be a group,Root račun mora biti grupa
Email Reminders will be sent to all parties with email contacts,Podsjetnici e-pošte bit će poslani svim stranama s kontaktima e-pošte
Select Type...,Odaberite Vrsta ...
Workstation Working Hour,Radno vrijeme radne stanice
Analytics,Analitika
Maintenance Role,Uloga održavanja
Terms and Conditions Template,Predložak Uvjeta i odredbi
Fee Schedule Program,Program naknada
Course {0} does not exist.,Tečaj {0} ne postoji.
Make Timesheet,Izradite timesheet
Production Plan Item,Proizvodni plan stavka
Total Student,Ukupno student
From Package No.,Iz paketa
Shipping Address,dostavna adresa
Clutch Plate,Ploča kvačila
Row #{0}: Asset {1} does not linked to Item {2},Redak # {0}: Svojstvo {1} nije povezano s stavkom {2}
Stock Entry {0} created,Stvoren je unos dionica {0}
Purchase Order Date,Datum narudžbe
Company currencies of both the companies should match for Inter Company Transactions.,Valute društava obje tvrtke trebale bi se podudarati za transakcije među društvima.
Shortage Qty,Količina manjka
Marked Attendance,Označeno prisustvo
System will notify to increase or decrease quantity or amount ,Sustav će obavijestiti o povećanju ili smanjenju količine ili količine
Cosmetics,Kozmetika
Check this if you want to force the user to select a series before saving. There will be no default if you check this.,"Označite ovo ako želite prisiliti korisnika da odabere seriju prije spremanja. Ako to označite, neće biti zadane postavke."
Users with this role are allowed to set frozen accounts and create / modify accounting entries against frozen accounts,Korisnicima s ovom ulogom dopušteno je postaviti zamrznute račune i kreirati / izmijeniti računovodstvene unose za zamrznute račune
Total Claimed Amount,Ukupni traženi iznos
Unable to find Time Slot in the next {0} days for Operation {1},Nije moguće pronaći vremensko razdoblje u sljedećih {0} dana za rad {1}
Wrapping up,Završavati
You can only renew if your membership expires within 30 days,Možete obnoviti samo ako vaše članstvo istekne u roku od 30 dana
Value must be between {0} and {1},Vrijednost mora biti između {0} i {1}
Sales Partner Transaction Summary,Sažetak transakcija prodajnog partnera
Maintenance Manager Name,Ime upravitelja održavanja
It is needed to fetch Item Details.,Potrebno je dohvatiti pojedinosti o stavci.
This is based on stock movement. See {0} for details,To se temelji na kretanju zaliha. Za detalje pogledajte {0}
Appointment,Ugovoreni sastanak
Please enter {0} first,Najprije unesite {0}
BOM #{0}: Raw material cannot be same as main Item,BOM # {0}: sirovina ne može biti ista kao glavna stavka
Following accounts might be selected in GST Settings:,Sljedeći računi mogu biti odabrani u GST postavkama:
You can use any valid Bootstrap 4 markup in this field. It will be shown on your Item Page.,U ovom polju možete upotrijebiti bilo koju važeću oznaku Bootstrap 4. Bit će prikazan na stranici stavke.
Incoming Rate,Dolazna stopa
POS-CLO-,POS-CLO-
Accounts Receivable Discounted Account,Račun s diskontiranim računima potraživanja
Tally Debtors Account,Račun računa o dugovima
Has any past Grant Record,Ima prošli Grant Record
Amount in Custody,Iznos u pritvoru
Interval,Interval
Parent Warehouse,Roditeljsko skladište
Auto Material Requests Generated,Generirani su automatski zahtjevi materijala
Row {0}: Quality Inspection rejected for item {1},Redak {0}: inspekcija kvalitete odbijena za stavku {1}
Additional Details,dodatni detalji
Sales Partner Type,Vrsta prodajnog partnera
"Select BOM, Qty and For Warehouse","Odaberite BOM, Qty i Warehouse"
Maintenance Type,Tip održavanja
Use this field to render any custom HTML in the section.,Koristite ovo polje da biste prikazali bilo koji prilagođeni HTML u odjeljku
"Appointment cancelled, Please review and cancel the invoice {0}","Sastanak je otkazan, pregledajte i poništite dostavnicu {0}"
Time Sheet List,Popis vremenskih lista
{0} against Bill {1} dated {2},{0} protiv računa {1} s datumom {2}
For Company,Za tvrtku
Linked Soil Analysis,Povezana analiza tla
Day to Send,Dan za slanje
Is Tax Applicable,Je li porez primjenjiv
Purchase Order number required for Item {0},Broj narudžbe za stavku {0}
Tax Rates,Porezne stope
Help Results for,Rezultati pomoći za
Student Admission,Prijem studenata
Skill,Vještina
Budget Account,Račun proračuna
Create New Employee Id,Izradite novi ID zaposlenika
Goods and Services Tax (GST India),Porez na dobra i usluge (GST Indija)
Creating Salary Slips...,Stvaranje popisa plaća ...
Employee Skill,Vještina zaposlenika
Apply Rule On Item Code,Primijeni pravilo na šifru artikla
'Update Stock' can not be checked because items are not delivered via {0},&quot;Ažuriranje zaliha&quot; nije moguće provjeriti jer se stavke ne isporučuju putem {0}
Stock Entry,Unos dionica
House rent paid days overlapping with {0},Plaćeni dani za najam kuća koji se preklapaju s {0}
Current Address Is,Trenutna adresa je
Analyst,Analitičar
No records found in the Payment table,U tablici plaćanja nema zapisa
Sales Orders to Deliver,Prodajni nalozi za isporuku
Units of Measure,Mjerne jedinice
Block Days,Blok Days
Quantity must not be more than {0},Količina ne smije biti veća od {0}
Add Items,Dodaj stavke
Taxes and Charges Added (Company Currency),Dodani porezi i naknade (valuta tvrtke)
Currency Exchange Settings,Postavke mjenjačnice
From Amount,Iz iznosa
Warehouse is mandatory,Skladište je obvezno
Add Students,Dodaj studente
Account Paid From,Račun plaćen iz
Marked Attendance HTML,Označeni HTML pohađanja
Item {0} has been disabled,Stavka {0} je onemogućena
Amount In Figure,Iznos na slici
Cannot produce more Item {0} than Sales Order quantity {1},Nije moguće proizvesti više stavke {0} nego količina narudžbenice {1}
