DocType: Accounting Period,Period Name,Název období
apps/erpnext/erpnext/maintenance/doctype/maintenance_schedule/maintenance_schedule.py,Please select Start Date and End Date for Item {0},"Prosím, vyberte Počáteční datum a koncové datum pro položku {0}"
DocType: Maintenance Schedule,MAT-MSH-.YYYY.-,MAT-MSH-.YYYY.-
,Amount to Receive,Částka k přijetí
apps/erpnext/erpnext/education/doctype/student_group_creation_tool/student_group_creation_tool.py,Course is mandatory in row {0},Samozřejmě je povinné v řadě {0}
apps/erpnext/erpnext/hr/report/employee_leave_balance/employee_leave_balance.py,From date can not be greater than than To date,Od data nemůže být větší než Do dne
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,To date cannot be before from date,K dnešnímu dni nemůže být dříve od data
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Non GST Inward Supplies,Spotřební materiály jiné než GST
DocType: Employee Group Table,Employee Group Table,Tabulka skupiny zaměstnanců
DocType: Packed Item,Prevdoc DocType,Prevdoc DOCTYPE
DocType: Cash Flow Mapper,Section Footer,Zápatí sekce
apps/erpnext/erpnext/stock/doctype/item/item.js,Add / Edit Prices,Přidat / Upravit ceny
apps/erpnext/erpnext/hr/doctype/employee_promotion/employee_promotion.py,Employee Promotion cannot be submitted before Promotion Date ,Propagace zaměstnanců nelze předložit před datem propagace
DocType: Batch,Parent Batch,Nadřazená dávka
DocType: Cheque Print Template,Cheque Print Template,Šek šablony tisku
DocType: Salary Component,Is Flexible Benefit,Je flexibilní přínos
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center.js,Chart of Cost Centers,Diagram nákladových středisek
DocType: Subscription Settings,Number of days after invoice date has elapsed before canceling subscription or marking subscription as unpaid,Počet dní po uplynutí data fakturace před zrušením předplatného nebo označením předplatného jako nezaplaceného
DocType: Clinical Procedure Template,Sample Collection,Kolekce vzorků
,Requested Items To Be Ordered,Požadované položky je třeba objednat
DocType: Price List,Price List Name,Ceník Jméno
DocType: Delivery Stop,Dispatch Information,Informace o odeslání
apps/erpnext/erpnext/regional/india/utils.py,e-Way Bill JSON can only be generated from submitted document,Účet E-Way Bill JSON lze generovat pouze z předloženého dokumentu
DocType: Blanket Order,Manufacturing,Výroba
,Ordered Items To Be Delivered,"Objednané zboží, které mají být dodány"
DocType: Account,Income,Příjem
DocType: Industry Type,Industry Type,Typ Průmyslu
apps/erpnext/erpnext/templates/includes/cart.js,Something went wrong!,Něco se pokazilo!
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Warning: Leave application contains following block dates,Upozornění: Nechte Aplikace obsahuje následující data bloku
DocType: Bank Statement Settings,Transaction Data Mapping,Mapování dat transakcí
apps/erpnext/erpnext/stock/doctype/delivery_note/delivery_note.py,Sales Invoice {0} has already been submitted,Prodejní faktury {0} již byla odeslána
DocType: Salary Component,Is Tax Applicable,Je daň platná
DocType: Supplier Scorecard Scoring Criteria,Score,Skóre
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,Fiscal Year {0} does not exist,Fiskální rok {0} neexistuje
DocType: Asset Maintenance Log,Completion Date,Dokončení Datum
DocType: Purchase Invoice Item,Amount (Company Currency),Částka (Měna Společnosti)
DocType: Program,Is Featured,Je doporučeno
apps/erpnext/erpnext/manufacturing/page/bom_comparison_tool/bom_comparison_tool.js,Fetching...,Okouzlující...
DocType: Agriculture Analysis Criteria,Agriculture User,Zemědělský uživatel
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Valid till date cannot be before transaction date,Platné do data nemůže být před datem transakce
apps/erpnext/erpnext/stock/stock_ledger.py,{0} units of {1} needed in {2} on {3} {4} for {5} to complete this transaction.,{0} jednotek {1} zapotřebí {2} o {3} {4} na {5} pro dokončení této transakce.
DocType: Fee Schedule,Student Category,Student Kategorie
DocType: Announcement,Student,Student
apps/erpnext/erpnext/healthcare/doctype/clinical_procedure/clinical_procedure.js,Stock quantity to start procedure is not available in the warehouse. Do you want to record a Stock Transfer,Postup uskutečnění kvantity skladování není k dispozici ve skladu. Chcete zaznamenat převod akcií
apps/erpnext/erpnext/accounts/doctype/promotional_scheme/promotional_scheme.py,New {0} pricing rules are created,Vytvoří se nová {0} pravidla pro tvorbu cen
DocType: Shipping Rule,Shipping Rule Type,Typ pravidla přepravy
apps/erpnext/erpnext/utilities/user_progress.py,Go to Rooms,Jděte do pokojů
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.js,"Company, Payment Account, From Date and To Date is mandatory","Společnost, platební účet, datum a datum jsou povinné"
DocType: Company,Budget Detail,Detail Rozpočtu
apps/erpnext/erpnext/selling/doctype/sms_center/sms_center.py,Please enter message before sending,"Prosím, zadejte zprávu před odesláním"
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py,Setting up company,Založení společnosti
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,"Of the supplies shown in 3.1 (a) above, details of inter-State supplies made to unregisterd
	persons, composition taxable persons and UIN holders","Z dodávek uvedených v bodě 3.1 písm. A) výše podrobnosti o státních dodávkách uskutečněných nezapsaným osobám, osobám povinným k dani ve složení a držitelům UIN"
DocType: Education Settings,Enable LMS,Povolit LMS
DocType: Purchase Invoice,DUPLICATE FOR SUPPLIER,DUPLIKÁT PRO DODAVATELE
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.js,Please save the report again to rebuild or update,"Sestavu znovu uložte, abyste ji mohli znovu vytvořit nebo aktualizovat"
DocType: Service Level Agreement,Response and Resolution Time,Doba odezvy a rozlišení
DocType: Asset,Custodian,Depozitář
apps/erpnext/erpnext/config/retail.py,Point-of-Sale Profile,Point-of-Sale Profil
apps/erpnext/erpnext/agriculture/doctype/soil_texture/soil_texture.py,{0} should be a value between 0 and 100,{0} by měla být hodnota mezi 0 a 100
apps/erpnext/erpnext/hr/doctype/payroll_entry/payroll_entry.py,Payment of {0} from {1} to {2},Platba {0} od {1} do {2}
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward supplies liable to reverse charge (other than 1 & 2 above),Dočasné dodávky podléhající zpětnému poplatku (jiné než výše uvedené výše 1 a 2)
apps/erpnext/erpnext/buying/report/procurement_tracker/procurement_tracker.py,Purchase Order Amount(Company Currency),Částka objednávky (měna společnosti)
DocType: Chart of Accounts Importer,Import Chart of Accounts from a csv file,Importujte graf účtů ze souboru csv
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Unsecured Loans,Nezajištěných úvěrů
DocType: Cost Center,Cost Center Name,Jméno nákladového střediska
DocType: Student,B+,B +
DocType: HR Settings,Max working hours against Timesheet,Maximální pracovní doba proti časového rozvrhu
DocType: Shift Type,Strictly based on Log Type in Employee Checkin,Přísně založené na typu protokolu při kontrole zaměstnanců
DocType: Maintenance Schedule Detail,Scheduled Date,Plánované datum
DocType: SMS Center,Messages greater than 160 characters will be split into multiple messages,Zprávy větší než 160 znaků bude rozdělena do více zpráv
DocType: Purchase Receipt Item,Received and Accepted,Obdrženo a přijato
,GST Itemised Sales Register,GST Itemized Sales Register
DocType: Staffing Plan,Staffing Plan Details,Podrobnosti personálního plánu
DocType: Soil Texture,Silt Loam,Silt Loam
,Serial No Service Contract Expiry,Pořadové číslo Servisní smlouva vypršení platnosti
DocType: Employee Health Insurance,Employee Health Insurance,Zdravotní pojištění zaměstnanců
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,You cannot credit and debit same account at the same time,Nemůžete dělat kreditní a debetní záznam na stejný účet ve stejnou dobu.
DocType: Vital Signs,Adults' pulse rate is anywhere between 50 and 80 beats per minute.,Dospělý puls je v rozmezí od 50 do 80 úderů za minutu.
DocType: Naming Series,Help HTML,Nápověda HTML
DocType: Student Group Creation Tool,Student Group Creation Tool,Student Group Tool Creation
DocType: Item,Variant Based On,Varianta založená na
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.py,Total weightage assigned should be 100%. It is {0},Celková weightage přiřazen by měla být 100%. Je {0}
DocType: Loyalty Point Entry,Loyalty Program Tier,Věrnostní program Tier
apps/erpnext/erpnext/utilities/user_progress.py,Your Suppliers,Vaši Dodavatelé
apps/erpnext/erpnext/selling/doctype/quotation/quotation.py,Cannot set as Lost as Sales Order is made.,"Nelze nastavit jako Ztraceno, protože je přijata objednávka."
DocType: Request for Quotation Item,Supplier Part No,Žádný dodavatel Part
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js,Reason for hold: ,Důvod pozastavení:
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.js,Cannot deduct when category is for 'Valuation' or 'Vaulation and Total',"Nemůže odečíst, pokud kategorie je pro &quot;ocenění&quot; nebo &quot;Vaulation a Total&quot;"
apps/erpnext/erpnext/public/js/hub/components/reviews.js,Anonymous,Anonymní
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,Received From,Přijaté Od
DocType: Lead,Converted,Převedené
DocType: Item,Has Serial No,Má Sériové číslo
DocType: Stock Entry Detail,PO Supplied Item,PO dodaná položka
DocType: Employee,Date of Issue,Datum vydání
apps/erpnext/erpnext/accounts/doctype/purchase_invoice/purchase_invoice.py,"As per the Buying Settings if Purchase Reciept Required == 'YES', then for creating Purchase Invoice, user need to create Purchase Receipt first for item {0}","Podle nákupních nastavení, pokud je požadováno nákupní požadavek == &#39;ANO&#39;, pak pro vytvoření nákupní faktury musí uživatel nejprve vytvořit doklad o nákupu pro položku {0}"
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Row #{0}: Set Supplier for item {1},Řádek # {0}: Nastavte Dodavatel pro položku {1}
DocType: Global Defaults,Default Distance Unit,Výchozí jednotka vzdálenosti
apps/erpnext/erpnext/projects/doctype/timesheet/timesheet.py,Row {0}: Hours value must be greater than zero.,Řádek {0}: doba hodnota musí být větší než nula.
apps/erpnext/erpnext/stock/doctype/item/item.py,Website Image {0} attached to Item {1} cannot be found,Webové stránky Image {0} připojuje k bodu {1} nelze nalézt
DocType: Asset,Assets,Aktiva
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Computer,Počítač
DocType: Item,List this Item in multiple groups on the website.,Seznam tuto položku ve více skupinách na internetových stránkách.
DocType: Subscription,Current Invoice End Date,Aktuální datum ukončení faktury
DocType: Payment Term,Due Date Based On,Datum splatnosti založeno na
apps/erpnext/erpnext/healthcare/doctype/patient/patient.py,Please set default customer group and territory in Selling Settings,Nastavte výchozí skupinu zákazníků a území v nastavení prodeje
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py,{0} {1} does not exist,{0} {1} neexistuje
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py,Please check Multi Currency option to allow accounts with other currency,"Prosím, zkontrolujte více měn možnost povolit účty s jinou měnu"
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item: {0} does not exist in the system,Položka: {0} neexistuje v systému
apps/erpnext/erpnext/accounts/doctype/account/account.py,You are not authorized to set Frozen value,Nejste oprávněni stanovit hodnotu Zmražení
DocType: Payment Reconciliation,Get Unreconciled Entries,Získat smířit záznamů
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Employee {0} is on Leave on {1},Zaměstnanec {0} je zapnut Nechat na {1}
apps/erpnext/erpnext/hr/doctype/loan/loan.py,No repayments selected for Journal Entry,Nebudou vybrány žádné splátky pro deník
DocType: Purchase Invoice,GST Category,Kategorie GST
DocType: Payment Reconciliation,From Invoice Date,Z faktury Datum
apps/erpnext/erpnext/accounts/doctype/fiscal_year/fiscal_year_dashboard.py,Budgets,Rozpočty
DocType: Invoice Discounting,Disbursed,Vyčerpáno
DocType: Healthcare Settings,Laboratory Settings,Laboratorní nastavení
DocType: Clinical Procedure,Service Unit,Servisní jednotka
apps/erpnext/erpnext/buying/report/quoted_item_comparison/quoted_item_comparison.js,Successfully Set Supplier,Úspěšně nastavit dodavatele
DocType: Leave Encashment,Leave Encashment,Nechat inkasa
apps/erpnext/erpnext/public/js/setup_wizard.js,What does it do?,Co to dělá?
apps/erpnext/erpnext/agriculture/doctype/crop_cycle/crop_cycle.py,Tasks have been created for managing the {0} disease (on row {1}),Byly vytvořeny úkoly pro správu nemoci {0} (na řádku {1})
DocType: Crop,Byproducts,Vedlejší produkty
apps/erpnext/erpnext/stock/doctype/batch/batch.js,To Warehouse,Do skladu
apps/erpnext/erpnext/education/doctype/student_admission/student_admission.py,All Student Admissions,Všechny Student Přijímací
,Average Commission Rate,Průměrná cena Komise
DocType: Share Balance,No of Shares,Počet akcií
DocType: Taxable Salary Slab,To Amount,Do výše
apps/erpnext/erpnext/stock/doctype/item/item.py,'Has Serial No' can not be 'Yes' for non-stock item,"""Má sériové číslo"", nemůže být ""Ano"" pro neskladové zboží"
apps/erpnext/erpnext/healthcare/page/appointment_analytic/appointment_analytic.js,Select Status,Vyberte možnost Stav
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,Attendance can not be marked for future dates,Účast nemůže být označen pro budoucí data
DocType: Support Search Source,Post Description Key,Tlačítko Popis příspěvku
