Pension Funds,年金基金
Student Email ID,学生のメールアドレス
GoCardless SEPA Mandate,GoCardless SEPAマンデート
IBAN,イバン
No of People,人の数
From Date and To Date lie in different Fiscal Year,開始日と終了日が異なる会計年度にあります
The Patient {0} do not have customer refrence to invoice,患者{0}の請求書に対する顧客の参照がありません
Syntax error in condition: {0},条件に構文エラー：{0}
Transaction ID,トランザクションID
Please enter message before sending,送信前にメッセージを入力してください
Ref Date,参照日
Note: This Cost Center is a Group. Cannot make accounting entries against groups.,注：このコストセンターはグループです。グループに対して会計エントリを作成できません。
Soil Analysis Criterias,土壌分析基準
Packing Slip(s) cancelled,梱包明細がキャンセルされました
Existing Company,既存の会社
Batches,バッチ
Defense,防衛
Has Batch No,バッチなし
Person Name,人名
Item Variant,品目バリアント
Invited,招待しました
Maximum amount eligible for the component {0} exceeds {1},コンポーネント{0}に適格な最大額が{1}を超えています
Amount to Bill,請求額
"For {0}, only debit accounts can be linked against another credit entry",{0}の場合、借方勘定科目のみ他のクレジットエントリとリンクできます
Payable Account,買掛金
Please mention no of visits required,必要な訪問数を記入してください
Only select if you have setup Cash Flow Mapper documents,キャッシュフローマッパー伝票を設定している場合にのみ選択します。
{0} is a company holiday,{0}は会社の休日です
Items with higher weightage will be shown higher,より高い重量を持つアイテムはより高く表示されます
Project will be accessible on the website to these users,プロジェクトはこれらのユーザーにウェブサイト上でアクセス可能になります
Attribute table is mandatory,属性テーブルは必須です
Total Working Hours,総労働時間
Planting UOM,UOMを植える
O Negative,Oマイナス
To Receive and Bill,受け取りと請求
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.",有効な給与計算期間にない開始日と終了日は、{0}を計算できません。
Only show Customer of these Customer Groups,これらの顧客グループの顧客のみを表示
Select items to save the invoice,請求書を保存するアイテムを選択します
Resolution Time,解決時間
Grade Description,グレード説明
Cards,カード
Linked Plant Analysis,リンクプラント分析
Service Stop Date cannot be after Service End Date,サービス終了日をサービス終了日より後にすることはできません
Please set B2C Limit in GST Settings.,GST設定でB2C制限を設定してください。
Member Name,メンバー名
Payable,買掛金
For Quantity,数量について
For reference,参考のため
Add to Cart,カートに追加
Global Defaults,グローバルデフォルト
Follow via Email,メールでフォローする
Total Leaves Allocated,割り当てられた総葉
Raw Material,原材料
Limited to 12 characters,12文字まで
Customer Naming By,顧客の命名
Packed quantity must equal quantity for Item {0} in row {1},充填数量は、行{1}の品目{0}の数量と等しくなければなりません
New Sales Person Name,新しい営業担当者名
Amazon will synch data updated after this date,Amazonはこの日以降に更新されたデータを同期します
Service Day,サービスデー
Taxes and Charges Deducted (Company Currency),控除される税金と手数料（会社の通貨）
Gross Margin %,粗利益率
Bank Statement balance as per General Ledger,総勘定元帳による銀行報告書残高
Healthcare (beta),ヘルスケア（ベータ版）
Default Warehouse to to create Sales Order and Delivery Note,受注および出荷伝票を登録するデフォルト倉庫
Customer / Lead Name,得意先/リード名
EDU-STU-.YYYY.-,EDU-STU-YYYY-
Unclaimed amount,未請求額
Source and target warehouse cannot be same for row {0},ソースウェアハウスとターゲットウェアハウスを行{0}と同じにすることはできません
Depreciation Row {0}: Expected value after useful life must be greater than or equal to {1},減価償却行{0}：耐用年数後の期待値は{1}以上である必要があります
Please select date,日付を選択してください
Salary Structure should have flexible benefit component(s) to dispense benefit amount,給与構造は、給付額を分配するための柔軟な給付要素を持つべきです。
Employee Attendance Tool,従業員出席ツール
Educational Qualification,学歴
Accessable Value,アクセス可能な値
Sample quantity {0} cannot be more than received quantity {1},サンプル数量{0}は、受領数量{1}を超えることはできません
Last Highest Score,最後の最高得点
Taxes and Charges,税金
Contact Mobile No,携帯電話番号
Joining Details,参加の詳細
Start Job,ジョブ開始
Quality Action Table,品質行動表
Phone (Office),電話番号（オフィス）
Operation ID,操作ID
Silt Loam,シルトローム
Please set the Default Cost Center in {0} company.,デフォルトコストセンターを{0}会社に設定してください。
Update Email Group,メールグループを更新
Employee Promotion Detail,従業員プロモーションの詳細
Repayment Info,返済情報
Show unclosed fiscal year's P&L balances,未決算年度の損益を表示
"{0} indicates that {1} will not provide a quotation, but all items \
					have been quoted. Updating the RFQ quote status.",{0}は{1}が引用符を提供しないことを示しますが、すべてのアイテムは引用符で囲まれています。見積依頼見積状況の更新
Finance Books,ファイナンスブック
"Buying must be checked, if Applicable For is selected as {0}",適用対象が{0}として選択されている場合、購入を確認する必要があります
Role Allowed to edit frozen stock,冷凍在庫の編集を許可されたロール
Last Communication Date,最終連絡日
Costing Rate,原価計算率
example: Next Day Shipping,例：翌日配送
Payment Invoice Items,支払い請求明細
Tasks have been created for managing the {0} disease (on row {1}),{0}疾患を管理するためのタスクが作成されました（行{1}）
Confirmation Message,確認メッセージ
