Pension Funds,Fundusze emerytalne
"Did not found transfered item {0} in Work Order {1}, the item not added in Stock Entry","Czy nie znaleziono przeniesionego elementu {0} w zleceniu pracy {1}, który nie został dodany do pozycji magazynowej"
See all open tickets,Zobacz wszystkie otwarte bilety
Operations cannot be left blank,Operacje nie mogą być puste
At least one mode of payment is required for POS invoice.,Dla faktury POS wymagany jest co najmniej jeden sposób płatności.
Guardian1 Email ID,Identyfikator e-mail Guardian1
Supplier delivers to Customer,Dostawca dostarcza do Klienta
Appointment Booked,Zarezerwowane spotkanie
Target Warehouse,Magazyn docelowy
Stale Days,Stale Days
Row {0}: Credit entry can not be linked with a {1},Wiersz {0}: pozycji kredytowej nie można powiązać z {1}
Healthcare Practitioner {0} not available on {1},Lekarz {0} nie jest dostępny w {1}
All Customer Contact,Wszystkie kontakty z klientami
" {0} Retain Sample is based on batch, please check Has Batch No to retain sample of item","{0} Zachowaj próbkę opiera się na partii, sprawdź opcję Nie ma partii, aby zachować próbkę towaru"
Disc,Dysk
Make Accounting Entry For Every Stock Movement,Wprowadź zapis księgowy dla każdego ruchu giełdowego
Check-out Date,Sprawdź datę
Fertilizer,Nawóz
Default Tax Withholding Config,Konfig
Total Produced Qty,Całkowita ilość wyprodukowana
Leave Period,Opuść okres
Payment request {0} created,Utworzono żądanie płatności {0}
UOM Conversion in Hours,Konwersja UOM w godzinach
Avg. Selling Price List Rate,Śr. Stawka cennika sprzedaży
Generate Material Requests (MRP) and Work Orders.,Generuj żądania materiałów (MRP) i zlecenia pracy.
Account Balance,Bilans konta
Periodicity,Okresowość
Medical Record,Historia choroby
Execution,Wykonanie
Valuation Method,Metoda wyceny
{0} against Sales Invoice {1},{0} przeciwko fakturze sprzedaży {1}
Pass,Przechodzić
Sales Partner Target,Cel partnera sprzedaży
Referring Practitioner,Polecający lekarz
Expenses Included In Asset Valuation,Koszty uwzględnione w wycenie aktywów
Publishing,Wydawniczy
Sales Orders Detail,Szczegóły zlecenia sprzedaży
Total Deduction,Totalna dedukcja
EMI,EMI
Set prefix for numbering series on your transactions,Ustaw przedrostek dla serii numerowania transakcji
Journal Entries {0} are un-linked,Pozycje kroniki {0} nie są powiązane
Other Reports,Inne raporty
All items have already been invoiced,Wszystkie przedmioty zostały już zafakturowane
Asset scrapped via Journal Entry {0},Złom zasobów za pośrednictwem wpisu do dziennika {0}
Prefered Email,Preferowany e-mail
"Can't change valuation method, as there are transactions against some items which does not have it's own valuation method","Nie można zmienić metody wyceny, ponieważ istnieją transakcje na niektóre przedmioty, które nie mają własnej metody wyceny"
Section Name,Nazwa sekcji
Packed Item,Zapakowany przedmiot
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: Wymagana jest kwota debetu lub kredytu dla {2}
Submitting Salary Slips...,Przesyłanie poświadczeń wynagrodzenia ...
No Action,Bez akcji
"Budget cannot be assigned against {0}, as it's not an Income or Expense account","Budżetu nie można przypisać do {0}, ponieważ nie jest to konto dochodów lub wydatków"
Masters and Accounts,Mistrzowie i konta
Responsible Individual,Osoba odpowiedzialna
Total Weightage of all Assessment Criteria must be 100%,Całkowity ciężar wszystkich kryteriów oceny musi wynosić 100%
An error occurred during the update process,Wystąpił błąd podczas procesu aktualizacji
Customer Name,Nazwa klienta
Amount should not be less than zero.,Kwota nie powinna być mniejsza niż zero.
Average Age,Średni wiek
Show Price,Pokaż cenę
Program Enrollment Tool Student,Narzędzie do rejestracji w programie Student
Shipping State,Państwo wysyłki
Please set Company,Proszę ustawić firmę
Balance (Dr - Cr),Bilans (Dr - Cr)
Supply Type,Typ dostawy
Create documents for sample collection,Twórz dokumenty do pobierania próbek
Close Opportunity After Days,Zamknij szansę po dniach
Ref Code,Kod ref
Widowed,Owdowiały
ERPNext Company,ERPNext Company
Leave blank to use the standard Delivery Note format,"Pozostaw puste, aby użyć standardowego formatu dokumentu dostawy"
Accepted Qty,Akceptowana ilość
Apply Rule On Brand,Zastosuj regułę do marki
Show Availability Status,Pokaż status dostępności
Import Successfull,Import zakończony sukcesem
Soil Texture,Tekstura gleby
No of Visits,Liczba odwiedzin
Qualitative Feedback,Opinie jakościowe
Response and Resoution Time,Czas reakcji i czas reakcji
Expiring On,Wygasa w dniu
Scorecard Actions,Akcje karty wyników
Stock Adjustment,Korekta zapasów
Health Care,Opieka zdrowotna
No of Seats,Liczba miejsc
Delete all the Transactions for this Company,Usuń wszystkie transakcje dla tej firmy
Lead Details,Szczegóły ołowiu
Default Service Level Agreement,Domyślna umowa o poziomie usług
"Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type ""Link"" or ""Table MultiSelect""",Filtruj pola Wiersz # {0}: Nazwa pola <b>{1}</b> musi być typu „Link” lub „Tabela MultiSelect”
Suggestions,Propozycje
Get from,Uzyskać od
Tax Rule,Reguła podatkowa
Payment Order Status,Status zlecenia płatniczego
Duplicate entry,zduplikowana wartość
Example: Masters in Computer Science,Przykład: magistrzy informatyki
Purchase Invoice Item,Przedmiot faktury zakupu
Non Profit Manager,Non Profit Manager
For Warehouse is required before Submit,Dla magazynu wymagana jest przed wysłaniem
Applicable To (User),Dotyczy (użytkownika)
Appraisal Goal,Cel oceny
Warn for new Purchase Orders,Ostrzegaj o nowych zamówieniach zakupu
View Chart of Accounts,Wyświetl plan kont
Quotations: ,Cytaty:
To Discuss,Dyskutować
Reading 9,Czytanie 9
Applicable To (Role),Dotyczy (Rola)
Additional Notes,Dodatkowe uwagi
{0} can not be negative,{0} nie może być ujemne
Create Purchase Orders,Utwórz zamówienia zakupu
Estimated Cost Per Position,Szacowany koszt na pozycję
Loan Name,Nazwa pożyczki
Set default mode of payment,Ustaw domyślny tryb płatności
Revision,Rewizja
Service Unit Type,Typ jednostki serwisowej
Return Against Purchase Invoice,Zwrot z faktury zakupu
Generate Secret,Generuj sekret
Loyalty Program Collection,Kolekcja programów lojalnościowych
Send mass SMS to your contacts,Wyślij masowe wiadomości SMS do swoich kontaktów
Create Fee Schedule,Utwórz harmonogram opłat
File to Rename,Plik do zmiany nazwy
Timer exceeded the given hours.,Timer przekroczył podane godziny.
ERPNext Account,Konto ERPNext
Item Supplier,Dostawca przedmiotu
Price List {0} is disabled or does not exist,Cennik {0} jest wyłączony lub nie istnieje
Deferred Revenue Account,Odroczone konto przychodów
Soil compositions do not add up to 100,Kompozycje gleby nie sumują się do 100
Salary Slip Timesheet,Arkusz czasowy wynagrodzenia wynagrodzenia
Warn,Ostrzec
Email Notification Sent,Wysłano powiadomienie e-mailem
Planned End Date,Planowana data zakończenia
Quickbooks Company ID,Quickbooks Company ID
Warehouse cannot be changed for Serial No.,Magazyn nie może zostać zmieniony na numer seryjny
Rate of Interest (%) Yearly,Oprocentowanie (%) Rocznie
Cost of Scrapped Asset,Koszt złomowanego zasobu
Please set an Address on the Company '%s',Ustaw adres firmy „% s”
Encounter Date,Data spotkania
Webhooks,Webhooks
Memebership Type Details,Szczegóły typu członkostwa
Resistant,Odporny
Hotel Room Package,Pakiet Hotelowy
Contribution to Net Total,Wkład do sumy netto
"Reselect, if the chosen contact is edited after save","Wybierz ponownie, jeśli wybrany kontakt jest edytowany po zapisaniu"
Employee Tax Exemption Sub Category,Podkategoria zwolnienia z podatku od pracowników
Row {0}# Paid Amount cannot be greater than requested advance amount,Wiersz {0} # Płatna kwota nie może być większa niż żądana kwota zaliczki
This value is used for pro-rata temporis calculation,Ta wartość jest używana do obliczeń pro rata temporis
Change Abbreviation,Zmień skrót
Total Consumed Material Cost  (via Stock Entry),Całkowity koszt zużytego materiału (za pośrednictwem magazynu)
Raw Materials Supplied,Dostarczane surowce
Condition and Formula Help,Pomoc dotycząca warunków i formuł
Balance ({0}),Saldo ({0})
Student ID: ,Legitymacja studencka:
New Leaves Allocated (In Days),Przydzielono nowe liście (w dniach)
To Datetime,Do Datetime
Lab result datetime cannot be before testing datetime,Datetime wyniku laboratorium nie może być przed testowaniem datetime
Please re-type company name to confirm,"Wpisz ponownie nazwę firmy, aby potwierdzić"
Subscription Period,Okres subskrypcji
Position,Pozycja
Sibling Details,Szczegóły rodzeństwa
Is Finance Cost Adjustment,Czy korekta kosztów finansowych
Encounter Impression,Wrażenie spotkania
N/A,Nie dotyczy
Lab Technician,Technik laboratoryjny
"Item {0} is a template, please select one of its variants","Element {0} to szablon, wybierz jeden z jego wariantów"
How Pricing Rule is applied?,Jak stosuje się regułę cenową?
Email Digest Settings,Ustawienia podsumowania wiadomości e-mail
Inter Company Journal Entry,Wpis do dziennika między firmami
Create Delivery Trip,Utwórz podróż dostawy
Row # {0}: Serial No {1} does not match with {2} {3},Wiersz # {0}: numer seryjny {1} nie pasuje do {2} {3}
Sales Order required for Item {0},Zamówienie sprzedaży wymagane dla pozycji {0}
Get Details From Declaration,Uzyskaj szczegółowe informacje z deklaracji
Support Hour Distribution,Dystrybucja godzin wsparcia
Allow Account Creation Against Child Company,Zezwól na tworzenie konta przeciwko firmie podrzędnej
Company Bank Account,Konto bankowe firmy
UK,UK
Procedure Steps,Kroki procedury
Normal Test Items,Normalne elementy testowe
Item {0}: Ordered qty {1} cannot be less than minimum order qty {2} (defined in Item).,Pozycja {0}: Zamówiona ilość {1} nie może być mniejsza niż minimalna ilość zamówienia {2} (zdefiniowana w pozycji).
Not in Stock,Brak na stanie
Cart,Wózek
Course Activity,Aktywność na kursie
Thank you for your business!,Dziękujemy za Twój biznes!
Against Journal Entry {0} is already adjusted against some other voucher,Wpis do dziennika {0} jest już dostosowany do innego kuponu
Bill Date,Data wystawienia rachunku
Please enter Write Off Account,Proszę wpisać konto do zapisu
Biotechnology,Biotechnologia
Setup your Institute in ERPNext,Skonfiguruj swój instytut w ERPNext
Item {0} does not exist,Element {0} nie istnieje
Asset Maintenance Log,Dziennik konserwacji zasobów
Settings for Accounts,Ustawienia kont
Reference Document Name,Nazwa dokumentu referencyjnego
"If blank, parent Warehouse Account or company default will be considered","Jeśli puste, macierzyste konto magazynowe lub domyślne przedsiębiorstwo zostaną uwzględnione"
Rate Of Materials Based On,Szybkość materiałów na podstawie
Container,Pojemnik
Available slots,Dostępne sloty
Max Attempts,Max Próby
Cash Flow Statement,Sprawozdanie z przepływów pieniężnych
Redeem Against,Zrealizuj przeciwko
Offline POS Name,Nazwa POS offline
ISO 8601 standard,Norma ISO 8601
Deduct,Odjąć
C-Form Invoice Detail,Szczegóły faktury C-Form
Net Change in Inventory,Zmiana netto zapasów
Depreciation Amount during the period,Kwota amortyzacji w danym okresie
App Type,Typ aplikacji
Blog Subscriber,Abonent bloga
[Error],[Błąd]
Active Menu,Aktywne menu
Transactions against the company already exist! ,Transakcje przeciwko firmie już istnieją!
Sales Partner and Commission,Partner sprzedaży i Komisja
Goals cannot be empty,Cele nie mogą być puste
Warehouses,Magazyny
Detected Diseases,Wykryte choroby
Enter the Bank Guarantee Number before submittting.,Wprowadź numer gwarancji banku przed przesłaniem.
Processing Items and UOMs,Przetwarzanie elementów i UOM
Is a Subscription,Jest subskrypcją
Download as Json,Pobierz jako Json
Appointment Analytics,Analityka spotkań
Inspection Type,Typ inspekcji
Sales Taxes and Charges,Podatki od sprzedaży i opłaty
Health Insurance Provider,Dostawca ubezpieczenia zdrowotnego
This is a root item group and cannot be edited.,To jest grupa elementów głównych i nie można jej edytować.
Projected Qty Formula,Przewidywana formuła ilości
Payment Order Reference,Odniesienie do zlecenia płatniczego
Tree Type,Typ drzewa
Default Costing Rate,Domyślna stopa kalkulacji
Constipated,Mający zaparcie
Default Amount,Kwota domyślna
Budget List,Lista budżetu
Awaiting Response,Czekając na odpowiedź
Variant creation has been queued.,Tworzenie wariantu zostało umieszczone w kolejce.
"An amount of {0} already claimed for the component {1},\
						 set the amount equal or greater than {2}","Kwota {0}, która została już zgłoszona dla komponentu {1}, ustaw kwotę równą lub większą niż {2}"
Please add the remaining benefits {0} to any of the existing component,Dodaj pozostałe korzyści {0} do dowolnego istniejącego komponentu
Odometer,Drogomierz
Transaction currency must be same as Payment Gateway currency,Waluta transakcji musi być taka sama jak waluta bramki płatności
"For an item {0}, quantity must be negative number",Dla pozycji {0} ilość musi być liczbą ujemną
Payroll Date,Data płac
Mode of payment is required to make a payment,Sposób płatności jest wymagany do dokonania płatności
Materials,Materiały
Against Sales Order,Przeciwko zleceniu sprzedaży
PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
Against Sales Order Item,Przeciwko pozycji zamówienia sprzedaży
Goals,Cele
ERPNext User,Użytkownik ERPNext
Available Leaves,Dostępne liście
Root Account must be a group,Konto główne musi być grupą
Email Reminders will be sent to all parties with email contacts,Powiadomienia e-mail zostaną wysłane do wszystkich stron z kontaktami e-mail
Select Type...,Wybierz rodzaj...
Workstation Working Hour,Godziny pracy stacji roboczej
Analytics,Analityka
Maintenance Role,Rola konserwacji
Terms and Conditions Template,Szablon warunków i zasad
Fee Schedule Program,Program taryf opłat
Course {0} does not exist.,Kurs {0} nie istnieje.
Make Timesheet,Utwórz grafik
Production Plan Item,Pozycja planu produkcji
Total Student,Total Student
From Package No.,Z Pakietu Nr
Shipping Address,adres wysyłki
Clutch Plate,Tarcza sprzęgła
Row #{0}: Asset {1} does not linked to Item {2},Wiersz # {0}: Zasób {1} nie jest powiązany z elementem {2}
