Pension Funds,የጡረታ ፈንዶች
To Fiscal Year,እስከ የፊስካል አመት
Return Against Delivery Note,መልሶ ማላቀቅን አትመልስ
"Edit in full page for more options like assets, serial nos, batches etc.","እንደ እሴቶች, ተከታታይ ኤሎች, ወዘተ የመሳሰሉ ተጨማሪ አማራጮች በሙሉ ገጽ ውስጥ ያርትዑ."
Allocate Payment Amount,የክፍያ መጠን አስተላልፍ
Row # {0}: Returned Item {1} does not exists in {2} {3},ረድፍ # {0}: የተመዘገበው ንጥል {1} በ {2} {3} ውስጥ የለም.
Enrolling students,ተማሪዎችን መመዝገብ
Allow user to edit Price List Rate in transactions,ተጠቃሚዎች የዝርዝር ዋጋን በግብይቶች ውስጥ እንዲያርትዑ ይፍቀዱ
Please select the document type first,እባክዎ መጀመሪያ የሰነድ ዓይነቱን ይምረጡ
Hotel Room Reservation,የሆቴል ክፍል ማስያዣ
Researcher,ተመራማሪ
{0} {1} is frozen,{0} {1} በረዶ ነው
Item Code cannot be changed for Serial No.,ለእያንዳንዱ መለያ ቁጥር የንጥል ቁጥር መቀየር አይቻልም.
Total Taxes and Charges (Company Currency),ጠቅላላ ግብሮች እና ክፍያዎች (የኩባንያው የገንዘብ ምንዛሬ)
Tax Rule Conflicts with {0},በ {0} ላይ የግጭት ደንቦች ግጭቶች
Year End Date,ዓመት መጨረሻ ቀን
Create Leads,መርሆዎችን ፍጠር
Show zero values,ዜሮ እሴቶችን አሳይ
Employee Onboarding,ተቀጣሪ ሰራተኛ
Period End Date,የጊዜ ማብቂያ ቀን
Sales Opportunities by Source,የሽያጭ ዕድሎች በአስፈላጊነት
The first Leave Approver in the list will be set as the default Leave Approver.,በዝርዝሩ ውስጥ የመጀመሪያ የመጠቆም ፀባይ እንደ ነባሪው ይልቀቁት.
POS Settings,የ POS ቅንብሮች
All Accounts,ሁሉም መለያዎች
Hotel Manager,የሆቴል አስተዳዳሪ
With Items,ከንጥሎች ጋር
Is Advance,ቅድመ ዕድል ነው
Membership Status,የአባላት ሁኔታ
Sales campaigns.,የሽያጭ ዘመቻዎች.
Default BOM not found for Item {0} and Project {1},ነባሪ ቦምብ ለክፍል {0} እና ለፕሮጀክት {1} አልተገኘም
Encashment Threshold Days,የእርስት ውዝግብ ቀናት
Items Filter,ንጥል ማጣሪያ
{0} is on hold till {1},{0} ያቆመበት እስከ {1}
Invoice Separately as Consumables,ደረሰኝ በተናጥል እንደ መገልገያ
Days Until Due,እስከሚደርስ ድረስ
Show Completed,አሳይ ተጠናቅቋል
Bank Statement Transaction Entry Report,የባንክ ማብራሪያ መግለጫ የግብአት ግቤት ሪፖርት
Row #{0}: Rate must be same as {1}: {2} ({3} / {4}) ,ረድፍ # {0}: ደረጃው እንደ {1} ነው: {2} ({3} / {4}) ነው
HLC-CPR-.YYYY.-,HLC-CPR-yYYYY.-
Healthcare Service Items,የጤና እንክብካቤ አገልግሎት እቃዎች
No records found,ምንም መዛግብት አልተገኙም
Ageing Range 3,የዕድሜ መግፋት 3
Blood Pressure,የደም ግፊት
Target On,ዒላማ በርቷል
All Healthcare Service Units,ሁሉም የጤና አገልግሎት ሰጪዎች
Mandatory field - Program,አስገዳጅ መስክ - ፕሮግራም
Timer,ሰዓት ቆጣሪ
Set {0} in asset category {1} or company {2},{0} ን በንብረት ምድብ {1} ወይም ኩባንያ {2} ውስጥ ያዘጋጁ
Bank Header,የባንክ ርእስ
Not eligible for the admission in this program as per DOB,በእያንዳንዱ DOB ውስጥ በዚህ ፕሮግራም ውስጥ ለመግባት ብቁ አይደለም
Assessment Criteria Group,የግምገማ መስፈርት ቡድን
Is Correct,ትክክል ነው
user@example.com,user@example.com
Parent Department,የወላጅ መምሪያ
Employee Internal Work History,የሰራተኛ የውስጥ ስራ ታሪክ
Warn POs,ፖስታዎችን ያስጠንቅቁ
Offer Date,ቅናሽ ቀን
Product Bundle Help,የምርት ጥቅል እገዛ
Stock Reconciliation,የአክሲዮን ሪኮርዶች
Accounting Entry for Stock,የሂሳብ አያያዝ ወደ አክሲዮን
"Appointment overlaps with {0}.<br> {1} has appointment scheduled
			with {2} at {3} having {4} minute(s) duration.",የቀጠሮው ከ {0} ጋር የተደራረበ ነው. <br> {1} ከ {2} በ {3} መርሃግብር የተያዘ ቀጠሮ አለው {4} ደቂቃ (s).
Warehouses with child nodes cannot be converted to ledger,ከልጆች መገናኛዎች ጋር ወደ መጋዘን መቀየር አይቻልም
Projects Manager,ፕሮጀክት ማኔጀር
End time cannot be before start time,የማለቂያ ጊዜ ከመጀመሪያ ጊዜ በፊት መሆን አይችልም
UOM Name,የዩአይሚል ስም
BMI,ቢኤም.
Hours,ሰዓታት
Amount {0} {1} {2} {3},መጠን {0} {1} {2} {3}
Supplier Ledger Summary,አቅራቢ የማውጫ ማጠቃለያ
Student Email ID,የተማሪ ኢሜይል መታወቂያ
GoCardless SEPA Mandate,የ GoCardless SEPA ኃላፊ
IBAN,IBAN
No of People,የሰዎች ቁጥር
From Date and To Date lie in different Fiscal Year,ከተለመዱበት ቀንና ቀን ጀምሮ በተለያየ የፋሲሊቲ ዓመት ውስጥ ነው
The Patient {0} do not have customer refrence to invoice,ታካሚው {0} በክፍያ መጠየቂያ የደንበኛ ማጣሪያ የላቸውም
Syntax error in condition: {0},የአገባብ ስህተት በመጠኑ: {0}
Transaction ID,የግብይት መታወቂያ
Please enter message before sending,እባክዎ ከመላክዎ በፊት መልዕክት ይጻፉ
Ref Date,ማጣቀሻ ቀን
Note: This Cost Center is a Group. Cannot make accounting entries against groups.,ማስታወሻ: ይህ ወለድ ማዕከላት ቡድን ነው. በቡድኖች ላይ የሂሳብ መዝገብ ማስቀመጥ አይቻልም.
Soil Analysis Criterias,የአፈር ምርመራ ትንታኔ መስፈርቶች
Packing Slip(s) cancelled,የማሸግ ጥቅል (ሎች) ተሰርዘዋል
Existing Company,ነባር ኩባንያ
Batches,ስብስቦች
Defense,መከላከያ
Has Batch No,ባች ቁጥር አለው
Person Name,የግል ስም
Item Variant,የንጥል ልዩነት
Invited,ተጋብዘዋል
Amount to Bill,ለሂሳብ መጠን
"For {0}, only debit accounts can be linked against another credit entry","ለ {0}, ሌላ የብድር ግብይት ላይ ብቻ የዱቤ መለያዎች ሊገናኙ ይችላሉ"
Payable Account,ሊከፈል የሚችል መለያ
Please mention no of visits required,እባክዎን የሚጠይቁት ጉብኝቶችዎን አይግለፁ
Only select if you have setup Cash Flow Mapper documents,የ &quot;Cash Flow Mapper&quot; ሰነዶችን ካዘጋጁ ብቻ ይምረጡ
{0} is a company holiday,{0} የኩባንያ ቀን ነው
Items with higher weightage will be shown higher,ከፍተኛ ክብደት ያላቸው ንጥሎች ከፍ ያለ ይሆናሉ
Project will be accessible on the website to these users,ፕሮጀክቱ ለእነዚህ ተጠቃሚዎች በድር ጣቢያው ላይ ተደራሽ ይሆናል
Attribute table is mandatory,የአይነታ ሰንጠረዥ ግዴታ ነው
Total Working Hours,ጠቅላላ የሥራ ሰዓታት
Planting UOM,UOM መትከል
O Negative,ኦ አሉታዊ
To Receive and Bill,ለመቀበል እና ቢል
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.",የመጀመሪያዎቹ እና የመጨረሻዎቹን ቀናት በሚሰራበት የደመወዝ ጊዜ ውስጥ አይደለም {0} ማስላት አይቻልም.
Only show Customer of these Customer Groups,የእነዚህ የሽያጭ ቡድኖች ደንበኛን ብቻ ያሳዩ
Select items to save the invoice,ኢንቮይሱን ለማስቀመጥ ንጥሎችን ምረጥ
Resolution Time,የምስል ሰዓት
Grade Description,የደረጃ መግለጫ
Cards,ካርዶች
Linked Plant Analysis,የተገናኘ የአትክልት ትንታኔ
Service Stop Date cannot be after Service End Date,የአገልግሎት ቀን ማብቂያ ቀን የአገልግሎት ማብቂያ ቀን መሆን አይችልም
Please set B2C Limit in GST Settings.,እባክዎ በ GST ቅንብሮች ውስጥ B2C ወሰን ያዘጋጁ.
Member Name,የአባላት ስም
Payable,የሚከፈል
For Quantity,ለቁጥር
For reference,ለማጣቀሻ
Add to Cart,ወደ ግዢው ቅርጫት ጨምር
Global Defaults,የ Global Defaults
Follow via Email,በኢሜይል በኩል ይከተሉ
Total Leaves Allocated,ጠቅላላ ቅጠሎች የተመደበላቸው
Raw Material,ጥሬ ዕቃ
Limited to 12 characters,በ 12 ቁምፊዎች የተወሰነ
Customer Naming By,የደንበኛ ስም በ
Packed quantity must equal quantity for Item {0} in row {1},የታሸገ መጠን በንጥል {1} ውስጥ ለንጥል {0} እኩል መሆን አለበት
New Sales Person Name,አዲስ የሽያጭ ሰው ስም
Amazon will synch data updated after this date,ከዚህ ቀን በኋላ ውሂብ ከዚህ በኋላ ይዘምናል
Service Day,የአገልግሎት ቀን
Taxes and Charges Deducted (Company Currency),ግብር እና ክፍያዎች ያልተቀነሰ (የኩባንያው የገንዘብ ምንዛሬ)
Gross Margin %,ግዙፍ ኅዳግ %
Bank Statement balance as per General Ledger,የባንክ የሂሳብ ሚዛን በጄኔራል ሌድጀር እንደተገለፀው
Healthcare (beta),የጤና እንክብካቤ (ቤታ)
Default Warehouse to to create Sales Order and Delivery Note,ነባሪ መጋዘን የሽያጭ ትዕዛዝ እና የማድረስ ማስታወሻን ለመፍጠር
Customer / Lead Name,ደንበኛ / መሪ ስም
EDU-STU-.YYYY.-,EDU-STU-yYYYY.-
Unclaimed amount,የይገባኛል ጥያቄ ያልተነሳበት መጠን
Source and target warehouse cannot be same for row {0},ምንጭ እና የታለመ መጋዘን መጋዘን ለረድፍ {0} ተመሳሳይ መሆን አይችልም
Depreciation Row {0}: Expected value after useful life must be greater than or equal to {1},የዋጋ ቅነሳ ድርድር {0}: የህይወት ዘመን የሚጠበቀው ዋጋ ከ {1} የበለጠ ወይም እኩል መሆን አለበት
Please select date,እባክዎ ቀን ይምረጡ
Salary Structure should have flexible benefit component(s) to dispense benefit amount,የደመወዝ መዋቅሩ ጥቅማጥቅሞችን ለማሟላት የተገቢነት ጥቅሞች (ዎች) መኖር አለበት
Employee Attendance Tool,የሰራተኞች ክትትል መሳሪያ
Educational Qualification,የትምህርት ደረጃ
Accessable Value,ሊደረስ የሚችል እሴት
Sample quantity {0} cannot be more than received quantity {1},የናሙና ብዛት {0} ከተላከ በላይ መሆን አይሆንም {1}
Last Highest Score,የመጨረሻው ከፍተኛ ውጤት
Taxes and Charges,ግብሮችን እና ክፍያዎች
Contact Mobile No,ተንቀሳቃሽ ስልክ ቁጥር ይገናኙ
Joining Details,ዝርዝሮችን በመቀላቀል ላይ
Start Job,ስራ ጀምር
Quality Action Table,የጥራት ድርጊት ሰንጠረዥ
Phone (Office),ስልክ (ጽ / ቤት)
Operation ID,የክወና መታወቂያ
Silt Loam,ዘንበል ብሎ
Please set the Default Cost Center in {0} company.,እባክዎ በ {0} ኩባንያ ውስጥ ያለውን ነባሪ ዋጋ ማስተካከያ ያዘጋጁ.
Update Email Group,የኢሜይል ቡድን ያዘምኑ
Employee Promotion Detail,የሰራተኛ ማስተዋወቂያ ዝርዝር
Repayment Info,የምላሽ ክፍያ
Show unclosed fiscal year's P&L balances,ያልተከፈተ የበጀት አመት የ P &amp; L ሂሳቦችን አሳይ
"{0} indicates that {1} will not provide a quotation, but all items \
					have been quoted. Updating the RFQ quote status.","{0} እንደሚያሳየው {1} ጥቅጥቅሞችን እንደማያቀርብ, ነገር ግን ሁሉም ንጥሎች \ ተወስደዋል. የ RFQ መጠይቅ ሁኔታን በማዘመን ላይ."
Finance Books,የገንዘብ ሰነዶች
Role Allowed to edit frozen stock,የታሸቀ ክምችትን ለማርትዕ ሚና የተወጣበት
Last Communication Date,የመጨረሻው የግንኙነት ቀን
Costing Rate,የማስከፈል መጠን
example: Next Day Shipping,ለምሳሌ: የቀጣይ ቀን መላኪያ
Payment Invoice Items,የክፍያ መጠየቂያ ደረሰኝ ንጥሎች
Tasks have been created for managing the {0} disease (on row {1}),ተግባሮች {0} በሽታን (በረድፍ ላይ {1} ላይ ለማቀናበር ሲባል የተፈጠሩ)
Confirmation Message,የማረጋገጫ መልዕክት
Lab Test UOM,የቤተ ሙከራ ፈተና UOM
Earned Leave Frequency,ከወጡ የጣቢያ ፍጥነቱ
Loyalty Program Type,የታማኝነት ፕሮግራም አይነት
"Shipping Address does not have country, which is required for this Shipping Rule",የመላኪያ አድራሻ ለእዚህ የመርከብ ገደብ አስፈላጊ የሆነ አገር የለውም
Terms and Conditions,አተገባበሩና መመሪያው
Please click on 'Generate Schedule',እባክዎ &#39;የጊዜ መርሃግብር ፍጠር&#39; የሚለውን ይጫኑ
Total Qty,አጠቃላይ ኳስ
All other ITC,ሁሉም ሌሎች ITC
Importing Parties and Addresses,ግቤቶችን እና አድራሻዎችን ማስመጣት
List this Item in multiple groups on the website.,ይህንን ንጥል በድርቡ ላይ በበርካታ ቡድኖች ውስጥ ይዘርዝሩ.
Message for Supplier,ለአቅራቢ መልዕክት
Cannot change {0} as Stock Transaction for Item {1} exist.,{0} እንደ የሻጭ ግብይት በንጥል {1} እንዳለ መቀየር አይቻልም.
Phone (R),ስልክ (አር)
Team Member,የቡድን አባል
Asset Category Account,የንብረት ምድብ መለያ
Team Updates,የቡድን ዝመናዎች
Party,ድግስ
Ca/Mg,ካ / ኤም.
Write Off Amount (Company Currency),የዋጋ ቅናሽ (የኩባንያው የገንዘብ ምንዛሬ)
Including items for sub assemblies,ለንዑስ ስብሰባዎች ንጥሎችን ያካትታል
Topic Name,የርዕስ ስም
Applicable on booking actual expenses,በቢዝነስ ላይ ለትክክለኛ ወጪዎች የሚውል
Start date of current invoice's period,የአሁኑ የክፍያ መጠየቂያ ጊዜ የጀመረበት ቀን
Litre,ሊትር
Hub Seller Name,የሆብ ሻጭ ስም
Total Outgoing Value,አጠቃላይ ወጪ
Auto repeat document updated,በራስሰር እንደገና ሰነድን አዘምን
"For row {0} in {1}. To include {2} in Item rate, rows {3} must also be included","በ {1} ውስጥ ላሉ row {0}. በእይታ ንጥል ውስጥ {2} ለማካተት, ረድፎች {3} እንዲሁ መካተት አለባቸው"
Serial No and Batch,መለያ ቁጥር እና ባች
Fulfilment Deadline,የማጠናቀቂያ ጊዜ ገደብ
Create Job Card,የስራ ካርድ ይፍጠሩ
Sales Person Commission Summary,የሽያጭ ሰው ኮሚሽን ማጠቃለያ
"Cannot process route, since Google Maps Settings is disabled.",የጉግል ካርታዎች ቅንጅት ስለማይሰራ መንገዱን ማስኬድ አይቻልም.
Go to Items,ወደ ንጥሎች ሂድ
Current Asset Value,የአሁኑ የንብረት እሴት
Result Preview Field,የውጤቶች ቅድመ እይታ መስክ
Please enter serial numbers for serialized item ,እባክዎ ተከታታይነት ያለው ንጥል ተከታታይ ቁጥር ያስገቡ
Against Voucher Type,Against Voucher Type
Contract Template Fulfilment Terms,የውጤት ቅጽ ቅንጅቶች ውሎች
Allocating leaves...,ቅጠሎችን በመመደብ ላይ ...
